"","player","team","position","id","avg_type","pass_yds","pass_yds_sd","pass_tds","pass_tds_sd","pass_int","pass_int_sd","rush_yds","rush_yds_sd","rush_tds","rush_tds_sd","fumbles_lost","fumbles_lost_sd","two_pts","two_pts_sd","return_tds","return_tds_sd","rec_yds","rec_yds_sd","rec_tds","rec_tds_sd","fg_0019","fg_0019_sd","fg_2029","fg_2029_sd","fg_3039","fg_3039_sd","fg_4049","fg_4049_sd","fg_50","fg_50_sd","xp","xp_sd","dst_int","dst_int_sd","dst_sacks","dst_sacks_sd","dst_safety","dst_safety_sd","dst_td","dst_td_sd","dst_blk","dst_blk_sd","injury_status","injury_details","season_year","week"
"417","Zay Jones","BUF","WR","13176","weighted",NA,NA,NA,NA,NA,NA,0.494280755599401,0.692820034971787,0.00355365559574701,0.00982848328609668,0.435269976981256,0.34343206652769,0.0341828345938836,0.01816579136746,0,0,491.471545544229,142.429415868606,2.6479209086631,0.940267686596008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"418","Dante Pettis","SF","WR","13634","weighted",NA,NA,NA,NA,NA,NA,16.4510477197499,20.5241839645109,0.023317855829349,0.0394670402947412,0.409630011033468,0.230109163320755,0.0292166237587348,0.0165970190765098,0.219124678190511,0.124477643073824,373.974446487679,207.732186619106,1.82809242144924,1.24681243234067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IR","Knee - MCL",2018,0
"419","D.J. Chark","JAC","WR","13668","weighted",NA,NA,NA,NA,NA,NA,5.57178070822575,6.59711757684597,0.0233866654371081,0.0395027481827404,0.343812615271118,0.181356522402857,0.034083364072298,0.0193920688420853,0.131464404278864,0.0747979798194718,353.66486905201,220.810129491534,1.97910033473685,1.29176764132957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"420","Kevin White","CHI","WR","12177","weighted",NA,NA,NA,NA,NA,NA,7.19374182469217,6.56421000708542,0.0213219335744821,0.0390889854214757,0.375947385728379,0.1622550986854,0.0244163104242026,0.0129755652624714,0,0,422.764955606708,226.93495775973,1.71697137537576,1.31056922184562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"421","Bruce Ellington","HOU","WR","11689","weighted",NA,NA,NA,NA,NA,NA,14.2343826078938,10.4814284166291,0.0282059203246035,0.047337045976019,0.206636665437108,0.148856023480571,0.0438214680929546,0.0249326599398239,0,0,423.314857985983,190.983465743473,2.23909675569153,0.995763479704236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IR","Hamstring",2018,0
"422","John Ross","CIN","WR","13155","weighted",NA,NA,NA,NA,NA,NA,25.8801772077898,21.0832149156884,0.0663349044539442,0.126936401266682,0.63734166392634,0.322967972027178,0.0439493587635646,0.0233560174724486,0,0,635.995968431437,65.4600546571349,3.60780122131599,1.07035682697969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"423","Phillip Dorsett","NE","WR","12188","weighted",NA,NA,NA,NA,NA,NA,3.49957246376812,4.15995591456981,0.00238405797101449,0.00693099265736162,0.14763768115942,0.110928495154984,0.0389710144927536,0.0219587990334877,0,0,428.259746376812,163.424854068492,2.56232971014493,0.83035961383657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"424","Terrance Williams","DAL","WR","11211","weighted",NA,NA,NA,NA,NA,NA,8.67943115942029,6.97920742899719,0.0250326086956522,0.0479224696391692,0.514528985507246,0.222795336686322,0.0535851449275362,0.0301933486710456,0,0,548.661608695652,74.4409704091438,3.00285869565217,1.08049836941693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IR","Foot",2018,0
"425","Antonio Callaway","CLE","WR","13640","weighted",NA,NA,NA,NA,NA,NA,3.01506316857248,5.2178358592233,0.0220435263740317,0.0379950379796634,0.457491700479528,0.274498777391112,0.0438214680929546,0.0249326599398239,0.22884544448543,0.130203890796858,429.434957580229,244.221000623931,2.11803496098921,1.03760092296466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"426","Jake Kumerow","GB","WR","12443","weighted",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,284.713656387665,487.903679018718,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
