"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"1","Todd Gurley","RB","LAR",277,14.8,20.5,255,301,165,167,151,1,1,1,1,"1",1.51,66.9,6
"2","David Johnson","RB","ARI",257,20.4,2.95,229,293,145,140,143,2,3,2,2,"1",3.7,61.9,20
"3","Ezekiel Elliott","RB","DAL",254,14.8,14.5,236,277,142,147,128,3,2,3,3,"2",3.92,63.4,7
"4","LeVeon Bell","RB","PIT",239,18.7,15.6,216,265,127,127,115,4,4,4,4,"3",3.42,64.2,46
"5","Alvin Kamara","RB","NO",224,16.6,2.49,197,248,111,109,98,5,7,6,5,"3",6.39,56.9,15
"6","Leonard Fournette","RB","JAC",221,11.6,2.72,204,239,109,116,88.7,6,5,9,6,"3",10.8,50.8,3
"7","Kareem Hunt","RB","KC",219,15.9,2.78,201,248,106,112,98.1,7,6,5,7,"3",10,52,11
"8","Melvin Gordon","RB","LAC",216,17.2,0.892,186,238,103,97.3,87.9,8,10,10,8,"4",11.3,49.8,17
"9","Saquon Barkley","RB","NYG",215,16.7,13.1,196,240,103,108,89.5,9,8,8,9,"4",7.07,57.3,13
"10","Antonio Brown","WR","PIT",213,12.2,16.7,196,229,97.2,97.6,91.6,10,9,7,1,"1",5.64,61.3,10
"11","Dalvin Cook","RB","MIN",202,10.8,11.7,185,218,89.5,96.3,68.4,11,11,15,10,"5",15.4,46.1,1
"12","Rob Gronkowski","TE","NE",165,10,20.1,152,177,81,79.5,69.7,12,14,14,1,"1",20.9,35.4,3
"13","DeAndre Hopkins","WR","HOU",196,16.3,7.65,175,222,80.5,77,84.8,13,15,13,2,"1",10.6,54.2,20
"14","Devonta Freeman","RB","ATL",190,7.61,5.08,183,206,77.8,95.1,56.4,14,12,19,11,"6",19.8,36.9,1
"15","Odell Beckham","WR","NYG",189,22,1.5,160,225,72.9,62.1,87.6,15,22,11,3,"1",11.9,52.5,49
"16","Christian McCaffrey","RB","CAR",185,11.3,1.56,170,207,72.7,81.2,56.8,16,13,18,12,"6",17.3,40.1,4
"17","Julio Jones","WR","ATL",187,11.3,12.8,174,203,71.4,76.5,65.6,17,16,16,4,"2",13.1,50.6,8
"18","Jordan Howard","RB","CHI",183,16,4.42,155,200,71.2,66.4,50.5,18,17,25,13,"6",26,29.7,14
"19","Aaron Rodgers","QB","GB",321,21.5,24.4,293,356,68.9,65.5,85.8,19,18,12,1,"1",25.9,25.8,91
"20","LeSean McCoy","RB","BUF",179,24.2,4.08,135,209,66.8,46.8,59,20,30,17,14,"6",28.2,30.6,51
"21","Joe Mixon","RB","CIN",175,18,12.1,151,202,62.7,62.3,51.8,21,21,23,15,"7",29.8,25.6,21
"22","Travis Kelce","TE","KC",145,7.92,19.4,136,158,60.9,64.2,50.9,22,19,24,2,"2",28,28.8,1
"23","Michael Thomas","WR","NO",174,10.5,0.952,161,187,58.6,63,49.2,23,20,27,5,"2",17.3,44.2,4
"24","Keenan Allen","WR","LAC",174,12.9,5.17,157,191,57.6,58.8,53.4,24,23,22,6,"3",18.6,43.4,15
"25","Davante Adams","WR","GB",168,10.2,3.35,150,183,52.4,52.2,45.5,25,27,29,7,"3",20.8,39.3,3
