"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"1","Justin Tucker","K","BAL",852,619,231,167,1440,343,34.7,559,1,41,1,1,"1",78.7,2.88,90
"2","David Johnson","RB","ARI",280,14.3,16.6,259,300,170,174,149,2,1,4,1,"1",1.54,67.5,7
"3","LeVeon Bell","RB","PIT",263,17.3,48.5,247,295,153,162,143,3,2,5,2,"2",2.3,65.1,8
"4","Stephen Gostkowski","K","NE",620,440,47.8,154,1160,111,22,273,4,56,2,2,"2",78.2,2.8,68
"5","LeSean McCoy","RB","BUF",215,16.8,8.98,190,237,104,105,85.8,5,5,9,3,"3",7,52.9,10
"6","Devonta Freeman","RB","ATL",206,6.61,0.969,196,215,95.5,111,63.2,6,4,16,4,"3",9.66,45.8,3
"7","Jordan Howard","RB","CHI",205,4.31,11.7,200,212,94.5,115,60.7,7,3,19,5,"4",12.4,39.5,1
"8","Antonio Brown","WR","PIT",201,19.6,1.41,169,225,84.5,68.3,88.8,8,16,8,1,"1",4.51,61.6,11
"9","Julio Jones","WR","ATL",199,20,16.9,177,233,83.1,77.1,97.4,9,11,7,2,"2",5.04,59.4,15
"10","Melvin Gordon","RB","LAC",193,7.58,2.54,181,201,82.8,96.3,49,10,6,28,6,"4",10.6,45.1,4
"11","Jay Ajayi","RB","MIA",191,10.5,6.17,181,208,80.2,95.5,56.6,11,7,23,7,"5",10.4,42.5,6
"12","Aaron Rodgers","QB","GB",324,19.1,19.2,295,348,79.5,94.7,81.3,12,8,10,1,"1",20.4,33.8,1
"13","DeMarco Murray","RB","TEN",184,3.81,1.77,178,187,74.1,92.6,35.8,13,9,38,8,"5",10,43,1
"14","Todd Gurley","RB","LAR",183,13.2,8.62,169,204,72.3,83.7,52.1,14,10,25,9,"6",14.7,36.8,11
"15","Rob Gronkowski","TE","NE",156,9.57,24.9,140,169,68.3,67.9,65.6,15,17,14,1,"1",19.8,34.7,3
"16","Jordy Nelson","WR","GB",183,13.4,0.482,161,203,66.2,60.3,66.7,16,20,13,3,"2",12.3,46.7,3
"17","Odell Beckham","WR","NYG",182,20.2,2.88,153,211,65.8,53,75.1,17,27,11,4,"2",6.54,55.9,21
"18","Ezekiel Elliott","RB","DAL",174,20.1,1.19,158,208,63.7,73.4,56.2,18,13,24,10,"6",12.3,50.8,23
"19","Sebastian Janikowski","K","OAK",573,401,29.2,132,1050,63.5,0.0345,162,19,102,3,3,"3",112,1.39,74
"20","Mike Evans","WR","TB",179,10.7,6.5,169,197,62.9,69.1,60.8,20,15,18,5,"3",8.81,52.5,1
"21","Lamar Miller","RB","HOU",173,8.03,3.02,160,180,62.5,74.8,28.8,21,12,46,11,"6",22.2,29,13
"22","Tom Brady","QB","NE",305,21.5,21.1,266,331,60.3,65.1,64.6,22,18,15,2,"2",24.5,28.5,6
"23","Leonard Fournette","RB","JAC",170,18.9,1.5,139,196,59.5,54.3,44,23,24,29,12,"6",17.7,32.3,21
"24","Marshawn Lynch","RB","OAK",168,13,8.45,154,183,57.9,69.4,31.5,24,14,43,13,"7",18.7,29.2,24
"25","Michael Thomas","WR","NO",173,8.66,2.73,162,187,56.4,61.2,51.3,25,19,26,6,"3",16.8,40.8,1
"26","A.J. Green","WR","CIN",170,14.5,11.9,154,195,53.7,53.2,59.6,26,26,21,7,"4",8.06,51,7
"27","Isaiah Crowell","RB","CLE",160,14,3.85,141,181,49.5,56.4,29.9,27,22,44,14,"7",24.1,23.7,15
"28","Mark Ingram","RB","NO",156,19,1.7,126,185,45.7,41,33.1,28,35,41,15,"7",60.2,9.21,30
"29","Carlos Hyde","RB","SF",154,9.17,3.78,144,166,44,58.8,14.8,29,21,64,16,"8",31.1,19.3,14
"30","Travis Kelce","TE","KC",131,6.22,0.733,123,141,43.4,50.3,37.8,30,28,35,2,"1",30.6,18.9,1
"31","Greg Olsen","TE","CAR",130,12.4,4.09,113,144,42.6,40,41.1,31,36,31,3,"1",35.2,14.4,11
"32","Doug Baldwin","WR","SEA",158,9.36,1.36,149,175,41.8,48.4,38.9,32,29,33,8,"4",24.5,31.3,6
"33","Dez Bryant","WR","DAL",157,15.6,1.1,141,185,40.4,41,49.3,33,34,27,9,"4",20.2,39.4,14
"34","Ty Montgomery","RB","GB",150,8.25,1.89,140,160,40.2,54.6,8.2,34,23,85,17,"8",37,13.3,17
"35","T.Y. Hilton","WR","IND",156,10.3,2.43,143,170,39.3,42.6,34.4,35,32,39,10,"4",18.4,36.6,8
"36","Drew Brees","QB","NO",284,15.3,3.28,254,300,39.2,53.7,32.8,36,25,42,3,"2",38.9,21.1,3
"37","Jordan Reed","TE","WAS",126,12.3,0.402,110,147,38.5,38,43.8,37,37,30,4,"1",35.6,17.9,17
"38","Dalvin Cook","RB","MIN",149,47.8,1.04,52.3,185,38.3,-32.7,33.2,38,215,40,18,"8",32.6,17.5,85
"39","Jimmy Graham","TE","SEA",126,19,11,104,161,38.1,31.9,58.5,39,46,22,5,"2",41.9,9.08,43
"40","C.J. Anderson","RB","DEN",148,20.3,1.08,130,177,37.2,45.1,25.3,40,31,50,19,"8",42.1,11.8,31
"41","Brandin Cooks","WR","NE",153,11.4,5.77,138,173,36.9,37.9,37.5,41,39,36,11,"5",16.6,34.6,20
"42","Kareem Hunt","RB","KC",146,47.9,4.17,49.6,177,36.2,-35.4,25.1,42,223,52,20,"8",48.7,10.6,70
"43","Matt Ryan","QB","ATL",281,24.1,5.23,243,305,35.9,42.3,38.7,43,33,34,4,"2",47.1,14.6,17
"44","Blair Walsh","K","SEA",543,371,3.45,133,946,34.4,0.681,60.5,44,100,20,4,"3",154,1.36,61
"45","Frank Gore","RB","IND",142,16.6,1.9,117,167,32,32.1,15.4,45,45,62,21,"9",55,8.52,44
"46","Amari Cooper","WR","OAK",147,22,4.79,106,172,31.1,6,36.4,46,84,37,12,"5",24.3,32.5,28
"47","Brandon McManus","K","DEN",540,361,0.998,132,886,30.9,0,0,47,103,103,5,"3",119,0.57,87
"48","Russell Wilson","QB","SEA",275,22.9,18.8,233,294,30.7,32.7,27.7,48,44,47,5,"3",44.7,9.48,11
"49","Bilal Powell","RB","NYJ",140,9.01,1.98,130,155,30.1,45.2,3.22,49,30,89,22,"9",45.4,12.9,20
"50","Mason Crosby","K","GB",539,375,21.8,129,960,29.9,-2.77,74.5,50,117,12,6,"4",106,1.44,71
"51","Christian McCaffrey","RB","CAR",138,41.5,2.93,58.6,176,28.1,-26.4,24,51,195,55,23,"9",23.3,24.2,73
"52","Kyle Rudolph","TE","MIN",115,7.49,5.34,107,128,27.1,34.3,25.5,52,42,48,6,"3",59.4,4.03,6
"53","DeAndre Hopkins","WR","HOU",143,13.9,2.96,123,161,26.3,22.8,25.5,53,55,49,13,"6",24.1,28,13
"54","Joe Mixon","RB","CIN",136,42.1,1.14,49.6,159,25.2,-35.4,7.08,54,224,86,24,"9",33,18.6,66
"55","Ameer Abdullah","RB","DET",134,18.7,0.308,106,153,24,20.6,1.46,55,59,97,25,"9",73.5,6.06,27
"56","Tevin Coleman","RB","ATL",134,15.3,0.994,123,164,23.7,37.9,12.3,56,38,73,26,"9",65.7,4.08,25
"57","Allen Robinson","WR","JAC",140,11.6,0.092,124,152,23.3,23.2,16.2,57,53,61,14,"6",40.9,14.4,27
"58","Michael Crabtree","WR","OAK",140,11.4,1.33,118,149,23.2,17.3,13,58,65,68,15,"6",34,16.1,17
"59","Mike Gillislee","RB","NE",133,17.6,0.376,111,163,22.7,26,11.3,59,50,76,27,"9",54.3,6.46,28
"60","Paul Perkins","RB","NYG",133,12.6,0.141,119,154,22.4,34.1,2.41,60,43,94,28,"9",66.1,4.96,32
"61","Rob Kelley","RB","WAS",133,17.6,2.03,113,163,22.2,27.9,11,61,48,77,29,"9",68,3.42,46
"62","Davante Adams","WR","GB",138,8.85,0.841,123,148,21.9,22.9,12.4,62,54,71,16,"6",39.9,11.6,18
"63","Zach Ertz","TE","PHI",109,10.4,2.53,101,127,21.8,28.8,24,63,47,54,7,"3",73.3,2.46,20
"64","Alshon Jeffery","WR","PHI",137,8.92,0.595,128,153,21.1,27.2,17.2,64,49,59,17,"6",28.7,22.3,4
"65","Tyreek Hill","WR","KC",137,18.2,0.343,125,175,20.5,25.1,39.1,65,52,32,18,"6",37.5,11.1,44
"66","Terrance West","RB","BAL",131,14.1,6.71,111,152,20.2,25.7,0.0459,66,51,101,30,"10",80.4,2.41,41
"67","Kelvin Benjamin","WR","CAR",136,14.8,0.271,112,156,20.1,12,19.6,67,73,57,19,"6",46.6,8.64,39
"68","Terrelle Pryor","WR","WAS",136,16.7,0.763,110,149,19.9,9.23,13.4,68,78,67,20,"6",27.2,21.5,31
"69","Tyler Eifert","TE","CIN",107,13.9,1.82,92.2,132,19.2,19.7,29.1,69,61,45,8,"3",57.4,4.32,31
"70","Demaryius Thomas","WR","DEN",135,8.8,1.92,122,145,19.1,21.3,9.18,70,58,82,21,"6",26.6,24.4,10
"71","Martellus Bennett","TE","GB",105,18.1,1.46,76.6,128,17.4,4.16,25.3,71,88,51,9,"4",66.4,3.25,54
"72","Golden Tate","WR","DET",133,9.83,3.43,121,147,17.2,20.3,10.9,72,60,78,22,"6",42.7,12.4,23
"73","Delanie Walker","TE","TEN",104,8.86,7.42,88.6,114,15.9,16.1,10.8,73,69,80,10,"4",70.7,5.52,9
"74","Emmanuel Sanders","WR","DEN",130,8.27,0.0233,117,142,13.8,16.7,5.7,74,67,87,23,"6",50,9.56,24
"75","Keenan Allen","WR","LAC",130,12.2,0.656,119,152,13.7,18.3,16.2,75,62,60,24,"7",48.1,15.4,25
"76","Jonathan Stewart","RB","CAR",124,21.9,1.78,103,163,13.5,17.9,11.6,76,63,74,31,"10",81.4,2.38,39
