"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"1","Jonathan Taylor","RB","IND",300,27.7,30.5,258,332,160,141,174,1,1,1,1,"1",1.24,63.9,44
"2","Derrick Henry","RB","TEN",270,30.4,19.7,231,314,129,113,156,2,2,2,2,"2",4.89,55.7,56
"3","Cooper Kupp","WR","LAR",241,24.1,26.6,215,285,113,112,133,3,3,4,1,"1",5.53,53.4,49
"4","Christian McCaffrey","RB","CAR",250,41.5,6.25,196,313,110,77.9,155,4,13,3,3,"2",3.68,61.4,85
"5","Austin Ekeler","RB","LAC",244,21.3,9.51,215,276,103,97.1,119,5,5,5,4,"2",4.67,57.6,17
"6","Travis Kelce","TE","KC",188,20.6,19.6,160,216,95.2,82,102,6,11,8,1,"1",16.3,43,49
"7","Josh Allen","QB","BUF",385,16.6,26.9,363,405,94.5,102,89.7,7,4,12,1,"1",18.1,40.1,1
"8","Dalvin Cook","RB","MIN",234,25.7,4.98,200,269,93.7,82.4,112,8,10,6,5,"3",6.96,56.1,32
"9","Joe Mixon","RB","CIN",229,15.9,7.57,208,251,88.8,89.9,93.5,9,8,10,6,"3",11.2,49.4,4
"10","Justin Jefferson","WR","MIN",215,14.5,1.13,198,237,86.7,94.7,84.4,10,6,13,2,"1",6.57,52.2,10
"11","Ja'Marr Chase","WR","CIN",213,19,5.86,194,245,85.6,90.7,92.1,11,7,11,3,"1",9.78,48.4,23
"12","Najee Harris","RB","PIT",222,26.7,2.65,183,260,81.2,64.8,102,12,21,7,7,"3",8.83,49.2,46
"13","Deebo Samuel","WR","SF",208,21.1,9.21,173,230,79.8,69.2,77.1,13,17,17,4,"2",20.6,34.8,41
"14","Alvin Kamara","RB","NO",219,12.8,3.58,202,241,78.5,84.6,83.3,14,9,14,8,"3",15.5,44.7,1
"15","Mark Andrews","TE","BAL",169,10.8,33.6,158,187,75.6,80,72.2,15,12,20,2,"2",24.7,30.8,1
"16","Nick Chubb","RB","CLE",215,36.8,7.53,164,257,75,46.1,99.7,16,29,9,9,"4",15.7,43.8,79
"17","Davante Adams","WR","LVR",198,18.1,10.8,170,223,70.6,66.7,70.5,17,18,21,5,"2",14.3,45.7,21
"18","Patrick Mahomes","QB","KC",358,13.4,12.9,339,372,67.6,77.8,56.2,18,14,27,2,"1",31.8,29.5,9
"19","Leonard Fournette","RB","TB",208,11.7,2.26,192,224,67.4,74.2,66.2,19,15,23,10,"4",22.8,38.7,1
"20","Saquon Barkley","RB","NYG",206,23.6,1.38,180,237,65.2,62.6,79.1,20,22,15,11,"4",19.3,45.1,41
"21","Aaron Jones","RB","GB",204,24,4.02,175,234,63.8,56.8,76.2,21,25,18,12,"4",18.5,41.7,39
"22","Javonte Williams","RB","DEN",200,16.9,2.23,184,232,59.8,66.3,74,22,19,19,13,"4",22.8,36.2,11
"23","Stefon Diggs","WR","BUF",188,14.3,4.15,169,203,59.7,65,50.7,23,20,31,6,"3",14.6,42.3,11
"24","James Conner","RB","ARI",198,20.4,1.67,167,226,57.5,49.5,68.5,24,27,22,14,"4",30.5,32.5,25
"25","D'Andre Swift","RB","DET",196,31.2,6.11,157,237,55.9,39.1,79.1,25,40,16,15,"5",16.7,41.1,70
"26","CeeDee Lamb","WR","DAL",183,25.9,1.03,137,212,55.6,33.7,59.8,26,46,26,7,"3",21.7,35.8,61
"27","Justin Herbert","QB","LAC",345,13.9,18.3,334,372,54.7,72.5,56.2,27,16,28,3,"2",34.7,26.7,11
"28","Mike Evans","WR","TB",182,12.6,4.11,162,200,54.5,57.9,47.5,28,24,34,8,"3",26.3,34.2,6
"29","Tyreek Hill","WR","MIA",178,11.9,5.26,165,197,50.4,61.6,44.3,29,23,39,9,"3",23.9,37.1,1
