"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"1","Christian McCaffrey","RB","SF",282,18.4,43.2,261,309,155,164,165,1,1,1,1,"1",NA,NA,11
"2","Breece Hall","RB","NYJ",238,25.4,4.24,207,272,112,110,127,2,2,3,2,"1",NA,NA,45
"3","Bijan Robinson","RB","ATL",234,25,5.67,206,267,107,109,122,3,3,4,3,"1",NA,NA,44
"4","Jonathan Taylor","RB","IND",228,21.6,4.77,206,262,102,108,117,4,4,5,4,"1",NA,NA,21
"5","Saquon Barkley","RB","PHI",224,33.2,5.72,185,273,97,88.2,129,5,6,2,5,"2",NA,NA,75
"6","Kyren Williams","RB","LAR",218,19.9,14.1,189,251,91.3,92.3,107,6,5,9,6,"3",NA,NA,32
"7","Tyreek Hill","WR","MIA",222,20.7,1.97,194,263,90.1,84.6,109,7,7,8,1,"1",NA,NA,34
"8","CeeDee Lamb","WR","DAL",220,25.1,21.5,186,267,88.1,76.6,113,8,11,6,2,"2",NA,NA,61
"9","Jahmyr Gibbs","RB","DET",204,28.1,0.104,178,255,77.2,80.7,111,9,9,7,7,"3",NA,NA,61
"10","Derrick Henry","RB","BAL",204,19.1,5.09,165,221,77.1,68.3,76.8,10,16,18,8,"3",NA,NA,27
"11","Jalen Hurts","QB","PHI",337,20.8,0.19,301,360,75.4,69.5,68.8,11,15,22,1,"1",NA,NA,17
"12","Josh Allen","QB","BUF",337,26.6,19,299,375,75.2,67.7,83.8,12,18,14,2,"2",NA,NA,46
"13","Travis Etienne","RB","JAC",199,18.5,2.71,175,228,72,78,83.6,13,10,15,9,"3",NA,NA,30
"14","Josh Jacobs","RB","GB",196,27.2,0.333,167,233,69.3,69.6,88.9,14,14,12,10,"3",NA,NA,65
"15","Isiah Pacheco","RB","KC",196,11.6,5.21,178,208,69,81.3,63,15,8,25,11,"4",NA,NA,3
"16","Justin Jefferson","WR","MIN",199,23.2,0.379,177,244,66.7,67.2,90.1,16,19,11,3,"2",NA,NA,56
"17","Ja'Marr Chase","WR","CIN",198,22.4,2.91,183,245,66.3,73.3,91.1,17,12,10,4,"2",NA,NA,49
"18","Kenneth Walker III","RB","SEA",190,19,1.33,165,218,63.8,67.9,73.2,18,17,20,12,"4",NA,NA,38
"19","Amon-Ra St. Brown","WR","DET",195,22.3,7.99,169,236,63.4,59.8,82.3,19,26,16,5,"3",NA,NA,48
"20","Devon Achane","RB","MIA",189,24.6,1.46,163,230,62.4,65.6,85.4,20,20,13,13,"4",NA,NA,62
"21","James Cook","RB","BUF",188,25,0.292,161,223,61,64.3,78.8,21,22,17,14,"4",NA,NA,52
"22","Joe Mixon","RB","HOU",187,17.4,2.55,162,209,60.7,64.9,64.2,22,21,24,15,"4",NA,NA,18
"23","Rachaad White","RB","TB",185,15.4,13,168,210,58.1,70.8,65.5,23,13,23,16,"5",NA,NA,10
"24","Patrick Mahomes","QB","KC",318,24,6.56,292,351,56.3,60.4,59.5,24,25,27,3,"2",NA,NA,40
"25","A.J. Brown","WR","PHI",187,19,1.09,172,227,55.4,62.1,72.7,25,23,21,6,"3",NA,NA,30
"26","Puka Nacua","WR","LAR",186,14.4,8.76,170,209,54.3,60.6,54.6,26,24,29,7,"4",NA,NA,23
"27","Lamar Jackson","QB","BAL",312,23.5,19.7,287,344,49.7,54.9,52.1,27,27,30,4,"3",NA,NA,31
"28","Sam LaPorta","TE","DET",139,12.2,0.199,124,156,49.1,51.8,47.9,28,30,34,1,"1",NA,NA,15
"29","Travis Kelce","TE","KC",139,13.4,5.51,123,159,48.9,51.5,51,29,31,32,2,"1",NA,NA,35
"30","Deebo Samuel","WR","SF",178,25.2,6.78,158,228,45.5,48.1,73.7,30,35,19,8,"4",NA,NA,75
"31","Alvin Kamara","RB","NO",172,18.1,3.89,150,207,45.1,52.6,62.2,31,29,26,17,"5",NA,NA,28
"32","Mark Andrews","TE","BAL",133,11.5,4.49,123,151,43.4,51.2,42.1,32,32,39,3,"2",NA,NA,24
"33","David Montgomery","RB","DET",168,17.8,0.894,150,201,41.2,53.1,56.6,33,28,28,18,"5",NA,NA,24
"34","Najee Harris","RB","PIT",167,15.2,0.487,146,190,40.3,49.3,45.1,34,33,36,19,"5",NA,NA,13
"35","James Conner","RB","ARI",166,19.8,4.29,144,192,39.9,47,47.6,35,36,35,20,"6",NA,NA,41
"36","George Kittle","TE","SF",129,10.1,9.32,115,143,38.9,43,34.9,36,41,44,4,"2",NA,NA,12
"37","Garrett Wilson","WR","NYJ",171,19.2,4.47,149,205,38.7,39.3,50.5,37,44,33,9,"5",NA,NA,39
"38","Aaron Jones","RB","MIN",162,16,1.62,142,182,35.6,44.9,37.1,38,39,42,21,"6",NA,NA,15
"39","Mike Evans","WR","TB",166,9.72,1.79,155,180,34.3,45.3,26,39,38,56,10,"5",NA,NA,3
"40","Zamir White","RB","LVR",161,13.3,1.58,144,179,33.9,46.5,34.4,40,37,45,22,"6",NA,NA,14
"41","Nico Collins","WR","HOU",165,14.7,2.46,148,186,32.5,38,31.6,41,45,47,11,"5",NA,NA,25
"42","Rhamondre Stevenson","RB","NE",159,14,0.0448,146,184,32.4,48.5,39.2,42,34,40,23,"6",NA,NA,8
"43","Raheem Mostert","RB","MIA",159,20.4,7.3,142,196,32.3,44.6,51.8,43,40,31,24,"6",NA,NA,42
"44","C.J. Stroud","QB","HOU",292,26,3.12,263,335,30,31.8,43.4,45,53,38,5,"3",NA,NA,54
"45","Chris Olave","WR","NO",162,6.45,0.677,152,171,30,42.4,16.9,44,42,69,12,"5",NA,NA,1
"46","Trey McBride","TE","ARI",120,13.5,1.42,103,142,29.6,31.6,33.4,46,55,46,5,"3",NA,NA,44
"47","Davante Adams","WR","LVR",161,16.2,0.562,143,184,29.3,33,30.2,47,49,49,13,"5",NA,NA,37
"48","DK Metcalf","WR","SEA",161,11.2,1.31,149,177,28.8,39.6,22.8,48,43,60,14,"5",NA,NA,6
"49","Kyle Pitts","TE","ATL",118,12.1,4.39,106,139,28.1,33.9,30.3,49,48,48,6,"3",NA,NA,29
"50","Brandon Aiyuk","WR","SF",160,12.2,1.9,144,174,27.5,34.1,19.9,50,47,64,15,"5",NA,NA,15
"51","Anthony Richardson","QB","IND",289,24.5,0.897,259,330,26.9,27.1,38.4,51,61,41,6,"3",NA,NA,49
"52","Joe Burrow","QB","CIN",288,19,2,268,317,26,36.6,25.3,52,46,59,7,"3",NA,NA,9
"53","Marvin Harrison Jr.","WR","ARI",158,10.9,2.84,142,170,25.6,32.7,15.7,53,51,73,16,"6",NA,NA,8
"54","D'Andre Swift","RB","CHI",152,21.9,2.18,128,188,25,30.8,43.8,54,56,37,25,"6",NA,NA,48
"55","Dak Prescott","QB","DAL",286,15.7,2.68,263,308,24,31.8,16.1,55,54,70,8,"4",NA,NA,6
"56","Dalton Kincaid","TE","BUF",114,17.9,6.26,89,137,23.7,17.2,28.3,56,79,53,7,"4",NA,NA,59
"57","Devin Singletary","RB","NYG",149,20.7,2.6,130,180,22.8,32.9,35.5,57,50,43,26,"7",NA,NA,46
"58","George Pickens","WR","PIT",155,16.4,0.707,136,175,22.7,26.9,20.5,58,62,62,17,"6",NA,NA,58
"59","Drake London","WR","ATL",154,12.4,0.0976,136,170,22,26.2,15.9,59,67,71,18,"6",NA,NA,14
"60","Cooper Kupp","WR","LAR",154,9.58,0.327,142,166,21.9,32.3,12,60,52,77,19,"6",NA,NA,10
"61","D.J. Moore","WR","CHI",154,15,0.275,132,172,21.6,22.1,18.3,61,71,68,20,"6",NA,NA,28
"62","Jordan Love","QB","GB",283,29,1.28,246,322,21.3,14.5,30.1,63,83,50,9,"4",NA,NA,66
"63","Jaylen Waddle","WR","MIA",153,11.4,0.0708,139,168,21.3,28.9,14.2,62,58,74,21,"6",NA,NA,4
"64","Amari Cooper","WR","CLE",153,15.5,0.0213,133,173,21.3,23,18.6,64,69,66,22,"6",NA,NA,27
"65","DeVonta Smith","WR","PHI",153,11.6,2.29,137,165,21.2,27.9,10.8,65,59,79,23,"6",NA,NA,7
"66","Tony Pollard","RB","TEN",147,14.6,0.199,127,171,20.2,30.3,26.1,66,57,55,27,"7",NA,NA,17
"67","Kyler Murray","QB","ARI",282,18.4,8.09,252,301,20,20.2,9.68,67,75,81,10,"4",NA,NA,14
"68","Javonte Williams","RB","DEN",147,16.9,0.511,125,174,20,27.7,29.9,68,60,51,28,"7",NA,NA,37
"69","Brian Robinson","RB","WAS",146,16,13.9,120,165,19.5,22.7,20.5,69,70,63,29,"7",NA,NA,25
"70","Stefon Diggs","WR","HOU",151,14.9,2.46,136,172,19,26.7,18.4,70,63,67,24,"6",NA,NA,52
