scope,candidate_method,baseline_method,period,metric,cluster_type,n,clusters,candidate_minus_baseline,bootstrap_p025,bootstrap_p975,probability_candidate_better
all,height_w025_all,production,all_2017_2025,ppg_crps,season,1620,9,3.651675666214092e-05,-0.0018325751763006454,0.001811853021186716,0.472
all,height_w025_all,production,all_2017_2025,contribution_crps,season,1620,9,-0.001550897707713554,-0.02346793327712438,0.019632938433654514,0.559
all,height_w025_all,production,all_2017_2025,played_crps,season,1620,9,-0.000740899682501782,-0.0030343155161570794,0.0011979417900767418,0.757
all,height_w025_all,production,all_2017_2025,plus3_brier_row,season,1620,9,4.3732671302735054e-05,-0.0006017628946048589,0.0006226760962132399,0.427
all,height_w025_all,production,all_2017_2025,plus5_brier_row,season,1620,9,-6.676035170452454e-05,-0.000428456583208602,0.0003198799899540409,0.6235
all,height_w025_all,production,all_2017_2025,impact_brier_row,season,1620,9,-0.00019186484273323007,-0.000526913048676,0.00015844458497211284,0.86
all,height_w025_all,production,all_2017_2025,zero_brier_row,season,1620,9,3.294918748808255e-06,-0.0002521711326455983,0.0003304583349875635,0.5075
all,height_w025_all,production,all_2017_2025,extended_absence_brier_row,season,1620,9,-1.9976305599850018e-05,-0.00024301725085001212,0.00019708316107526692,0.5815
all,height_w025_all,production,all_2017_2025,ppg_crps,player,1620,518,3.651675666214092e-05,-0.0014094837635639744,0.0014933470858626034,0.4705
all,height_w025_all,production,all_2017_2025,contribution_crps,player,1620,518,-0.001550897707713554,-0.02114311878273565,0.018268561680131544,0.567
all,height_w025_all,production,all_2017_2025,played_crps,player,1620,518,-0.000740899682501782,-0.003226132774002775,0.0017043189661970228,0.7225
all,height_w025_all,production,all_2017_2025,plus3_brier_row,player,1620,518,4.3732671302735054e-05,-0.0006162712384395797,0.0006731799709257152,0.452
all,height_w025_all,production,all_2017_2025,plus5_brier_row,player,1620,518,-6.676035170452454e-05,-0.0004122751487753085,0.0003039105832549267,0.655
all,height_w025_all,production,all_2017_2025,impact_brier_row,player,1620,518,-0.00019186484273323007,-0.0006920614352114552,0.0002918603282987659,0.798
all,height_w025_all,production,all_2017_2025,zero_brier_row,player,1620,518,3.294918748808255e-06,-0.00021169215619566416,0.00025729699734863723,0.505
all,height_w025_all,production,all_2017_2025,extended_absence_brier_row,player,1620,518,-1.9976305599850018e-05,-0.0002709202426707489,0.00024077766773881166,0.556
all,height_w025_all,production,development_2017_2022,ppg_crps,season,1080,6,-6.248853648822344e-05,-0.0027229264629670723,0.002134159510022965,0.528
all,height_w025_all,production,development_2017_2022,contribution_crps,season,1080,6,0.0029582123391446325,-0.03238630546280047,0.03190813535500482,0.4185
all,height_w025_all,production,development_2017_2022,played_crps,season,1080,6,-0.0009119658949507258,-0.004003128763014739,0.0016927272928594676,0.712
