scope,n,mean_pool_overlap_share,median_pool_overlap_share,mean_height_distance_delta,mean_weight_distance_delta,mean_effective_sample_size_delta
all,1620,0.9120216049382716,0.925,-0.04703004876362082,-0.04813899444432732,0.7160482680806833
qb,216,0.951736111111111,0.95,-0.027366917169209862,-0.03164153767165433,1.314444844145481
rb,540,0.9298379629629628,0.9375,-0.035568274269895755,-0.03301037783562961,0.9695118791821901
wr,648,0.8762152777777776,0.8875,-0.06746616926918338,-0.07097172420183016,0.25107523209202903
te,216,0.9351851851851852,0.9375,-0.03403925507565678,-0.03395980346623608,0.8789117722280811
wr_te,864,0.8909577546296296,0.9,-0.05910944072080172,-0.06171874401793165,0.408034367126042
