method,slice_type,slice_value,n_rows,rmse,mae,bias,spearman
expert_direct_team_game,all,all,380,7.628704373593642,5.5700633935367625,-4.549699694166583,0.6000142697441369
expert_component_sum,all,all,380,7.635477454000101,5.575538424728941,-4.561314537082419,0.6030460149905275
expert_component_sum_plus_prior_other,all,all,380,7.752613528629586,5.668722575304448,-4.754410432583023,0.6028991931729516
expert_recalibrated,all,all,380,3.717456721024373,2.9607532935818743,-0.483470686015226,0.5866172217907007
conditional_ppg_primary_blend,all,all,380,3.4764805796964255,2.734797040701404,-0.1703458089908184,0.5915130221148768
qb_direct_total_lasso,all,all,380,3.535551864153271,2.7621103580440005,0.1349361648857436,0.5770548369296288
qb_component_sum_lasso,all,all,380,3.6338334856610452,2.836756191267251,0.42005912836820003,0.5627290699306355
qb_direct_total_random_forest,all,all,380,3.459029468219893,2.746919764674212,0.196023000027518,0.6005845973155858
qb_component_sum_random_forest,all,all,380,3.5244133140812326,2.772089429207561,0.45653680656746326,0.5901443363697492
qb_direct_total_lightgbm,all,all,380,3.476696727431446,2.752557507515268,0.20823673110098714,0.5925700713357882
qb_component_sum_lightgbm,all,all,380,3.5516166842066634,2.796442780630571,0.44257816926764093,0.5768509063620277
qb_direct_total_blend,all,all,380,3.458139371949743,2.734226897709869,0.17973196533808294,0.5963731303927138
qb_component_sum_blend,all,all,380,3.5174760580633464,2.7654942246586334,0.4397247014011013,0.5857748642617923
qb_component_sum_plus_prior_other,all,all,380,3.499566074004218,2.7464173321169123,0.24662880590049735,0.5851168191380263
expert_direct_team_game,window,2023-2025,132,7.617333476379556,5.685916507142669,-4.508538721946534,0.5616012355804538
expert_component_sum,window,2023-2025,132,7.61023912987663,5.684315186985771,-4.480130148685129,0.564058814943082
expert_component_sum_plus_prior_other,window,2023-2025,132,7.722040589045319,5.763172875945308,-4.66756232696218,0.5636887547926754
expert_recalibrated,window,2023-2025,132,3.414661817284058,2.7079682444144844,-0.05276867892863522,0.550962613372831
conditional_ppg_primary_blend,window,2023-2025,132,3.26098176842938,2.604143537578294,0.1291913337057366,0.5627462132082461
qb_direct_total_lasso,window,2023-2025,132,3.289795080851366,2.661005650412557,0.5581896962934214,0.5510375522428556
qb_component_sum_lasso,window,2023-2025,132,3.3857173365692326,2.692122242275924,0.9274400732890213,0.5547212931704694
qb_direct_total_random_forest,window,2023-2025,132,3.199506482468515,2.5982834428589094,0.43710328567779666,0.5864139877799981
qb_component_sum_random_forest,window,2023-2025,132,3.4036957564784847,2.678058776458848,0.7474581908729429,0.5517889101657683
qb_direct_total_lightgbm,window,2023-2025,132,3.1938769401900653,2.603319198340592,0.4376710031536311,0.5796256776570154
qb_component_sum_lightgbm,window,2023-2025,132,3.423552561811781,2.70736346870332,0.5843811506989673,0.5274010842512248
qb_direct_total_blend,window,2023-2025,132,3.2038224000255497,2.6128772417914674,0.4776546617082831,0.5816084277313686
qb_component_sum_blend,window,2023-2025,132,3.357878427842177,2.6422359810976497,0.753093138286977,0.554465622766145
qb_component_sum_plus_prior_other,window,2023-2025,132,3.321068262352264,2.615491860287655,0.5656609600099276,0.554465622766145
