league,scope,period,method,rows,ppg_crps,contribution_crps,played_crps,q90_brier,ppg_crps_delta,contribution_crps_delta,played_crps_delta,q90_brier_delta
dk,te_core,development_2017_2022,production,108,2.2001182820136758,28.964458793772927,1.500513911881301,0.13127456198248952,0.0,0.0,0.0,0.0
dk,te_core,development_2017_2022,te_pff_mtf_w025,108,2.2006939076875818,28.95039873206601,1.4968084204549852,0.1318045252865316,0.0005756256739060106,-0.014060061706917537,-0.00370549142631571,0.0005299633040420915
dk,te_core,development_2017_2022,te_pff_mtf_w050,108,2.1985947439284628,28.94060698646734,1.4955889692842983,0.1316201224274054,-0.0015235380852129943,-0.023851807305586448,-0.004924942597002602,0.0003455604449158767
dk,te_core,development_2017_2022,te_pff_yac_w025,108,2.199135796591383,28.96043924545763,1.4981695371835058,0.1309443098855802,-0.0009824854222926227,-0.0040195483152984934,-0.0023443746977951374,-0.000330252096909317
dk,te_core,temporal_2023_2025,production,54,2.1926113657946895,26.258040449736367,1.5001884593585846,0.18203930431560952,0.0,0.0,0.0,0.0
dk,te_core,temporal_2023_2025,te_pff_mtf_w025,54,2.189412692014147,26.228201879430348,1.503244997867165,0.18183101175034533,-0.0031986737805427268,-0.029838570306019108,0.003056538508580342,-0.00020829256526419537
dk,te_core,temporal_2023_2025,te_pff_mtf_w050,54,2.1876545259597,26.239744803375938,1.500867006352954,0.1822227656240924,-0.004956839834989513,-0.018295646360428464,0.0006785469943693112,0.000183461308482874
dk,te_core,temporal_2023_2025,te_pff_yac_w025,54,2.1888174373351226,26.30627129709289,1.5019700854215037,0.18120103102339116,-0.003793928459566942,0.04823084735652472,0.001781626062919095,-0.0008382732922183611
dk,te_all,development_2017_2022,production,280,1.7002748595528963,18.857745937578446,1.6537016127702304,0.05781180099683584,0.0,0.0,0.0,0.0
dk,te_all,development_2017_2022,te_pff_mtf_w025,280,1.7006460454457661,18.853183493875648,1.653453771714637,0.05801153725556317,0.00037118589286988524,-0.004562443702798902,-0.00024784105559350067,0.0001997362587273302
dk,te_all,development_2017_2022,te_pff_mtf_w050,280,1.70005203484512,18.84924240688419,1.649083789257194,0.05792823430153368,-0.00022282470777623686,-0.008503530694255801,-0.004617823513036523,0.00011643330469784247
dk,te_all,development_2017_2022,te_pff_yac_w025,280,1.6999150433993346,18.85970552006412,1.6512373770020734,0.05768596862298981,-0.00035981615356162067,0.001959582485675071,-0.0024642357681570193,-0.00012583237384602985
dk,te_all,temporal_2023_2025,production,143,1.8343882095881414,19.448940998910743,1.563554280162507,0.08285776478699647,0.0,0.0,0.0,0.0
dk,te_all,temporal_2023_2025,te_pff_mtf_w025,143,1.8332205506100678,19.435292453766536,1.5639530958686056,0.08278595650807125,-0.0011676589780735824,-0.013648545144206992,0.0003988157060985653,-7.180827892522279e-05
dk,te_all,temporal_2023_2025,te_pff_mtf_w050,143,1.8316902321534037,19.435191088892875,1.5630115715704447,0.08294149656107921,-0.002697977434737764,-0.013749910017867961,-0.000542708592062402,8.37317740827459e-05
