experiment,method,max_position_ppg_relative_delta,worst_ppg_position
2026-08-02_pff_te_confirmation__results_template_dk,production,0.0,QB
2026-08-02_pff_te_confirmation__results_template_dk,te_pff_mtf_w025,0.0002616339669605505,TE
2026-08-02_pff_te_confirmation__results_template_dk,te_pff_mtf_w050,0.0,QB
2026-08-02_pff_te_confirmation__results_template_dk,te_pff_yac_w025,0.0,QB
2026-08-02_pff_te_confirmation__results_template_beta,production,0.0,QB
2026-08-02_pff_te_confirmation__results_template_beta,te_pff_mtf_w025,0.00016414854583302052,TE
2026-08-02_pff_te_confirmation__results_template_beta,te_pff_mtf_w050,0.0,QB
2026-08-02_pff_te_confirmation__results_template_beta,te_pff_yac_w025,0.0,QB
