study,result_dir,experiment,league,evidence_class,baseline_method,method,tier,period,n,ppg_crps,contribution_crps,played_crps,ppg_bias,contribution_bias,played_bias,ppg_80_coverage,extended_absence_calibration,extended_absence_brier,zero_active_calibration,predicted_missed_games,observed_missed_games
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,production,production,core_strict,all_2017_2025,756,2.555637868632757,33.69400767035771,1.3699033608746658,-2.3522118350759142,-26.347046714529444,0.0660508006070568,0.7367724867724867,-0.0007356389658680212,0.08604419731841471,-0.0012749763151861998,2.96834073378448,3.034391534391535
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,production,te_pff_mtf_w025,core_strict,all_2017_2025,756,2.555592255855446,33.692169538140575,1.3696666857014745,-2.3522122710240003,-26.351634185575055,0.06511241065491118,0.7354497354497355,-0.0007103676097188483,0.08597230666993305,-0.0012741092701146614,2.9692791237366265,3.034391534391535
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,production,te_pff_mtf_w050,core_strict,all_2017_2025,756,2.555301713000784,33.69411311096043,1.3690872438682284,-2.352213184110116,-26.355911432289176,0.06351848447249013,0.7354497354497355,-0.000580065935489843,0.08593646690893114,-0.0012733006847320443,2.970873049919044,3.034391534391535
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,production,te_pff_yac_w025,core_strict,all_2017_2025,756,2.555454804100259,33.7003588244579,1.3694833400293231,-2.3522126982310434,-26.35240643528848,0.06518901845712628,0.7367724867724867,-0.0005933845233536267,0.08597535467674407,-0.0012737889926151807,2.9692025159344073,3.034391534391535
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,production,production,core_strict,development_2017_2022,504,2.638700433513174,34.374403616411826,1.3534702730824444,-2.4303988477170604,-27.178106226575082,0.10850663236328553,0.7222222222222222,0.005533836498368722,0.08229395204931914,-0.004106296590328979,2.9510171771605247,3.05952380952381
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,production,te_pff_mtf_w025,core_strict,development_2017_2022,504,2.638882342872921,34.37553862879092,1.3529110634435513,-2.4303990937968267,-27.183041406278452,0.10733500879835634,0.7202380952380952,0.005583407917066199,0.08218827087571068,-0.004106296590328979,2.9521888007254535,3.05952380952381
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,production,te_pff_mtf_w050,core_strict,development_2017_2022,504,2.638573697166269,34.37658777210086,1.3520944584908876,-2.430399706023538,-27.19125909606267,0.10536412490723755,0.7202380952380952,0.005742252284568511,0.08212591223210987,-0.004106296590328979,2.9541596846165703,3.05952380952381
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,production,te_pff_yac_w025,core_strict,development_2017_2022,504,2.638658099465483,34.379085809343636,1.3531563099645911,-2.4303995343373406,-27.181836184745386,0.1086375946441106,0.7222222222222222,0.005576145008399425,0.08215762253272853,-0.004106296590328979,2.9508862148796986,3.05952380952381
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,production,production,core_strict,recent_2020_2025,504,2.4450560838873185,32.853173456242885,1.3947538802725337,-2.3129848952839964,-24.78926573356184,0.13103032409581578,0.7559523809523809,-0.006291283329677919,0.0888654230929067,0.002327178663021111,2.9780966600311682,3.109126984126984
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,production,te_pff_mtf_w025,core_strict,recent_2020_2025,504,2.4448770861040403,32.847682555478926,1.3947200080749063,-2.31298530312636,-24.791650579420008,0.13068923752019238,0.7559523809523809,-0.0063732649208288195,0.08879428239119821,0.0023284792306284188,2.978437746606792,3.109126984126984
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,production,te_pff_mtf_w050,core_strict,recent_2020_2025,504,2.44474168991993,32.85425057704425,1.3939993305871474,-2.3129860605288215,-24.79654002377673,0.12910425978292206,0.7559523809523809,-0.006240584132610125,0.08874144272942387,0.0023296921087023453,2.980022724344062,3.109126984126984
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,production,te_pff_yac_w025,core_strict,recent_2020_2025,504,2.444960094649772,32.86284602067451,1.3943713360505097,-2.31298550339641,-24.794186246751515,0.13000657078785807,0.7559523809523809,-0.006127012972700921,0.08887322414844565,0.0023289596468776402,2.9791204133391247,3.109126984126984
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,production,production,core_strict,temporal_2023_2025,252,2.3895127388719244,32.333215778249496,1.402769536459109,-2.195837809793622,-24.684927690438162,-0.01886086290540071,0.7658730158730159,-0.013274589894341535,0.0935446878566059,0.004387664235099358,3.0029878470323847,2.984126984126984
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,production,te_pff_mtf_w025,core_strict,temporal_2023_2025,252,2.3890120818204976,32.325431356839864,1.4031779302173204,-2.195838625478348,-24.68881974416827,-0.019332785631979207,0.7658730158730159,-0.013297918663288943,0.09354037825837787,0.004390265370313975,3.0034597697589636,2.984126984126984
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,production,te_pff_mtf_w050,core_strict,temporal_2023_2025,252,2.388757744669813,32.32916378867957,1.4030728146229108,-2.195840140283272,-24.68521610474219,-0.02017279639700471,0.7658730158730159,-0.013224702375606578,0.09355757626257369,0.004392691126461827,3.004299780523988,2.984126984126984
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,production,te_pff_yac_w025,core_strict,temporal_2023_2025,252,2.389048213369811,32.342904854686424,1.4021374001587878,-2.1958390260184495,-24.693546936374656,-0.021708133916842343,0.7658730158730159,-0.012932443586859688,0.09361081896477516,0.004391226202812416,3.0058351180438265,2.984126984126984
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,production,production,core_main,all_2017_2025,1080,2.4810899047409345,30.94958764897013,1.4247176296893784,-2.080523378521684,-22.708787559564986,0.08397901060675196,0.7564814814814815,-0.0015008615274834103,0.09442692981271283,-0.0035137938209469557,3.127132100504358,3.2111111111111104
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,production,te_pff_mtf_w025,core_main,all_2017_2025,1080,2.480987533619298,30.946689714284137,1.4244999074721758,-2.0805256732980593,-22.71192954316324,0.08309409701092244,0.7546296296296297,-0.0014650928540975439,0.09434449926246534,-0.003510933430687209,3.1280170141001893,3.2111111111111104
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,production,te_pff_mtf_w050,core_main,all_2017_2025,1080,2.4806897089406634,30.946287685921547,1.4242590627793965,-2.080522513000177,-22.713081474814505,0.08164018590620373,0.7555555555555555,-0.0013793532911747647,0.09432387907699266,-0.003508466264033696,3.129470925204906,3.2111111111111104
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,production,te_pff_yac_w025,core_main,all_2017_2025,1080,2.4808019597757265,30.951597236506423,1.4245722735227448,-2.0805177303375446,-22.71078224630112,0.08411336768485203,0.7555555555555555,-0.001486025357246526,0.09438243290462456,-0.0035112834237905222,3.1269977434262586,3.2111111111111104
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,production,production,core_main,development_2017_2022,720,2.4995577840202943,31.379094383063048,1.3917032665315137,-2.14113226617597,-23.2196182060704,0.09929382692545528,0.7513888888888889,0.0062667832902060655,0.0893395816607048,-0.0024788869437691015,3.1007061730745438,3.1999999999999993
