study,result_dir,experiment,league,evidence_class,candidate_method,baseline_method,tier,period,metric,n,season_clusters,candidate_minus_baseline,bootstrap_p025,bootstrap_p975,probability_candidate_better,season_cluster_se
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,te_pff_mtf_w025,production,core_main,development_2017_2022,ppg_crps,720,6,8.634385108578301e-05,-1.8152151843254003e-05,0.0002105956541106228,0.075,5.8515549941482806e-05
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,te_pff_mtf_w025,production,core_main,development_2017_2022,contribution_crps,720,6,-0.002109009256036566,-0.005882310790251806,0.002142039864656182,0.8462,0.0020673150127746283
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,te_pff_mtf_w025,production,core_main,development_2017_2022,played_crps,720,6,-0.0005558237139473708,-0.001143487672146904,-2.2709447205297105e-05,0.9806,0.0002874643874801162
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,te_pff_mtf_w050,production,core_main,development_2017_2022,ppg_crps,720,6,-0.0002285307127820648,-0.0006788150662285293,0.00018289972496617762,0.8522,0.0002213677118977546
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,te_pff_mtf_w050,production,core_main,development_2017_2022,contribution_crps,720,6,-0.003577771095837147,-0.011997490726264102,0.006388023224760931,0.7642,0.004878576776994358
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,te_pff_mtf_w050,production,core_main,development_2017_2022,played_crps,720,6,-0.0007387413895504693,-0.0019338553563008783,0.0003399770434713207,0.8966,0.000582810118239556
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,te_pff_yac_w025,production,core_main,development_2017_2022,ppg_crps,720,6,-0.00014737281334396788,-0.000422729746950546,0.00017731991654074773,0.836,0.00015362360899964927
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,te_pff_yac_w025,production,core_main,development_2017_2022,contribution_crps,720,6,-0.0006029322472949899,-0.005121831178392648,0.003385749041331722,0.6002,0.0021729368378680548
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,te_pff_yac_w025,production,core_main,development_2017_2022,played_crps,720,6,-0.00035165620466935725,-0.0011893030015314432,0.0005153747586875942,0.7824,0.0004359826775041583
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,te_pff_mtf_w025,production,core_main,temporal_2023_2025,ppg_crps,360,3,-0.0004798010670814056,-0.0006989072575218413,-9.954336880133956e-05,1.0,0.00015839147178662284
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,te_pff_mtf_w025,production,core_main,temporal_2023_2025,contribution_crps,360,3,-0.004475785545903125,-0.008756845628036958,0.0009467790432612883,0.9656,0.0023182464965477733
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,te_pff_mtf_w025,production,core_main,temporal_2023_2025,played_crps,360,3,0.0004584807762871065,4.127289915777932e-05,0.0008926680188692844,0.0,0.00020210202396372582
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,te_pff_mtf_w050,production,core_main,temporal_2023_2025,ppg_crps,360,3,-0.0007435259752484365,-0.0012428436559072007,0.00020813595856697124,0.966,0.00038391086943709605
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,te_pff_mtf_w050,production,core_main,temporal_2023_2025,contribution_crps,360,3,-0.002744346954064425,-0.017435348367901903,0.0068068353854294035,0.6844,0.006155110139082982
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,te_pff_mtf_w050,production,core_main,temporal_2023_2025,played_crps,360,3,0.00010178204915546484,-0.0014688103178069247,0.00246055840825817,0.403,0.0009743074011361379
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,te_pff_yac_w025,production,core_main,temporal_2023_2025,ppg_crps,360,3,-0.0005690892689349993,-0.0006439299227526063,-0.000425948172515637,1.0,5.755706929837744e-05
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,te_pff_yac_w025,production,core_main,temporal_2023_2025,contribution_crps,360,3,0.007234627103477906,0.0025243319048968925,0.015446826388116822,0.0,0.0033727539456833494
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,te_pff_yac_w025,production,core_main,temporal_2023_2025,played_crps,360,3,0.00026724390943788493,-0.001096262778625105,0.0011311791533604833,0.2602,0.0005611711470320899
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,te_pff_mtf_w025,production,core_broad,development_2017_2022,ppg_crps,936,6,6.467773416890912e-05,-6.087806235750135e-05,0.00018829146274337705,0.1534,6.55739900104868e-05
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,te_pff_mtf_w025,production,core_broad,development_2017_2022,contribution_crps,936,6,-0.0015866206780383967,-0.0037941491170953834,0.0014114833477496755,0.8834,0.001342064852303213
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,te_pff_mtf_w025,production,core_broad,development_2017_2022,played_crps,936,6,-0.00042543262099292413,-0.0008818557205387433,3.0990478552895045e-05,0.9688,0.00023384914549898442
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,te_pff_mtf_w050,production,core_broad,development_2017_2022,ppg_crps,936,6,-0.00016887851243028851,-0.0006380044492444375,0.0001977872847922864,0.7708,0.0002172943560731908
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,te_pff_mtf_w050,production,core_broad,development_2017_2022,contribution_crps,936,6,-0.0022930131947254953,-0.009297359623394855,0.004581322941755697,0.728,0.003598482187058601
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,te_pff_mtf_w050,production,core_broad,development_2017_2022,played_crps,936,6,-0.0007132453519584145,-0.0018358272143816886,0.0001800751085952316,0.9218,0.0005234209545727125
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,te_pff_yac_w025,production,core_broad,development_2017_2022,ppg_crps,936,6,-3.925541427969243e-05,-0.00022126329558528162,0.00017068133215830246,0.6568,0.00010092825206690434
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,te_pff_yac_w025,production,core_broad,development_2017_2022,contribution_crps,936,6,0.001858651501522511,-0.0016761690295335424,0.0048046784846354695,0.1338,0.0016651206158785395
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,te_pff_yac_w025,production,core_broad,development_2017_2022,played_crps,936,6,-0.00020580325445161896,-0.0014884098486784134,0.0009948453437715235,0.6138,0.0006394603658857409
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,te_pff_mtf_w025,production,core_broad,temporal_2023_2025,ppg_crps,468,3,-0.0003969607768417112,-0.000958281676088538,-1.225583202553911e-06,1.0,0.0002349480093638858
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,te_pff_mtf_w025,production,core_broad,temporal_2023_2025,contribution_crps,468,3,-0.005079540526037301,-0.010780083986462666,-0.00024331817214316104,1.0,0.0025064864528449196
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,te_pff_mtf_w025,production,core_broad,temporal_2023_2025,played_crps,468,3,0.0001130102866909042,-0.00038025765324206613,0.0005734790201581344,0.3738,0.0002264502799889896
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,te_pff_mtf_w050,production,core_broad,temporal_2023_2025,ppg_crps,468,3,-0.000648456633943668,-0.0013547236611106152,0.00016527583933200808,0.9616,0.000362928192577204
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,te_pff_mtf_w050,production,core_broad,temporal_2023_2025,contribution_crps,468,3,-0.0053588099205126435,-0.01834311683468716,0.0012714429962175716,0.7068,0.005291194260420512
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,te_pff_mtf_w050,production,core_broad,temporal_2023_2025,played_crps,468,3,-0.0003051238903469756,-0.0018510949384954118,0.000828133965355595,0.699,0.0006615389017450512
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,te_pff_yac_w025,production,core_broad,temporal_2023_2025,ppg_crps,468,3,-0.00039718875558107197,-0.0008190764711194424,-6.652370558686026e-05,1.0,0.00018396431121732858
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,te_pff_yac_w025,production,core_broad,temporal_2023_2025,contribution_crps,468,3,0.004818404129790036,-0.0002444795666114498,0.010294595815838982,0.0386,0.002486581258403261
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,te_pff_yac_w025,production,core_broad,temporal_2023_2025,played_crps,468,3,0.00017163925575254595,-0.00017312667786037317,0.0005831179290586389,0.1522,0.00018287068951051345
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,te_pff_mtf_w025,production,depth_main,development_2017_2022,ppg_crps,1039,6,4.0196801945896265e-05,-8.864557394674444e-05,0.00017691803971711686,0.3336,7.155111903368053e-05
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,te_pff_mtf_w025,production,depth_main,development_2017_2022,contribution_crps,1039,6,0.0002319561381732738,-0.0003411081525859125,0.0008194843027793915,0.2394,0.00030089936309604757
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,te_pff_mtf_w025,production,depth_main,development_2017_2022,played_crps,1039,6,0.00031838073000584326,-0.0007979844567271855,0.0010816114492297366,0.2466,0.0005002972772042337
