league,period,matcher,metric,mean_season_delta,season_wins,seasons,bootstrap_low,bootstrap_high
dk,development_2017_2022,te_pff_yac_w025,score_crps,0.10097402352706315,3,6,-0.29071341696724556,0.5342625871496315
dk,development_2017_2022,te_pff_yac_w025,championship_brier,0.00041458145581155004,1,6,0.00016982074627659485,0.0007330184120209632
dk,development_2017_2022,te_pff_yac_w025,championship_log_loss,0.025797362537173463,1,6,0.009213141336753031,0.04325866186298214
dk,temporal_2023_2025,te_pff_yac_w025,score_crps,0.2417319581533377,1,3,-0.806890509275263,0.8102860337893389
dk,temporal_2023_2025,te_pff_yac_w025,championship_brier,0.0007690775051038453,0,3,0.00012181128984617429,0.0011215680911217107
dk,temporal_2023_2025,te_pff_yac_w025,championship_log_loss,0.041187578658617476,0,3,0.004856958386055155,0.06819072369551638
beta,development_2017_2022,te_pff_yac_w025,score_crps,-0.03156838454632549,4,6,-0.31034367132372864,0.24720690223107766
beta,development_2017_2022,te_pff_yac_w025,championship_brier,-0.00038066518650133513,4,6,-0.0008322083900985424,2.777821733137194e-05
beta,development_2017_2022,te_pff_yac_w025,championship_log_loss,-0.016030108781524,3,6,-0.04232446326080012,0.007681962322460878
beta,temporal_2023_2025,te_pff_yac_w025,score_crps,-0.2513081496121572,3,3,-0.3033617073382544,-0.1853815749529275
beta,temporal_2023_2025,te_pff_yac_w025,championship_brier,0.00015741513099198448,1,3,-0.00023714701334637267,0.00035811059268903156
beta,temporal_2023_2025,te_pff_yac_w025,championship_log_loss,0.008205122599622102,1,3,-0.011706933403972108,0.021055137666575074
