league,period,matcher,teams,rooms,score_crps,championship_brier,championship_log_loss,actual_winner_probability,champion_pick_hit_rate,top3_brier,actual_top3_probability,predicted_top3_overlap,score_crps_baseline,championship_brier_baseline,championship_log_loss_baseline,actual_winner_probability_baseline,champion_pick_hit_rate_baseline,top3_brier_baseline,actual_top3_probability_baseline,predicted_top3_overlap_baseline,score_crps_delta,championship_brier_delta,championship_log_loss_delta,actual_winner_probability_delta,champion_pick_hit_rate_delta,top3_brier_delta,actual_top3_probability_delta,predicted_top3_overlap_delta
dk,all_2017_2025,production,1296,108,240.13296248236688,0.0735753194131314,2.282600449029115,0.1138117283950617,0.1759259259259259,0.1803140627176837,0.2835648148148148,1.0462962962962965,240.13296248236688,0.0735753194131314,2.282600449029115,0.1138117283950617,0.1759259259259259,0.1803140627176837,0.2835648148148148,1.0462962962962965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dk,all_2017_2025,te_pff_yac_w025,1296,108,240.28085581743608,0.0741080662187071,2.3135278836067696,0.1109061535493827,0.1481481481481481,0.1805837079167202,0.2829861111111111,1.0833333333333333,240.13296248236688,0.0735753194131314,2.282600449029115,0.1138117283950617,0.1759259259259259,0.1803140627176837,0.2835648148148148,1.0462962962962965,0.1478933350691988,0.0005327468055756,0.0309274345776544,-0.0029055748456789,-0.0277777777777777,0.0002696451990365,-0.0005787037037037,0.0370370370370369
dk,development_2017_2022,production,864,72,251.73184566896165,0.0724544054196204,2.2160436931217813,0.1234447337962963,0.2083333333333333,0.1760207282172309,0.2957417052469135,1.125,251.73184566896165,0.0724544054196204,2.2160436931217813,0.1234447337962963,0.2083333333333333,0.1760207282172309,0.2957417052469135,1.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dk,development_2017_2022,te_pff_yac_w025,864,72,251.8328196924887,0.072868986875432,2.2418410556589543,0.1213107638888889,0.1805555555555555,0.1762451203271685,0.2952232831790123,1.1944444444444444,251.73184566896165,0.0724544054196204,2.2160436931217813,0.1234447337962963,0.2083333333333333,0.1760207282172309,0.2957417052469135,1.125,0.1009740235270726,0.0004145814558115,0.025797362537173,-0.0021339699074074,-0.0277777777777777,0.0002243921099376,-0.0005184220679012,0.0694444444444444
dk,temporal_2023_2025,production,432,36,216.93519610917735,0.0758171474001535,2.4157139608437834,0.0945457175925925,0.1111111111111111,0.1889007317185892,0.2592110339506173,0.8888888888888888,216.93519610917735,0.0758171474001535,2.4157139608437834,0.0945457175925925,0.1111111111111111,0.1889007317185892,0.2592110339506173,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dk,temporal_2023_2025,te_pff_yac_w025,432,36,217.1769280673308,0.0765862249052573,2.4569015395024008,0.0900969328703703,0.0833333333333333,0.1892608830958237,0.2585117669753086,0.8611111111111112,216.93519610917735,0.0758171474001535,2.4157139608437834,0.0945457175925925,0.1111111111111111,0.1889007317185892,0.2592110339506173,0.8888888888888888,0.2417319581533945,0.0007690775051038,0.0411875786586173,-0.0044487847222222,-0.0277777777777777,0.0003601513772344,-0.0006992669753086,-0.0277777777777776
beta,all_2017_2025,production,1296,108,94.0247129409795,0.0745835690177844,2.3444373042751483,0.1073857060185185,0.1666666666666666,0.1804514755437403,0.2827851723251029,0.9907407407407408,94.0247129409795,0.0745835690177844,2.3444373042751483,0.1073857060185185,0.1666666666666666,0.1804514755437403,0.2827851723251029,0.9907407407407408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beta,all_2017_2025,te_pff_yac_w025,1296,108,93.91989796807788,0.0743822639371142,2.3364856059540067,0.1087480709876543,0.1574074074074074,0.1800030994807741,0.2838782793209876,1.0462962962962965,94.0247129409795,0.0745835690177844,2.3444373042751483,0.1073857060185185,0.1666666666666666,0.1804514755437403,0.2827851723251029,0.9907407407407408,-0.1048149729016074,-0.0002013050806702,-0.0079516983211416,0.0013623649691358,-0.0092592592592592,-0.0004483760629661,0.0010931069958847,0.0555555555555555
beta,development_2017_2022,production,864,72,97.11742966755872,0.07329134686003,2.2705286960501927,0.1176396122685185,0.2222222222222222,0.1770258773992091,0.2931134259259259,1.0972222222222223,97.11742966755872,0.07329134686003,2.2705286960501927,0.1176396122685185,0.2222222222222222,0.1770258773992091,0.2931134259259259,1.0972222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beta,development_2017_2022,te_pff_yac_w025,864,72,97.0858612830124,0.0729106816735287,2.2544985872686687,0.1202618634259259,0.2222222222222222,0.1765165289733635,0.2945360725308641,1.1666666666666667,97.11742966755872,0.07329134686003,2.2705286960501927,0.1176396122685185,0.2222222222222222,0.1770258773992091,0.2931134259259259,1.0972222222222223,-0.0315683845463325,-0.0003806651865013,-0.016030108781524,0.0026222511574073,0.0,-0.0005093484258456,0.0014226466049382,0.0694444444444444
