league,candidate,scope,period,rmse_delta_vs_production,rmse_delta_vs_opportunity_control,mae_delta_vs_production,q90_brier_delta_vs_production,q90_brier_delta_vs_opportunity_control,q90_ap_delta_vs_production,mean_season_te_rmse_delta_vs_control,season_wins_vs_control,seasons,bootstrap_low,bootstrap_high
dk,te_pff_mtf,all,development_2017_2022,-0.0009111223350979,-0.0008801113643936629,-0.0015193265963393,-3.9617674798562985e-05,-2.6011562318649373e-05,0.0012507910796951,-0.006144039656896533,8,9,-0.009136096692552872,-0.003098950204842026
dk,te_pff_mtf,all,temporal_2023_2025,-0.0013993846298085,-0.0012475386635744001,-0.0014181624146125,-0.0001772377292787,-0.00020250929049121428,0.0013797891037522,-0.006144039656896533,8,9,-0.009136096692552872,-0.003098950204842026
dk,te_pff_mtf,te,development_2017_2022,-0.0057563555731494,-0.0055606435019331,-0.0070094260795494,-0.0001822768356203,-0.00011967651542121454,0.0017722102089268,-0.006144039656896533,8,9,-0.009136096692552872,-0.003098950204842026
dk,te_pff_mtf,te,temporal_2023_2025,-0.0087520889781709,-0.0078038470835695,-0.0065214383155227,-0.0008150300041553,-0.0009312416072031,0.0025948162220287,-0.006144039656896533,8,9,-0.009136096692552872,-0.003098950204842026
dk,te_pff_yac,all,development_2017_2022,-0.0011290673388644,-0.0010980563681601628,-0.0017726581681247,-6.138030872367833e-05,-4.777419624376472e-05,0.0016014975928075,-0.006842604730924363,8,9,-0.01223113915307603,-0.0021717089986748282
dk,te_pff_yac,all,temporal_2023_2025,-0.0013564214769807,-0.0012045755107466,-0.0006545842424228,-0.0001984672186128,-0.00022373877982531429,0.0043914931903569,-0.006842604730924363,8,9,-0.01223113915307603,-0.0021717089986748282
dk,te_pff_yac,te,development_2017_2022,-0.0071352155575703,-0.006939503486354,-0.0081781734248027,-0.0002824044697332,-0.00021980414953411457,0.0014391739818846,-0.006842604730924363,8,9,-0.01223113915307603,-0.0021717089986748282
dk,te_pff_yac,te,temporal_2023_2025,-0.0084829427771286,-0.0075347008825272,-0.0030101141556759,-0.0009126540870784,-0.0010288656901262,0.0002321452117002,-0.006842604730924363,8,9,-0.01223113915307603,-0.0021717089986748282
beta,te_pff_mtf,all,development_2017_2022,-0.0005435010670438,-0.0005784736355613884,-0.0004845441058356,-2.1788020106883188e-05,-1.4668744244092369e-05,-8.965926734783025e-05,-0.003277122210178297,6,9,-0.006163510916016965,-0.00023157411054702196
beta,te_pff_mtf,all,temporal_2023_2025,-0.0005966952977836,-0.0003812310000413,-0.0008979455178477,-0.0001704192617056,-0.00017305872200822808,0.0019109186688779,-0.003277122210178297,6,9,-0.006163510916016965,-0.00023157411054702196
beta,te_pff_mtf,te,development_2017_2022,-0.0035025937930774,-0.0037277881500859997,-0.0021781757553145,-9.741101366171624e-05,-6.558178480429307e-05,0.002888775150467,-0.003277122210178297,6,9,-0.006163510916016965,-0.00023157411054702196
beta,te_pff_mtf,te,temporal_2023_2025,-0.0039691391890037,-0.0025367203093842,-0.0040924951854337,-0.0007767063749112,-0.000788736034134345,0.0034167045908937,-0.003277122210178297,6,9,-0.006163510916016965,-0.00023157411054702196
beta,te_pff_yac,all,development_2017_2022,-0.0004724072818733,-0.0005073798503908883,-0.0007339619272781,-4.421264178493256e-05,-3.709336592214174e-05,2.297123732419859e-05,-0.003610252181001725,7,9,-0.00749396642731161,-0.0001764244605010346
beta,te_pff_yac,all,temporal_2023_2025,-0.000951176282534,-0.0007357119847917,-0.0016842329707462,-0.0001721493810182,-0.00017478884132082808,0.00238108792882,-0.003610252181001725,7,9,-0.00749396642731161,-0.0001764244605010346
beta,te_pff_yac,te,development_2017_2022,-0.0030441197333281,-0.0032693140903367,-0.0032993860745957,-0.0001976681787425,-0.0001658389498850768,0.0012482655108357,-0.003610252181001725,7,9,-0.00749396642731161,-0.0001764244605010346
beta,te_pff_yac,te,temporal_2023_2025,-0.0063304807748572,-0.0048980618952377,-0.007676095249572,-0.0007845916027076,-0.0007966212619307451,0.0024661806813373,-0.003610252181001725,7,9,-0.00749396642731161,-0.0001764244605010346
