league,candidate,season,te_rmse_delta_vs_opportunity_control
dk,te_pff_mtf,2017,0.0011884266401100962
dk,te_pff_mtf,2018,-0.002619656375488777
dk,te_pff_mtf,2019,-0.008635137917343716
dk,te_pff_mtf,2020,-0.013883416342152621
dk,te_pff_mtf,2021,-0.0008704305408011592
dk,te_pff_mtf,2022,-0.0074618626217395345
dk,te_pff_mtf,2023,-0.0052418485684988525
dk,te_pff_mtf,2024,-0.011560013724697171
dk,te_pff_mtf,2025,-0.006212417461457065
dk,te_pff_yac,2017,-0.0010847363987578351
dk,te_pff_yac,2018,-0.003881112444401147
dk,te_pff_yac,2019,-0.012942942443968874
dk,te_pff_yac,2020,-0.023268175830262194
dk,te_pff_yac,2021,-0.0008457053795765113
dk,te_pff_yac,2022,0.00201943532806359
dk,te_pff_yac,2023,-0.0006679565912075525
dk,te_pff_yac,2024,-0.009120807188790714
dk,te_pff_yac,2025,-0.011791441629418031
beta,te_pff_mtf,2017,0.005069718860244654
beta,te_pff_mtf,2018,0.0007607086921166406
beta,te_pff_mtf,2019,-0.008292032555674123
beta,te_pff_mtf,2020,-0.008429361923836254
beta,te_pff_mtf,2021,-0.0021928883485557993
beta,te_pff_mtf,2022,-0.008841133252355915
beta,te_pff_mtf,2023,-0.0015941691823999626
beta,te_pff_mtf,2024,-0.006005055675841309
beta,te_pff_mtf,2025,3.011349469739244e-05
beta,te_pff_yac,2017,0.004750003577469464
beta,te_pff_yac,2018,0.0006950768013243014
beta,te_pff_yac,2019,-0.005606894903697146
beta,te_pff_yac,2020,-0.015797222445294246
beta,te_pff_yac,2021,-0.000703111281161517
beta,te_pff_yac,2022,-0.001974661115371923
beta,te_pff_yac,2023,-0.00023368528015477175
beta,te_pff_yac,2024,-0.005210104618146083
beta,te_pff_yac,2025,-0.008411670363983603
