league,candidate,component,period,te_rmse_delta_vs_production
dk,te_pff_mtf,conditional_ppg_lasso,development_2017_2022,-0.012241870045179848
dk,te_pff_mtf,conditional_ppg_lasso,temporal_2023_2025,-0.013028648379569852
dk,te_pff_mtf,conditional_ppg_random_forest,development_2017_2022,-0.0032033904093795584
dk,te_pff_mtf,conditional_ppg_random_forest,temporal_2023_2025,-0.003424683689362329
dk,te_pff_mtf,conditional_ppg_lightgbm,development_2017_2022,-0.002257570252337082
dk,te_pff_mtf,conditional_ppg_lightgbm,temporal_2023_2025,-0.0001745047382857301
dk,te_pff_yac,conditional_ppg_lasso,development_2017_2022,-0.01190770038808786
dk,te_pff_yac,conditional_ppg_lasso,temporal_2023_2025,-0.0072171032305821115
dk,te_pff_yac,conditional_ppg_random_forest,development_2017_2022,-0.005314454986324879
dk,te_pff_yac,conditional_ppg_random_forest,temporal_2023_2025,-0.003111067649969268
dk,te_pff_yac,conditional_ppg_lightgbm,development_2017_2022,-0.004863163792532266
dk,te_pff_yac,conditional_ppg_lightgbm,temporal_2023_2025,-0.0083934415172493
beta,te_pff_mtf,conditional_ppg_lasso,development_2017_2022,-0.006827152716994522
beta,te_pff_mtf,conditional_ppg_lasso,temporal_2023_2025,-0.00874833570773248
beta,te_pff_mtf,conditional_ppg_random_forest,development_2017_2022,-0.0026549601764442876
beta,te_pff_mtf,conditional_ppg_random_forest,temporal_2023_2025,-0.0074458772979904
beta,te_pff_mtf,conditional_ppg_lightgbm,development_2017_2022,1.2640679109665598e-05
beta,te_pff_mtf,conditional_ppg_lightgbm,temporal_2023_2025,0.007016431939438572
beta,te_pff_yac,conditional_ppg_lasso,development_2017_2022,-0.007307081758750833
beta,te_pff_yac,conditional_ppg_lasso,temporal_2023_2025,-0.009442940569214464
beta,te_pff_yac,conditional_ppg_random_forest,development_2017_2022,-0.0019207708603143914
beta,te_pff_yac,conditional_ppg_random_forest,temporal_2023_2025,-0.008412811375104745
beta,te_pff_yac,conditional_ppg_lightgbm,development_2017_2022,0.0010878597225083553
beta,te_pff_yac,conditional_ppg_lightgbm,temporal_2023_2025,-0.0015593221444589744
