comparison,year,comparisons,roster_changed_rate,both_actual_cap_feasible_rate,mean_joint_feasible_actual_points_effect,mean_managed_forecast_season_points_effect,mean_heldout_cap_probability_effect,mean_actual_cap_feasible_effect,mean_actual_cap_overage_effect,mean_actual_salary_spend_effect,mean_point_salary_spend_effect
70_minus_60,2022,250,0.66,0.176,-4.454553777521307,-0.31644677734375,0.08425999999999999,0.024,-1.832,-2.22,-2.023712109565735
70_minus_60,2023,250,0.66,0.052,-0.7169283353365384,-2.04407421875,0.07768,0.016,-0.824,-0.944,-1.7326258716583252
70_minus_60,2024,250,0.6,0.06,-4.986661783854166,-2.03274658203125,0.08276,0.028,-1.904,-2.256,-1.7761120038032532
70_minus_60,2025,250,0.772,0.08,-14.342999267578126,-3.936556640625,0.08904000000000001,0.016,-1.62,-1.692,-2.0932187271118163
80_minus_70,2022,250,0.744,0.216,3.0133373119212963,-2.023326171875,0.08556,0.064,-2.608,-3.484,-2.39953172826767
80_minus_70,2023,250,0.7,0.06,-12.0333251953125,-2.4183369140625,0.08226,0.016,-2.928,-3.168,-2.263810245513916
80_minus_70,2024,250,0.632,0.076,9.973684210526315,-0.78440185546875,0.07884000000000001,0.02,-2.028,-2.216,-2.027334294319153
80_minus_70,2025,250,0.78,0.1,6.927216796875,-0.793015625,0.0812,0.02,-1.044,-1.16,-2.0676365647315977
90_minus_80,2022,250,0.744,0.26,-15.559686748798077,-2.8590546875,0.08220000000000001,0.036,-1.52,-2.452,-2.6541803126335144
90_minus_80,2023,250,0.808,0.068,4.5258932674632355,-1.79459716796875,0.08742,0.012,-2.74,-2.892,-2.8966334829330442
90_minus_80,2024,250,0.744,0.1,-7.11119140625,-2.57480712890625,0.08073999999999999,0.0,-1.716,-2.008,-2.767710449695587
90_minus_80,2025,250,0.86,0.112,-12.5,-4.5589775390625,0.08395999999999999,0.008,-3.028,-3.796,-2.691251708984375
