comparison,lower_chance_level,higher_chance_level,year,trial,roster_changed,both_actual_cap_feasible,joint_feasible_actual_points_effect,managed_forecast_season_points_effect,heldout_cap_probability_effect,actual_cap_feasible_effect,actual_cap_overage_effect,actual_salary_spend_effect,point_salary_spend_effect
70_minus_60,0.6,0.7,2022,46,True,False,,23.65283203125,-0.07999999999999996,0.0,-14.0,-14.0,1.631591796875
70_minus_60,0.6,0.7,2022,47,False,False,,0.0,0.0,0.0,0.0,0.0,0.0
70_minus_60,0.6,0.7,2022,48,True,False,,2.5272216796875,0.11499999999999999,0.0,1.0,1.0,-1.1146411895751953
70_minus_60,0.6,0.7,2022,49,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70_minus_60,0.6,0.7,2022,50,True,False,,20.216064453125,0.19,0.0,-8.0,-8.0,-6.128932952880859
70_minus_60,0.6,0.7,2022,51,True,False,,-0.8917236328125,0.32,1.0,-3.0,-27.0,-5.910511493682861
70_minus_60,0.6,0.7,2022,52,True,False,,-4.015625,0.029999999999999916,0.0,0.0,0.0,-3.724997043609619
70_minus_60,0.6,0.7,2022,53,True,False,,-9.830322265625,0.10499999999999998,0.0,-1.0,-1.0,-2.5622634887695312
70_minus_60,0.6,0.7,2022,54,True,False,,-5.621337890625,0.06500000000000006,0.0,12.0,12.0,0.06679344177246094
70_minus_60,0.6,0.7,2022,55,True,False,,-5.083251953125,0.09499999999999997,0.0,-8.0,-8.0,0.8185868263244629
70_minus_60,0.6,0.7,2022,56,True,False,,0.803955078125,0.2649999999999999,0.0,-10.0,-10.0,-4.074188232421875
70_minus_60,0.6,0.7,2022,57,False,False,,0.0,0.0,0.0,0.0,0.0,0.0
70_minus_60,0.6,0.7,2022,58,True,False,,-10.0655517578125,0.10499999999999998,0.0,1.0,1.0,-3.323795795440674
70_minus_60,0.6,0.7,2022,59,True,False,,11.875732421875,0.22499999999999998,0.0,-8.0,-8.0,-5.097354173660278
70_minus_60,0.6,0.7,2022,60,False,False,,0.0,0.0,0.0,0.0,0.0,0.0
70_minus_60,0.6,0.7,2022,61,True,False,,7.83740234375,-0.010000000000000009,0.0,-2.0,-2.0,-2.4122414588928223
70_minus_60,0.6,0.7,2022,62,True,False,,-4.708251953125,0.14,0.0,5.0,5.0,-5.8884735107421875
70_minus_60,0.6,0.7,2022,63,True,False,,-7.321044921875,-0.05500000000000005,0.0,5.0,5.0,0.707690954208374
70_minus_60,0.6,0.7,2022,64,True,False,,-46.39453125,0.15000000000000002,0.0,-2.0,-2.0,0.33602094650268555
70_minus_60,0.6,0.7,2022,65,True,False,,12.3973388671875,0.040000000000000036,0.0,-10.0,-10.0,-6.12669563293457
70_minus_60,0.6,0.7,2022,66,True,True,-79.5,-4.501708984375,0.16500000000000004,0.0,0.0,9.0,-7.908847093582153
70_minus_60,0.6,0.7,2022,67,True,False,,16.6505126953125,0.235,0.0,-2.0,-2.0,-5.1327900886535645
70_minus_60,0.6,0.7,2022,68,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70_minus_60,0.6,0.7,2022,69,False,False,,0.0,0.0,0.0,0.0,0.0,0.0
70_minus_60,0.6,0.7,2022,70,True,False,,-8.45703125,0.20000000000000007,0.0,-18.0,-18.0,-2.697341799736023
70_minus_60,0.6,0.7,2022,71,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70_minus_60,0.6,0.7,2022,72,False,False,,0.0,0.0,0.0,0.0,0.0,0.0
70_minus_60,0.6,0.7,2022,73,True,False,,-4.68603515625,0.06499999999999995,0.0,0.0,0.0,-0.6665514707565308
70_minus_60,0.6,0.7,2022,74,True,False,,-3.9654541015625,0.06499999999999995,0.0,0.0,0.0,-0.13579797744750977
70_minus_60,0.6,0.7,2022,75,False,False,,0.0,0.0,0.0,0.0,0.0,0.0
70_minus_60,0.6,0.7,2022,76,True,True,-64.8399658203125,-11.4559326171875,0.39,0.0,0.0,-1.0,-12.809065341949463
70_minus_60,0.6,0.7,2022,77,True,False,,-19.397705078125,0.06999999999999995,0.0,-4.0,-4.0,-2.810847759246826
70_minus_60,0.6,0.7,2022,78,False,False,,0.0,0.0,0.0,0.0,0.0,0.0
70_minus_60,0.6,0.7,2022,79,True,True,-1.10009765625,-16.206298828125,0.06500000000000006,0.0,0.0,3.0,1.9535317420959473
70_minus_60,0.6,0.7,2022,80,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70_minus_60,0.6,0.7,2022,81,True,False,,-12.635986328125,0.14500000000000002,0.0,8.0,8.0,-3.7005395889282227
70_minus_60,0.6,0.7,2022,82,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70_minus_60,0.6,0.7,2022,83,True,False,,12.641357421875,-0.08000000000000002,0.0,6.0,6.0,1.56571626663208
70_minus_60,0.6,0.7,2022,84,True,False,,1.92333984375,0.1449999999999999,0.0,-16.0,-16.0,-2.9773077964782715
70_minus_60,0.6,0.7,2022,85,True,False,,10.15087890625,0.355,0.0,-3.0,-3.0,-10.191707372665405
70_minus_60,0.6,0.7,2022,86,False,False,,0.0,0.0,0.0,0.0,0.0,0.0
