year,chance_level,trials,unique_rosters,construction_cap_probability,heldout_cap_probability,managed_forecast_season_points,actual_cap_feasible_rate,actual_cap_overage,actual_salary_spend,affordable_actual_rosters,actual_points_if_affordable,point_salary_spend
2022,0.6,250,250,0.6656,0.6083,1564.8378623046874,0.22,19.196,314.54,55,1487.5556463068183,302.3641513209343
2022,0.7,250,250,0.751,0.69256,1564.5214155273438,0.244,17.364,312.32,61,1464.3111512231046,300.34043921136856
2022,0.8,250,250,0.8443999999999999,0.77812,1562.4980893554687,0.308,14.756,308.836,77,1466.5792220474837,297.9409074831009
2022,0.9,250,250,0.9218,0.8603200000000001,1559.6390346679686,0.344,13.236,306.384,86,1468.353258709575,295.2867271704674
2023,0.6,250,250,0.667,0.62246,1533.0729169921874,0.056,35.74,333.44,14,1751.085736955915,309.54465457296374
2023,0.7,250,250,0.754,0.70014,1531.0288427734374,0.072,34.916,332.496,18,1755.3633355034722,307.8120287013054
2023,0.8,250,250,0.836,0.7824,1528.610505859375,0.088,31.988,329.328,22,1746.420010653409,305.54821845579147
2023,0.9,250,250,0.9218,0.86982,1526.8159086914063,0.1,29.248,326.436,25,1746.0208154296874,302.6515849728584
2024,0.6,250,250,0.6748,0.6204400000000001,1645.5212177734375,0.076,32.848,330.088,19,1585.1284115439967,307.2084234714508
2024,0.7,250,250,0.764,0.7032,1643.4884711914062,0.104,30.944,327.832,26,1578.173856295072,305.43231146764754
2024,0.8,250,250,0.8453999999999999,0.78204,1642.7040693359374,0.124,28.916,325.616,31,1598.4083921370968,303.4049771733284
2024,0.9,250,250,0.9288,0.86278,1640.1292622070312,0.124,27.2,323.608,31,1594.4025918283771,300.6372667236328
2025,0.6,250,250,0.6447999999999999,0.58376,1632.4664233398437,0.108,29.136,326.216,27,1521.8503553602432,306.75762190771104
2025,0.7,250,250,0.7422,0.6728,1628.5298666992187,0.124,27.516,324.524,31,1519.5993455456148,304.6644031805992
2025,0.8,250,250,0.831,0.754,1627.7368510742187,0.144,26.472,323.364,36,1541.102783203125,302.59676661586764
2025,0.9,250,250,0.9182,0.83796,1623.1778735351563,0.152,23.444,319.568,38,1524.975267912212,299.90551490688324
