player,player_key,pos,pred_fp_per_game,stored_pred_salary,pred_salary_raw,base_salary_observed,salary_resid_5,salary_resid_10,salary_resid_25,salary_resid_75,salary_resid_90,salary_resid_95,espn_source_salary,salary_model_matched,espn_source_matched,raw_point_salary,point_salary,year
Aaron Jones,aaronjones,RB,13.398380279541016,66.26947522622382,65.96847675427593,1.0,-6.975817670876205,-5.574979072898117,-3.4456933081651884,2.3008523519487705,8.015352039139007,12.91116845542167,56.0,True,True,65.96847675427593,67.09759,2022
Aaron Rodgers,aaronrodgers,QB,18.130952835083008,7.174817899442054,7.146341942712716,1.0,-9.401793839503004,-7.850336119540361,-5.483688619270591,1.3983746658523726,6.729552821369761,11.203231144300279,4.0,True,True,7.146341942712716,7.253162,2022
Abram Smith,abramsmith,RB,6.306136608123779,,,,-6.975817670876205,-5.574979072898117,-3.4456933081651884,2.3008523519487705,8.015352039139007,12.91116845542167,,False,False,1.0,1.0,2022
Adam Thielen,adamthielen,WR,10.604836463928223,19.349692730462582,19.265070792666407,1.0,-9.896173065358282,-8.718112828807245,-6.497728967271914,0.030018627134109365,4.638892883487749,7.868024679712576,10.0,True,True,19.265070792666407,19.582506,2022
Adam Trautman,adamtrautman,TE,6.530933856964111,1.0,1.0,0.0,-9.401793839503004,-7.850336119540361,-5.483688619270591,1.3983746658523726,6.729552821369761,11.203231144300279,,True,False,1.0,1.0,2022
Aj Brown,ajbrown,WR,11.94201374053955,51.53426886761738,51.30122367064841,1.0,-9.896173065358282,-8.718112828807245,-6.497728967271914,0.030018627134109365,4.638892883487749,7.868024679712576,46.0,True,True,51.30122367064841,52.17543,2022
Aj Dillon,ajdillon,RB,10.621748924255371,19.492272800548726,19.40699333665666,1.0,-6.975817670876205,-5.574979072898117,-3.4456933081651884,2.3008523519487705,8.015352039139007,12.91116845542167,2.0,True,True,19.40699333665666,19.726896,2022
Aj Green,ajgreen,WR,8.239962577819824,1.0,1.0,0.0,-9.896173065358282,-8.718112828807245,-6.497728967271914,0.030018627134109365,4.638892883487749,7.868024679712576,,True,False,1.0,1.0,2022
Albert Okwuegbunam,albertokwuegbunam,TE,7.163317680358887,2.9078012055705527,2.8990031380869894,0.0,-9.401793839503004,-7.850336119540361,-5.483688619270591,1.3983746658523726,6.729552821369761,11.203231144300279,,True,False,2.8990031380869894,2.9320066,2022
Alec Pierce,alecpierce,WR,6.653608322143555,3.585204521444806,3.573282522563543,0.0,-9.896173065358282,-8.718112828807245,-6.497728967271914,0.030018627134109365,4.638892883487749,7.868024679712576,,True,False,3.573282522563543,3.6180046,2022
Alexander Mattison,alexandermattison,RB,8.616082191467285,4.2704195220901635,4.255337567235068,0.0,-6.975817670876205,-5.574979072898117,-3.4456933081651884,2.3008523519487705,8.015352039139007,12.91116845542167,,True,False,4.255337567235068,4.3119135,2022
Allen Lazard,allenlazard,WR,8.974535942077637,12.968085619792976,12.912893273428717,1.0,-9.896173065358282,-8.718112828807245,-6.497728967271914,0.030018627134109365,4.638892883487749,7.868024679712576,4.0,True,True,12.912893273428717,13.119932,2022
Alvin Kamara,alvinkamara,RB,13.856033325195312,83.82095990855895,83.43902053657335,1.0,-6.975817670876205,-5.574979072898117,-3.4456933081651884,2.3008523519487705,8.015352039139007,12.91116845542167,81.0,True,True,83.43902053657335,84.871765,2022
Amari Cooper,amaricooper,WR,10.31868839263916,18.779006464037153,18.69701631841581,1.0,-9.896173065358282,-8.718112828807245,-6.497728967271914,0.030018627134109365,4.638892883487749,7.868024679712576,12.0,True,True,18.69701631841581,19.00458,2022
Amari Rodgers,amarirodgers,WR,7.209855079650879,1.0,1.0,0.0,-9.896173065358282,-8.718112828807245,-6.497728967271914,0.030018627134109365,4.638892883487749,7.868024679712576,,True,False,1.0,1.0,2022
Austin Hooper,austinhooper,TE,6.908958435058594,1.0,1.0,0.0,-9.401793839503004,-7.850336119540361,-5.483688619270591,1.3983746658523726,6.729552821369761,11.203231144300279,,True,False,1.0,1.0,2022
Baker Mayfield,bakermayfield,QB,14.359182357788086,1.4506389491365732,1.4485607704072334,0.0,-9.401793839503004,-7.850336119540361,-5.483688619270591,1.3983746658523726,6.729552821369761,11.203231144300279,,True,False,1.4485607704072334,1.4563565,2022
Benny Snell,bennysnell,RB,6.416409492492676,,,,-6.975817670876205,-5.574979072898117,-3.4456933081651884,2.3008523519487705,8.015352039139007,12.91116845542167,,False,False,1.0,1.0,2022
Boston Scott,bostonscott,RB,6.847029209136963,1.0,1.0,0.0,-6.975817670876205,-5.574979072898117,-3.4456933081651884,2.3008523519487705,8.015352039139007,12.91116845542167,,True,False,1.0,1.0,2022
Brandin Cooks,brandincooks,WR,10.482514381408691,36.58765997355522,36.42354296119816,1.0,-9.896173065358282,-8.718112828807245,-6.497728967271914,0.030018627134109365,4.638892883487749,7.868024679712576,38.0,True,True,36.42354296119816,37.039185,2022
Brandon Aiyuk,brandonaiyuk,WR,9.455514907836914,12.84037735396993,12.785773950488,1.0,-9.896173065358282,-8.718112828807245,-6.497728967271914,0.030018627134109365,4.638892883487749,7.868024679712576,4.0,True,True,12.785773950488,12.990603,2022
Braxton Berrios,braxtonberrios,WR,7.5475664138793945,1.0,1.0,0.0,-9.896173065358282,-8.718112828807245,-6.497728967271914,0.030018627134109365,4.638892883487749,7.868024679712576,,True,False,1.0,1.0,2022
Breece Hall,breecehall,RB,14.028142929077148,45.683673745352166,45.477609310610625,1.0,-6.975817670876205,-5.574979072898117,-3.4456933081651884,2.3008523519487705,8.015352039139007,12.91116845542167,33.0,True,True,45.477609310610625,46.250603,2022
Brevin Jordan,brevinjordan,TE,6.908616065979004,1.0,1.0,0.0,-9.401793839503004,-7.850336119540361,-5.483688619270591,1.3983746658523726,6.729552821369761,11.203231144300279,,True,False,1.0,1.0,2022
Brian Robinson,brianrobinson,RB,7.117944240570068,3.711459279246155,3.69895504051935,1.0,-6.975817670876205,-5.574979072898117,-3.4456933081651884,2.3008523519487705,8.015352039139007,12.91116845542167,0.0,True,True,3.69895504051935,3.7458613,2022
Bryan Edwards,bryanedwards,WR,7.607735633850098,1.0,1.0,0.0,-9.896173065358282,-8.718112828807245,-6.497728967271914,0.030018627134109365,4.638892883487749,7.868024679712576,,True,False,1.0,1.0,2022
Byron Pringle,byronpringle,WR,7.625349044799805,1.0,1.0,0.0,-9.896173065358282,-8.718112828807245,-6.497728967271914,0.030018627134109365,4.638892883487749,7.868024679712576,,True,False,1.0,1.0,2022
Cade Otton,cadeotton,TE,5.9617204666137695,,,,-9.401793839503004,-7.850336119540361,-5.483688619270591,1.3983746658523726,6.729552821369761,11.203231144300279,,False,False,1.0,1.0,2022
Calvin Austin,calvinaustin,WR,4.27553129196167,,,,-9.896173065358282,-8.718112828807245,-6.497728967271914,0.030018627134109365,4.638892883487749,7.868024679712576,,False,False,1.0,1.0,2022
Calvin Ridley,calvinridley,WR,8.882122993469238,,,,-9.896173065358282,-8.718112828807245,-6.497728967271914,0.030018627134109365,4.638892883487749,7.868024679712576,,False,False,1.0,1.0,2022
Cameron Brate,cameronbrate,TE,6.336123466491699,1.0,1.0,0.0,-9.401793839503004,-7.850336119540361,-5.483688619270591,1.3983746658523726,6.729552821369761,11.203231144300279,,True,False,1.0,1.0,2022
Cedrick Wilson,cedrickwilson,WR,7.56048059463501,1.0,1.0,0.0,-9.896173065358282,-8.718112828807245,-6.497728967271914,0.030018627134109365,4.638892883487749,7.868024679712576,,True,False,1.0,1.0,2022
Chase Claypool,chaseclaypool,WR,9.312097549438477,8.264500441683289,8.230999275558808,1.0,-9.896173065358282,-8.718112828807245,-6.497728967271914,0.030018627134109365,4.638892883487749,7.868024679712576,2.0,True,True,8.230999275558808,8.356669,2022
Chase Edmonds,chaseedmonds,RB,9.818498611450195,19.263286506283563,19.17906304176076,1.0,-6.975817670876205,-5.574979072898117,-3.4456933081651884,2.3008523519487705,8.015352039139007,12.91116845542167,6.0,True,True,19.17906304176076,19.495005,2022
Chigoziem Okonkwo,chigoziemokonkwo,TE,5.612775802612305,,,,-9.401793839503004,-7.850336119540361,-5.483688619270591,1.3983746658523726,6.729552821369761,11.203231144300279,,False,False,1.0,1.0,2022
Chris Evans,chrisevans,RB,7.310017108917236,1.0,1.0,0.0,-6.975817670876205,-5.574979072898117,-3.4456933081651884,2.3008523519487705,8.015352039139007,12.91116845542167,,True,False,1.0,1.0,2022
Chris Godwin,chrisgodwin,WR,11.454334259033203,28.613218456682873,28.48587659385623,1.0,-9.896173065358282,-8.718112828807245,-6.497728967271914,0.030018627134109365,4.638892883487749,7.868024679712576,23.0,True,True,28.48587659385623,28.963564,2022
Chris Olave,chrisolave,WR,9.116775512695312,9.736534511350994,9.696244873217362,1.0,-9.896173065358282,-8.718112828807245,-6.497728967271914,0.030018627134109365,4.638892883487749,7.868024679712576,2.0,True,True,9.696244873217362,9.847381,2022
