season,pos,rows,mean_expert_center,mean_locked_center,mean_locked_minus_expert,mean_abs_locked_minus_expert
2021,QB,38,19.395850523486004,22.601407380598705,3.205556857112697,3.744371124709741
2021,RB,84,8.29264337539844,9.558162230181864,1.2655188547834237,1.3871644115535786
2021,TE,48,7.089669121751772,7.930840081260503,0.8411709595087316,0.8855729008257954
2021,WR,122,8.741910438037701,9.776999080592649,1.0350886425549475,1.178902332723498
2022,QB,41,16.61144962494219,21.47219813582526,4.86074851088307,5.158065697696078
2022,RB,88,8.350635090950709,9.586845588692764,1.2362104977420554,1.3723808911861033
2022,TE,48,6.930782398561959,7.773552208913238,0.8427698103512787,0.8692594838474168
2022,WR,122,8.551655118822167,9.601768088784597,1.050112969962432,1.1467607677124076
2023,QB,41,16.4149114009463,20.90211075145043,4.487199350504133,4.622999496003504
2023,RB,86,7.539110563341995,8.903384379966084,1.3642738166240882,1.4452416269596609
2023,TE,48,6.258087278132652,7.3585054868697,1.1004182087370489,1.1487935470571606
2023,WR,134,7.851457101669616,9.040784244527092,1.1893271428574763,1.2322174824671934
2024,QB,42,16.701721448215594,20.921435984879857,4.219714536664263,4.316079960988154
2024,RB,87,7.6738347236134175,8.870744084362492,1.196909360749075,1.3015988513736108
2024,TE,47,6.766509800976561,7.580762127699997,0.8142523267234363,0.8450489400770722
2024,WR,128,8.312718788920376,9.305643537573154,0.992924748652777,1.0581710505655577
2025,QB,44,15.49506241792775,20.754799601026313,5.259737183098564,5.2705121688311
2025,RB,85,7.830236388525985,9.01659124090177,1.1863548523757859,1.265247773327366
2025,TE,49,6.923774284335927,7.71379511701908,0.7900208326831538,0.8113617599100299
2025,WR,127,8.284791335532537,9.238975638837136,0.9541843033045989,0.9967511006084617
