season,pos,target_rows,expected_rows
2023,QB,24,24
2023,RB,60,60
2023,TE,24,24
2023,WR,72,72
2024,QB,24,24
2024,RB,60,60
2024,TE,24,24
2024,WR,72,72
2025,QB,24,24
2025,RB,60,60
2025,TE,24,24
2025,WR,72,72
