cluster,metric,n_rows,n_clusters,samples,locked_minus_expert,bootstrap_p025,bootstrap_p975,probability_locked_better
player_key,ppg_crps,540,271,2000,0.0029011579069808946,-0.004914438770522261,0.010748381632902333,0.2485
player_key,contribution_crps,540,271,2000,0.046970139590891136,-0.05170233830758888,0.1431975991835719,0.1735
player_key,played_crps,540,271,2000,0.0,0.0,0.0,0.0
player_key,plus3_brier_row,540,271,2000,-0.0004704907579906461,-0.002415448830511955,0.001471561372444415,0.677
player_key,plus5_brier_row,540,271,2000,0.0003136053460662553,-0.00042444803679661156,0.0010440134910007046,0.199
player_key,impact_brier_row,540,271,2000,-0.0005223163502886307,-0.002241642677888368,0.0010374249223098343,0.7295
player_key,zero_brier_row,540,271,2000,-0.00031278655577673573,-0.0006597954837872864,-3.47430161394787e-05,0.9855
player_key,extended_absence_brier_row,540,271,2000,0.0,0.0,0.0,0.0
season,ppg_crps,540,3,2000,0.0029011579069808946,0.000577760719453313,0.0057878761776022246,0.0
season,contribution_crps,540,3,2000,0.046970139590891136,-1.4835717167757976e-05,0.08967267445662014,0.0355
season,played_crps,540,3,2000,0.0,0.0,0.0,0.0
season,plus3_brier_row,540,3,2000,-0.0004704907579906461,-0.0016228044503799571,0.0003137144479421075,0.7505
season,plus5_brier_row,540,3,2000,0.0003136053460662553,-0.00039051758486770364,0.0008474310763144302,0.157
season,impact_brier_row,540,3,2000,-0.0005223163502886307,-0.0008166624146824419,-9.463585259160489e-06,1.0
season,zero_brier_row,540,3,2000,-0.00031278655577673573,-0.0006262022423860865,7.212617015383202e-05,0.9605
season,extended_absence_brier_row,540,3,2000,0.0,0.0,0.0,0.0
