gate,passed,observed,threshold
pooled_ppg_crps_improves,0,0.002901157906980867,0.0
player_cluster_ppg_upper_at_or_below_zero,0,0.010748381632902333,0.0
ppg_season_wins_at_least_two,0,0.0,2.0
contribution_crps_within_0_25pct,1,0.0018042056908704751,0.0025
played_crps_within_0_25pct,1,0.0,0.0025
all_coverage_within_one_point,0,-0.012962962962962954,-0.01
all_event_briers_within_0_001,1,0.0003136053460662397,0.001
absolute_ppg_bias_within_0_10,1,-0.000633182913052005,0.1
position_composite_within_0_5pct,1,0.004695833664299265,0.005
position_metric_within_1pct,1,0.007755128518901255,0.01
