center_policy,metric,pit_bin,n,share,uniform_share
expert_donor_center,ppg,0.0-0.1,72,0.13333333333333333,0.1
expert_donor_center,ppg,0.1-0.2,62,0.11481481481481481,0.1
expert_donor_center,ppg,0.2-0.3,49,0.09074074074074075,0.1
expert_donor_center,ppg,0.3-0.4,55,0.10185185185185185,0.1
expert_donor_center,ppg,0.4-0.5,44,0.08148148148148149,0.1
expert_donor_center,ppg,0.5-0.6,56,0.1037037037037037,0.1
expert_donor_center,ppg,0.6-0.7,44,0.08148148148148149,0.1
expert_donor_center,ppg,0.7-0.8,35,0.06481481481481481,0.1
expert_donor_center,ppg,0.8-0.9,51,0.09444444444444444,0.1
expert_donor_center,ppg,0.9-1.0,72,0.13333333333333333,0.1
expert_donor_center,contribution,0.0-0.1,64,0.11851851851851852,0.1
expert_donor_center,contribution,0.1-0.2,58,0.10740740740740741,0.1
expert_donor_center,contribution,0.2-0.3,59,0.10925925925925926,0.1
expert_donor_center,contribution,0.3-0.4,41,0.07592592592592592,0.1
expert_donor_center,contribution,0.4-0.5,57,0.10555555555555556,0.1
expert_donor_center,contribution,0.5-0.6,45,0.08333333333333333,0.1
expert_donor_center,contribution,0.6-0.7,54,0.1,0.1
expert_donor_center,contribution,0.7-0.8,42,0.07777777777777778,0.1
expert_donor_center,contribution,0.8-0.9,53,0.09814814814814815,0.1
expert_donor_center,contribution,0.9-1.0,67,0.12407407407407407,0.1
locked_oof_donor_center,ppg,0.0-0.1,77,0.1425925925925926,0.1
locked_oof_donor_center,ppg,0.1-0.2,56,0.1037037037037037,0.1
locked_oof_donor_center,ppg,0.2-0.3,53,0.09814814814814815,0.1
locked_oof_donor_center,ppg,0.3-0.4,52,0.0962962962962963,0.1
locked_oof_donor_center,ppg,0.4-0.5,51,0.09444444444444444,0.1
locked_oof_donor_center,ppg,0.5-0.6,49,0.09074074074074075,0.1
locked_oof_donor_center,ppg,0.6-0.7,48,0.08888888888888889,0.1
locked_oof_donor_center,ppg,0.7-0.8,36,0.06666666666666667,0.1
locked_oof_donor_center,ppg,0.8-0.9,44,0.08148148148148149,0.1
locked_oof_donor_center,ppg,0.9-1.0,73,0.13518518518518519,0.1
locked_oof_donor_center,contribution,0.0-0.1,68,0.1259259259259259,0.1
locked_oof_donor_center,contribution,0.1-0.2,58,0.10740740740740741,0.1
locked_oof_donor_center,contribution,0.2-0.3,56,0.1037037037037037,0.1
locked_oof_donor_center,contribution,0.3-0.4,45,0.08333333333333333,0.1
locked_oof_donor_center,contribution,0.4-0.5,58,0.10740740740740741,0.1
locked_oof_donor_center,contribution,0.5-0.6,39,0.07222222222222222,0.1
locked_oof_donor_center,contribution,0.6-0.7,52,0.0962962962962963,0.1
locked_oof_donor_center,contribution,0.7-0.8,46,0.08518518518518518,0.1
locked_oof_donor_center,contribution,0.8-0.9,48,0.08888888888888889,0.1
locked_oof_donor_center,contribution,0.9-1.0,69,0.12777777777777777,0.1
