probability_bin,n,predicted,observed,center_policy,event
5-10%,50,0.0838341350762063,0.2,expert_donor_center,plus3
10-20%,290,0.15868179576302108,0.20344827586206896,expert_donor_center,plus3
20-35%,198,0.23420494693108568,0.22727272727272727,expert_donor_center,plus3
35%+,2,0.36108059901557144,0.0,expert_donor_center,plus3
2.5-5%,3,0.03394149705996658,0.3333333333333333,locked_oof_donor_center,plus3
5-10%,37,0.08193129101026703,0.2972972972972973,locked_oof_donor_center,plus3
10-20%,297,0.15690934500344514,0.1919191919191919,locked_oof_donor_center,plus3
20-35%,200,0.24177258335821952,0.22,locked_oof_donor_center,plus3
35%+,3,0.3609695016035448,0.3333333333333333,locked_oof_donor_center,plus3
0-2.5%,40,0.01639318257179499,0.025,expert_donor_center,plus5
2.5-5%,159,0.03898617320551091,0.09433962264150944,expert_donor_center,plus5
5-10%,262,0.07107769946810753,0.09923664122137404,expert_donor_center,plus5
10-20%,77,0.12392087837016046,0.06493506493506493,expert_donor_center,plus5
20-35%,2,0.258697470193577,0.0,expert_donor_center,plus5
0-2.5%,57,0.017623323777569075,0.05263157894736842,locked_oof_donor_center,plus5
2.5-5%,150,0.03851842572900709,0.10666666666666667,locked_oof_donor_center,plus5
5-10%,232,0.07181653133208105,0.08189655172413793,locked_oof_donor_center,plus5
10-20%,99,0.1304167318668555,0.09090909090909091,locked_oof_donor_center,plus5
20-35%,2,0.2054116805039112,0.0,locked_oof_donor_center,plus5
0-2.5%,110,0.011927923630279023,0.02727272727272727,expert_donor_center,impact
2.5-5%,58,0.03808195806590882,0.08620689655172414,expert_donor_center,impact
5-10%,98,0.07604707202887756,0.12244897959183673,expert_donor_center,impact
10-20%,236,0.153818576804501,0.1652542372881356,expert_donor_center,impact
20-35%,38,0.22245172124141394,0.15789473684210525,expert_donor_center,impact
0-2.5%,133,0.013311142425830182,0.03759398496240601,locked_oof_donor_center,impact
2.5-5%,41,0.03771030764394825,0.04878048780487805,locked_oof_donor_center,impact
5-10%,81,0.0774835714235666,0.1111111111111111,locked_oof_donor_center,impact
10-20%,214,0.15133781064451352,0.17289719626168223,locked_oof_donor_center,impact
20-35%,71,0.22534036564500948,0.16901408450704225,locked_oof_donor_center,impact
0-2.5%,421,0.00689784938478915,0.009501187648456057,expert_donor_center,zero_contribution
2.5-5%,60,0.03609400159563424,0.03333333333333333,expert_donor_center,zero_contribution
5-10%,33,0.06877059577315792,0.12121212121212122,expert_donor_center,zero_contribution
10-20%,26,0.13155054889839868,0.15384615384615385,expert_donor_center,zero_contribution
0-2.5%,429,0.00670762680904125,0.006993006993006993,locked_oof_donor_center,zero_contribution
2.5-5%,57,0.03593150155715712,0.05263157894736842,locked_oof_donor_center,zero_contribution
5-10%,30,0.07250261779964041,0.1,locked_oof_donor_center,zero_contribution
10-20%,24,0.13575883714493364,0.20833333333333334,locked_oof_donor_center,zero_contribution
0-2.5%,15,0.017547479435589527,0.2,expert_donor_center,extended_absence
2.5-5%,44,0.038518861297648206,0.06818181818181818,expert_donor_center,extended_absence
5-10%,216,0.07708194541195523,0.0787037037037037,expert_donor_center,extended_absence
10-20%,251,0.13590093743343346,0.10756972111553785,expert_donor_center,extended_absence
20-35%,13,0.2358959768333771,0.46153846153846156,expert_donor_center,extended_absence
35%+,1,0.3521542921436528,0.0,expert_donor_center,extended_absence
0-2.5%,15,0.017547479435589527,0.2,locked_oof_donor_center,extended_absence
2.5-5%,44,0.038518861297648206,0.06818181818181818,locked_oof_donor_center,extended_absence
5-10%,216,0.07708194541195523,0.0787037037037037,locked_oof_donor_center,extended_absence
10-20%,251,0.13590093743343346,0.10756972111553785,locked_oof_donor_center,extended_absence
20-35%,13,0.2358959768333771,0.46153846153846156,locked_oof_donor_center,extended_absence
35%+,1,0.3521542921436528,0.0,locked_oof_donor_center,extended_absence
