league,template_id,template_local_id,player,pos,team,season,avg_proj_points,preseason_proj_ppg,validation_pred_fp_per_game,builder_historical_pred_fp_per_game,builder_historical_projection_source,legacy_historical_pred_fp_per_game,legacy_historical_projection_source,v2_historical_pred_fp_per_game,v2_point_center_source,v2_template_center_available,v2_template_center_unavailable_reason,v2_template_center_position,v2_template_center_position_mismatch,v2_template_center_position_mismatch_reason,historical_center_policy,v2_recenter_promoted,validation_ensemble_sources,avg_pick,year_exp,source_year_exp,year_exp_source,year_exp_uncapped_delta,year_exp_bucket,exp_bucket,qb_team_rank,qb_team_rank_bucket,projection_rank_pct,projection_decile,projection_tier,active_games,played_games,active_ppg,active_ppg_resid,season_points,profile_total,managed_profile_total,template_eligible,template_exclusion_reason,match_projection_rank_pct,match_projection_ppg_scaled,year_exp_scaled,projection_x_exp,adp_rank_pct,market_projection_gap,projection_disagreement_frac,rank_disagreement_scaled,rush_proj_rank_pct,rec_proj_rank_pct,pass_proj_rank_pct,rush_share_of_own_points,rec_share_of_own_points,rb_rush_share_of_room,rb_rec_share_of_room,rb_combined_share_of_room,rb_room_rank_scaled,rb_gap_to_next_share,rb_room_concentration,team_rec_share,pass_catcher_rank_scaled,pass_catcher_gap_to_next_share,pass_catcher_room_concentration,team_qb_proj_points,qb_room_share,team_qb1_proj_points,team_qb2_proj_points,qb1_over_qb2_gap_pct,team_qb_pass_points,team_qb_pass_proj_rank_pct,avg_proj_rush_points,avg_proj_rec_points,avg_proj_pass_points,qb_avg_proj_pass_points,std_proj_points,std_pos_rank,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,managed_week_1,managed_week_2,managed_week_3,managed_week_4,managed_week_5,managed_week_6,managed_week_7,managed_week_8,managed_week_9,managed_week_10,managed_week_11,managed_week_12,managed_week_13,managed_week_14,managed_week_15,managed_week_16,played_week_1,played_week_2,played_week_3,played_week_4,played_week_5,played_week_6,played_week_7,played_week_8,played_week_9,played_week_10,played_week_11,played_week_12,played_week_13,played_week_14,played_week_15,played_week_16,production_oos_pred_fp_per_game,production_validation_y_act,historical_pred_fp_per_game,historical_projection_source,observed_ppg,observed_residual,observed_contribution,observed_total,observed_zero_contribution,observed_plus3,observed_plus5,impact_threshold,observed_impact,experience_group,preseason_pos_rank
beta,1002603,2603,Aaron Rodgers,QB,GB,2017,354.33,22.145625,26.335999039546763,26.335999039546763,validation_ensemble,26.335999039546763,validation_ensemble,20.408961377015526,v2_conditional_ppg_2026_candidate_beta_v1,1,,QB,0,,legacy_validated_oos,0,"validation_all_current,validation_rush_pass_rec",23.67,12.0,12.0,draft_team_match,0.0,12,veteran,1,qb1,1.0,10,elite,6,7,21.063333333333333,-5.272665706213431,126.38,6.0,6.034182623832885,1,,1.0,2.0208717838913115,1.2,1.2,1.0,0.0,0.012446024892049785,0.002105263157894737,0.8947368421052632,0.02631578947368421,0.9473684210526315,0.13538227076454154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354.33,1.0,354.33,0.0,1.0,308.598,0.9210526315789473,47.97,0.0,308.598,0.0,4.41,0.08,0.7045418578889064,0.9789523658806772,1.0833992720367147,1.1944927994935908,1.0938439626523184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9447697420477925,0.0,0.7045418578889064,0.9789523658806772,1.0833992720367147,1.1944927994935908,1.0938439626523184,0.03418262383288495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9447697420477925,0.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,20.208717838913117,21.063333333333333,20.208717838913117,final_validations_resid_oos,21.063333333333333,0.8546154944202158,36.54,127.1,0,0,0,76.672,0,9+,1
beta,1002637,2637,Tom Brady,QB,NE,2017,331.84,20.74,25.263198207991096,25.263198207991096,validation_ensemble,25.263198207991096,validation_ensemble,19.895925852095186,v2_conditional_ppg_2026_candidate_beta_v1,1,,QB,0,,legacy_validated_oos,0,"validation_all_current,validation_rush_pass_rec",30.33,17.0,13.0,draft_team_match,4.0,17,veteran,1,qb1,0.9736842105263158,10,elite,15,15,19.169333333333334,-6.093864874657761,287.54,15.0,15.0,1,,0.9736842105263158,1.9430642403253722,1.7,1.6552631578947368,0.9736842105263158,0.0,0.010366441658630666,0.004210526315789474,0.5,0.9210526315789473,1.0,0.03688825940212151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340.83,0.9736232139189626,331.84,8.99,0.9729086306653809,320.50200000000007,1.0,12.241,0.0,320.50200000000007,0.0,3.44,0.16,0.4058565764763163,1.8143562634763855,1.919732906726021,1.0683730959170898,0.710509842108924,0.9536064547541212,0.978646449189678,0.8617931418237462,0.0,1.2853863810252486,1.4919663351185921,1.2561730541837657,0.27752660499408777,0.43402657021631774,0.7303331710370731,0.8117131529526327,0.4058565764763163,1.8143562634763855,1.919732906726021,1.0683730959170898,0.710509842108924,0.9536064547541212,0.978646449189678,0.8617931418237462,0.0,1.2853863810252486,1.4919663351185921,1.2561730541837657,0.27752660499408777,0.43402657021631774,0.7303331710370731,0.8117131529526327,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,19.43064240325372,19.169333333333334,19.43064240325372,final_validations_resid_oos,19.169333333333334,-0.2613090699203866,88.5,287.54,0,0,0,76.672,0,9+,2
beta,1002620,2620,Drew Brees,QB,NO,2017,323.64,20.2275,24.9367465892445,24.9367465892445,validation_ensemble,24.9367465892445,validation_ensemble,19.683395909928635,v2_conditional_ppg_2026_candidate_beta_v1,1,,QB,0,,legacy_validated_oos,0,"validation_all_current,validation_rush_pass_rec",42.43,16.0,10.0,draft_name_match,6.0,16,veteran,1,qb1,0.9473684210526315,10,elite,15,15,16.637333333333334,-8.299413255911166,249.56,15.000000000000002,15.000000000000002,1,,0.9473684210526315,1.9254573636106636,1.6,1.5157894736842106,0.9473684210526315,0.0,0.005716227907551601,0.006578947368421052,0.4473684210526316,0.47368421052631576,0.9736842105263158,0.035258311704362874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.64,1.0,323.64,0.0,1.0,313.3984,0.9473684210526315,11.411,0.0,313.3984,0.0,1.85,0.25,0.9400544959128065,1.4569642570924828,1.370411924987979,1.2033178393973392,0.0,0.6936207725597051,1.2886680557781696,0.6046642090078538,1.2093284180157076,0.7849815675589037,1.358390767751242,0.7417054015066517,0.7128546241384837,1.024202596569963,0.9160121814393333,0.6948228882833788,0.9400544959128065,1.4569642570924828,1.370411924987979,1.2033178393973392,0.0,0.6936207725597051,1.2886680557781696,0.6046642090078538,1.2093284180157076,0.7849815675589037,1.358390767751242,0.7417054015066517,0.7128546241384837,1.024202596569963,0.9160121814393333,0.6948228882833788,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,19.254573636106635,16.63733333333333,19.254573636106635,final_validations_resid_oos,16.637333333333334,-2.6172403027733004,44.14,249.56,0,0,0,76.672,0,9+,3
beta,1002636,2636,Russell Wilson,QB,SEA,2017,311.18,19.44875,25.351068940273883,25.351068940273883,validation_ensemble,25.351068940273883,validation_ensemble,18.277503118660633,v2_conditional_ppg_2026_candidate_beta_v1,1,,QB,0,,legacy_validated_oos,0,"validation_all_current,validation_rush_pass_rec",65.1,5.0,5.0,draft_team_match,0.0,5,prime,1,qb1,0.9210526315789473,10,elite,15,15,22.062666666666665,-3.2884022736072183,330.94,15.000000000000002,15.000000000000002,1,,0.9210526315789473,1.8453766037495813,0.5,0.4605263157894737,0.8947368421052632,-0.02631578947368418,0.009962079825181568,0.010789473684210526,0.9473684210526315,0.8947368421052632,0.6842105263157895,0.17673050967285817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311.18,1.0,311.18,0.0,1.0,258.48040000000003,0.6578947368421053,54.995000000000005,0.0,258.48040000000003,0.0,3.1,0.41,0.3317821961684898,0.6309300779597511,1.7006103825466854,1.1639572127878168,0.4360307004290809,0.0,1.3307548196047623,1.8257085876593946,1.0687737958542336,0.748776213210854,1.4050885356862273,1.2110956668882578,1.2228802804133678,1.0352329727443041,0.2529159364235209,0.6354626216232551,0.3317821961684898,0.6309300779597511,1.7006103825466854,1.1639572127878168,0.4360307004290809,0.0,1.3307548196047623,1.8257085876593946,1.0687737958542336,0.748776213210854,1.4050885356862273,1.2110956668882578,1.2228802804133678,1.0352329727443041,0.2529159364235209,0.6354626216232551,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,18.453766037495814,22.062666666666665,18.453766037495814,final_validations_resid_oos,22.062666666666665,3.6089006291708507,130.48000000000002,330.94000000000005,0,1,0,76.672,1,3-5,4
beta,1002631,2631,Matt Ryan,QB,ATL,2017,307.62,19.22625,24.380834734952934,24.380834734952934,validation_ensemble,24.380834734952934,validation_ensemble,17.74447256094714,v2_conditional_ppg_2026_candidate_beta_v1,1,,QB,0,,legacy_validated_oos,0,"validation_all_current,validation_rush_pass_rec",61.33,9.0,9.0,draft_team_match,0.0,9,veteran,1,qb1,0.8947368421052632,9,elite,15,15,14.128000000000002,-10.252834734952932,211.92000000000002,14.999999999999995,14.999999999999995,1,,0.8947368421052632,1.8435831592561953,0.9,0.8052631578947369,0.9210526315789473,0.02631578947368418,0.020902412066835706,0.022894736842105263,0.47368421052631576,0.7631578947368421,0.9210526315789473,0.03753006956634809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.62,1.0,307.62,0.0,1.0,296.34119999999996,0.8947368421052632,11.545,0.0,296.34119999999996,0.0,6.43,0.87,1.2839750849377123,0.9116647791619479,0.973952434881087,0.7417893544733861,0.0,0.7729331823329557,1.2046998867497167,1.193374858437146,1.3816534541336352,1.104190260475651,1.2882219705549263,1.3292751981879953,0.49688561721404295,0.4983012457531143,1.0886183465458663,0.7304643261608154,1.2839750849377123,0.9116647791619479,0.973952434881087,0.7417893544733861,0.0,0.7729331823329557,1.2046998867497167,1.193374858437146,1.3816534541336352,1.104190260475651,1.2882219705549263,1.3292751981879953,0.49688561721404295,0.4983012457531143,1.0886183465458663,0.7304643261608154,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,18.435831592561954,14.128000000000002,18.435831592561954,final_validations_resid_oos,14.128000000000002,-4.307831592561952,19.5,211.92000000000002,0,0,0,76.672,0,9+,5
beta,1002622,2622,Jameis Winston,QB,TB,2017,302.69,18.918125,24.267284392709023,24.267284392709023,validation_ensemble,24.267284392709023,validation_ensemble,17.20204271247067,v2_conditional_ppg_2026_candidate_beta_v1,1,,QB,0,,legacy_validated_oos,0,"validation_all_current,validation_rush_pass_rec",84.57,2.0,2.0,draft_team_match,0.0,2,young,1,qb1,0.868421052631579,9,elite,10,12,17.241999999999997,-7.025284392709025,172.42,10.000000000000002,10.22735181533465,1,,0.868421052631579,1.8250627271446576,0.2,0.1736842105263158,0.7894736842105263,-0.07894736842105265,0.013181803164954244,0.015,0.7894736842105263,0.5263157894736842,0.8157894736842105,0.11952162278238461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.69,1.0,302.69,0.0,1.0,268.9708,0.7894736842105263,36.178,0.0,268.9708,0.0,3.99,0.57,0.0,0.5486602482310639,0.9581255074817308,1.7271778215984228,1.0706414569075515,0.0,1.5288249623013574,0.15659436260294632,0.0,0.0,0.0,0.0,0.9047674283725788,0.7829718130147315,1.5520241271314237,0.7702122723581952,0.0,0.5486602482310639,0.9581255074817308,1.7271778215984228,1.0706414569075515,0.14151490546340334,1.5288249623013574,0.15659436260294632,0.08583690987124466,0.0,0.0,0.0,0.9047674283725788,0.7829718130147315,1.5520241271314237,0.7702122723581952,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,18.250627271446575,17.242,18.250627271446575,final_validations_resid_oos,17.241999999999997,-1.0086272714465778,43.480000000000004,176.34,0,0,0,76.672,0,0-2,6
beta,1002632,2632,Matthew Stafford,QB,DET,2017,283.48,17.7175,23.901609969925484,23.901609969925484,validation_ensemble,23.901609969925484,validation_ensemble,16.743905802424703,v2_conditional_ppg_2026_candidate_beta_v1,1,,QB,0,,legacy_validated_oos,0,"validation_all_current,validation_rush_pass_rec",105.0,8.0,8.0,draft_team_match,0.0,8,veteran,1,qb1,0.8421052631578947,9,elite,15,15,16.026666666666667,-7.874943303258817,240.4,15.000000000000002,15.000000000000002,1,,0.8421052631578947,1.7711440538493028,0.8,0.6736842105263158,0.6578947368421053,-0.18421052631578938,0.00832510229998589,0.04,0.631578947368421,0.7894736842105263,0.7368421052631579,0.08892338083815436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283.48,1.0,283.48,0.0,1.0,259.562,0.7105263157894737,25.208,0.0,259.562,0.0,2.36,1.52,1.8831114808652245,0.8847753743760399,0.9646422628951747,0.15224625623960064,0.8211314475873543,1.1156405990016638,0.0,1.0619800332778704,1.5249584026622294,1.3015806988352745,1.2079866888519133,0.8111480865224625,0.7412645590682195,0.9509151414309485,0.9658901830282862,0.6127287853577371,1.8831114808652245,0.8847753743760399,0.9646422628951747,0.15224625623960064,0.8211314475873543,1.1156405990016638,0.0,1.0619800332778704,1.5249584026622294,1.3015806988352745,1.2079866888519133,0.8111480865224625,0.7412645590682195,0.9509151414309485,0.9658901830282862,0.6127287853577371,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,17.71144053849303,16.026666666666667,17.71144053849303,final_validations_resid_oos,16.026666666666667,-1.684773871826362,40.92,240.4,0,0,0,76.672,0,6-8,7
beta,1002610,2610,Cam Newton,QB,CAR,2017,295.04,18.44,23.52575267786693,23.52575267786693,validation_ensemble,23.52575267786693,validation_ensemble,18.596868598513353,v2_conditional_ppg_2026_candidate_beta_v1,1,,QB,0,,legacy_validated_oos,0,"validation_all_current,validation_rush_pass_rec",84.33,6.0,6.0,draft_team_match,0.0,6,prime,1,qb1,0.8157894736842105,9,elite,15,15,18.992,-4.533752677866929,284.88,14.999999999999998,14.999999999999998,1,,0.8157894736842105,1.757734834599977,0.6,0.4894736842105263,0.8157894736842105,0.0,0.023962852494577004,0.03657894736842105,0.9736842105263158,0.21052631578947367,0.5,0.2385540943600868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.01000000000005,0.9578909775656633,295.04,12.97,0.9560398590021691,229.3184,0.4473684210526316,70.38300000000001,0.0,229.3184,0.0,7.07,1.39,0.8129738837405223,0.3117101937657962,0.27801179443976404,1.8976411120471777,1.4637742207245157,1.0878264532434712,0.128475147430497,0.7245155855096883,1.0572872788542542,2.088247683235046,0.0,0.7224094355518111,1.075189553496209,0.7360994102780117,1.8365627632687447,0.7792754844144903,0.8129738837405223,0.3117101937657962,0.27801179443976404,1.8976411120471777,1.4637742207245157,1.0878264532434712,0.128475147430497,0.7245155855096883,1.0572872788542542,2.088247683235046,0.0,0.7224094355518111,1.075189553496209,0.7360994102780117,1.8365627632687447,0.7792754844144903,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,17.57734834599977,18.991999999999997,17.57734834599977,final_validations_resid_oos,18.992,1.414651654000231,94.97999999999999,284.88,0,0,0,76.672,0,6-8,8
beta,1002628,2628,Kirk Cousins,QB,WAS,2017,286.45,17.903125,23.8348026935902,23.8348026935902,validation_ensemble,23.8348026935902,validation_ensemble,17.841574695982207,v2_conditional_ppg_2026_candidate_beta_v1,1,,QB,0,,legacy_validated_oos,0,"validation_all_current,validation_rush_pass_rec",89.57,5.0,5.0,draft_team_match,0.0,5,prime,1,qb1,0.7894736842105263,8,elite,15,15,18.006666666666668,-5.828136026923531,270.1,14.999999999999998,14.999999999999998,1,,0.7894736842105263,1.7488938376928587,0.5,0.39473684210526316,0.7631578947368421,-0.02631578947368418,0.022796299528713565,0.06447368421052632,0.6052631578947368,0.6842105263157895,0.7894736842105263,0.08481759469366382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,286.45,1.0,286.45,0.0,1.0,264.39279999999997,0.7631578947368421,24.296,0.0,264.39279999999997,0.0,6.53,2.45,0.6442058496853017,0.6031099592743427,1.6549426138467234,1.1495742317660127,0.0,1.6049611255090708,1.3339503887449091,0.528693076638282,0.12661977045538692,1.7038134024435394,1.5538689374305814,0.687523139577934,0.7019622362088115,0.435394298407997,0.8296927064050351,1.4416882636060717,0.6442058496853017,0.6031099592743427,1.6549426138467234,1.1495742317660127,0.0,1.6049611255090708,1.3339503887449091,0.528693076638282,0.12661977045538692,1.7038134024435394,1.5538689374305814,0.687523139577934,0.7019622362088115,0.435394298407997,0.8296927064050351,1.4416882636060717,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,17.488938376928587,18.006666666666668,17.488938376928587,final_validations_resid_oos,18.006666666666668,0.5177282897380806,83.04,270.1,0,0,0,76.672,0,3-5,9
beta,1002607,2607,Ben Roethlisberger,QB,PIT,2017,276.58,17.28625,23.1565454545839,23.1565454545839,validation_ensemble,23.1565454545839,validation_ensemble,17.01677080061698,v2_conditional_ppg_2026_candidate_beta_v1,1,,QB,0,,legacy_validated_oos,0,"validation_all_current,validation_rush_pass_rec",92.67,13.0,13.0,draft_team_match,0.0,13,veteran,1,qb1,0.7631578947368421,8,elite,15,15,18.253333333333334,-4.903212121250565,273.8,15.000000000000002,15.000000000000002,1,,0.7631578947368421,1.7213046367593947,1.3,0.9921052631578948,0.7105263157894737,-0.052631578947368474,0.009762094149974691,0.017631578947368422,0.3157894736842105,0.13157894736842105,0.8421052631578947,0.028646322944536843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276.58,1.0,276.58,0.0,1.0,269.2228,0.8157894736842105,7.923,0.0,269.2228,0.0,2.7,0.67,0.9598246895544192,0.9707815924032139,0.6574141709276844,0.5829072315558802,0.08655953250547847,0.6617969320672024,1.0387143900657414,0.9138056975894814,0.0,0.9324324324324323,1.6413440467494522,1.7870708546384224,1.0409057706355003,1.6840759678597517,0.9992695398100804,1.0430971512052591,0.9598246895544192,0.9707815924032139,0.6574141709276844,0.5829072315558802,0.08655953250547847,0.6617969320672024,1.0387143900657414,0.9138056975894814,0.0,0.9324324324324323,1.6413440467494522,1.7870708546384224,1.0409057706355003,1.6840759678597517,0.9992695398100804,1.0430971512052591,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,17.213046367593947,18.253333333333334,17.213046367593947,final_validations_resid_oos,18.253333333333334,1.0402869657393872,72.5,273.79999999999995,0,0,0,76.672,0,9+,10
