experiment,method,max_position_ppg_relative_delta,worst_ppg_position
2026-08-02_beta_scoring_context__results,beta_context_only,0.0031105897557532902,TE
2026-08-02_beta_scoring_context__results,beta_scored_full,0.002594013878135959,RB
2026-08-02_beta_scoring_context__results,production_hybrid,0.0,QB
