study,result_dir,experiment,league,evidence_class,candidate_method,baseline_method,tier,period,metric,n,season_clusters,candidate_minus_baseline,bootstrap_p025,bootstrap_p975,probability_candidate_better,season_cluster_se
2026-08-02_beta_scoring_context,results,2026-08-02_beta_scoring_context__results,beta,fresh_expanded,beta_context_only,production_hybrid,core_strict,development_2017_2022,ppg_crps,492,6,3.19105960224495e-05,-0.005155868044452132,0.005485624543372337,0.4522,0.002749389113189768
2026-08-02_beta_scoring_context,results,2026-08-02_beta_scoring_context__results,beta,fresh_expanded,beta_context_only,production_hybrid,core_strict,development_2017_2022,contribution_crps,492,6,-0.020578899498729143,-0.09346562446486091,0.048514117195875735,0.6626,0.03708213623184363
2026-08-02_beta_scoring_context,results,2026-08-02_beta_scoring_context__results,beta,fresh_expanded,beta_context_only,production_hybrid,core_strict,development_2017_2022,played_crps,492,6,0.00184223607540479,-0.0035558256711776576,0.0057383082668128055,0.223,0.0024620484631080676
2026-08-02_beta_scoring_context,results,2026-08-02_beta_scoring_context__results,beta,fresh_expanded,beta_scored_full,production_hybrid,core_strict,development_2017_2022,ppg_crps,492,6,0.001006835725078503,-0.009584788415051964,0.011599682050414438,0.3958,0.005431253714205942
2026-08-02_beta_scoring_context,results,2026-08-02_beta_scoring_context__results,beta,fresh_expanded,beta_scored_full,production_hybrid,core_strict,development_2017_2022,contribution_crps,492,6,0.022925307667952317,-0.1453132520220388,0.17605141758717688,0.36,0.08218640623732032
2026-08-02_beta_scoring_context,results,2026-08-02_beta_scoring_context__results,beta,fresh_expanded,beta_scored_full,production_hybrid,core_strict,development_2017_2022,played_crps,492,6,0.0037193661720868886,-0.00804734914361037,0.013529227343406084,0.261,0.00557373383858983
2026-08-02_beta_scoring_context,results,2026-08-02_beta_scoring_context__results,beta,fresh_expanded,beta_context_only,production_hybrid,core_strict,temporal_2023_2025,ppg_crps,252,3,0.0019480460713834286,-0.0007818967430242811,0.006349716109441056,0.2472,0.0017964368631899095
2026-08-02_beta_scoring_context,results,2026-08-02_beta_scoring_context__results,beta,fresh_expanded,beta_context_only,production_hybrid,core_strict,temporal_2023_2025,contribution_crps,252,3,0.043747871783319715,-0.017443530062901183,0.11321185576325776,0.0394,0.030901109312259378
2026-08-02_beta_scoring_context,results,2026-08-02_beta_scoring_context__results,beta,fresh_expanded,beta_context_only,production_hybrid,core_strict,temporal_2023_2025,played_crps,252,3,0.003260388120439335,-0.0008138720445024809,0.008079339574212745,0.0408,0.002127719738326824
2026-08-02_beta_scoring_context,results,2026-08-02_beta_scoring_context__results,beta,fresh_expanded,beta_scored_full,production_hybrid,core_strict,temporal_2023_2025,ppg_crps,252,3,0.008331748271740366,-0.002450566056181364,0.019651839314588606,0.0354,0.005145186331962989
2026-08-02_beta_scoring_context,results,2026-08-02_beta_scoring_context__results,beta,fresh_expanded,beta_scored_full,production_hybrid,core_strict,temporal_2023_2025,contribution_crps,252,3,0.10324177267459635,0.002640572151248873,0.30212651815857267,0.0,0.08033018600760188
2026-08-02_beta_scoring_context,results,2026-08-02_beta_scoring_context__results,beta,fresh_expanded,beta_scored_full,production_hybrid,core_strict,temporal_2023_2025,played_crps,252,3,0.0048026757138555295,-0.009385447342208758,0.012191018769970913,0.2554,0.005750193419353774
2026-08-02_beta_scoring_context,results,2026-08-02_beta_scoring_context__results,beta,fresh_expanded,beta_context_only,production_hybrid,core_main,development_2017_2022,ppg_crps,702,6,0.0005135886512575706,-0.003799531124809238,0.005610839764031842,0.3622,0.0025011890463278465
2026-08-02_beta_scoring_context,results,2026-08-02_beta_scoring_context__results,beta,fresh_expanded,beta_context_only,production_hybrid,core_main,development_2017_2022,contribution_crps,702,6,-0.00932117223025875,-0.061675190079430876,0.060057758211258035,0.589,0.030929594619961174
2026-08-02_beta_scoring_context,results,2026-08-02_beta_scoring_context__results,beta,fresh_expanded,beta_context_only,production_hybrid,core_main,development_2017_2022,played_crps,702,6,0.0017286294499503935,-0.003908142107738179,0.006768621731616694,0.2618,0.0027766503795014475
2026-08-02_beta_scoring_context,results,2026-08-02_beta_scoring_context__results,beta,fresh_expanded,beta_scored_full,production_hybrid,core_main,development_2017_2022,ppg_crps,702,6,0.0002020777263904955,-0.006662387118298553,0.008341477013023377,0.4408,0.003857963447444541
2026-08-02_beta_scoring_context,results,2026-08-02_beta_scoring_context__results,beta,fresh_expanded,beta_scored_full,production_hybrid,core_main,development_2017_2022,contribution_crps,702,6,0.008824337846428639,-0.08249209799092258,0.10664497872793577,0.3946,0.0488776518169964
2026-08-02_beta_scoring_context,results,2026-08-02_beta_scoring_context__results,beta,fresh_expanded,beta_scored_full,production_hybrid,core_main,development_2017_2022,played_crps,702,6,0.0033886267343438063,-0.008830487362442723,0.013120393542914131,0.2744,0.005599873862742298
2026-08-02_beta_scoring_context,results,2026-08-02_beta_scoring_context__results,beta,fresh_expanded,beta_context_only,production_hybrid,core_main,temporal_2023_2025,ppg_crps,360,3,0.001708826268438356,0.00032389347282791583,0.0027827118433364647,0.0,0.0005884304579471514
2026-08-02_beta_scoring_context,results,2026-08-02_beta_scoring_context__results,beta,fresh_expanded,beta_context_only,production_hybrid,core_main,temporal_2023_2025,contribution_crps,360,3,0.038871204947798,-0.044361970137670986,0.09320993105236021,0.1492,0.034716371662568433
2026-08-02_beta_scoring_context,results,2026-08-02_beta_scoring_context__results,beta,fresh_expanded,beta_context_only,production_hybrid,core_main,temporal_2023_2025,played_crps,360,3,-0.0028503318855348635,-0.009037773104464119,0.0030588765222438843,0.8588,0.0028090891409778976
2026-08-02_beta_scoring_context,results,2026-08-02_beta_scoring_context__results,beta,fresh_expanded,beta_scored_full,production_hybrid,core_main,temporal_2023_2025,ppg_crps,360,3,0.004900030603482456,0.0004832120751614849,0.009146878480222147,0.0,0.002034868473161152
