run_id,target_name,model_name,aggregation,metric,n_rows,n_seasons,value,baseline_value,delta
m4a_provider_lightgbm_attribution_20260728T144320Z_f4870673,conditional_ppg,direct_lightgbm_plus_fantasypoints,season_mean,rmse,3696,9,3.1210812389288014,4.154796298100829,-1.0337150591720272
m4a_provider_lightgbm_attribution_20260728T144320Z_f4870673,conditional_ppg,direct_lightgbm_plus_fantasypoints,season_mean,mae,3696,9,2.4481736335258493,3.0653547499866405,-0.6171811164607912
m4a_provider_lightgbm_attribution_20260728T144320Z_f4870673,conditional_ppg,direct_lightgbm_plus_fantasypoints,season_mean,bias,3696,9,0.2069787555407531,-1.9077429356823796,2.114721691223133
m4a_provider_lightgbm_attribution_20260728T144320Z_f4870673,conditional_ppg,direct_lightgbm_plus_fantasypoints,season_mean,spearman,3696,9,0.8036426846749208,0.7338142498922049,0.06982843478271594
m4a_provider_lightgbm_attribution_20260728T144320Z_f4870673,conditional_ppg,direct_lightgbm_plus_fantasypros,pooled_oof,rmse,3696,9,3.120577446581547,4.162829873194311,-1.0422524266127642
m4a_provider_lightgbm_attribution_20260728T144320Z_f4870673,conditional_ppg,direct_lightgbm_plus_fantasypros,pooled_oof,mae,3696,9,2.4437171365107213,3.062192476797494,-0.6184753402867726
m4a_provider_lightgbm_attribution_20260728T144320Z_f4870673,conditional_ppg,direct_lightgbm_plus_fantasypros,pooled_oof,bias,3696,9,0.20703975542131423,-1.904065931054543,2.1111056864758573
m4a_provider_lightgbm_attribution_20260728T144320Z_f4870673,conditional_ppg,direct_lightgbm_plus_fantasypros,pooled_oof,spearman,3696,9,0.8049563531624779,0.7332203260121407,0.07173602715033722
m4a_provider_lightgbm_attribution_20260728T144320Z_f4870673,conditional_ppg,direct_lightgbm_plus_fantasypros,season_mean,rmse,3696,9,3.118613725696473,4.154796298100829,-1.0361825724043556
m4a_provider_lightgbm_attribution_20260728T144320Z_f4870673,conditional_ppg,direct_lightgbm_plus_fantasypros,season_mean,mae,3696,9,2.4450348656733807,3.0653547499866405,-0.6203198843132598
m4a_provider_lightgbm_attribution_20260728T144320Z_f4870673,conditional_ppg,direct_lightgbm_plus_fantasypros,season_mean,bias,3696,9,0.20387907890008702,-1.9077429356823796,2.1116220145824665
m4a_provider_lightgbm_attribution_20260728T144320Z_f4870673,conditional_ppg,direct_lightgbm_plus_fantasypros,season_mean,spearman,3696,9,0.8040697725578188,0.7338142498922049,0.07025552266561386
m4a_provider_lightgbm_attribution_20260728T144320Z_f4870673,conditional_ppg,direct_lightgbm_plus_ffa,pooled_oof,rmse,3696,9,3.122862475976555,4.162829873194311,-1.0399673972177559
m4a_provider_lightgbm_attribution_20260728T144320Z_f4870673,conditional_ppg,direct_lightgbm_plus_ffa,pooled_oof,mae,3696,9,2.445387605122854,3.062192476797494,-0.6168048716746402
