family,feature_name,training_rows,training_non_null,training_coverage,current_rows,current_non_null,current_coverage,first_available_season,last_available_season
projection_disagreement,proj_pass_attempts_std,6829,5745,0.8412651925611363,751,585,0.7789613848202397,2008,2026
projection_disagreement,proj_passing_tds_std,6829,6513,0.9537267535510323,751,720,0.9587217043941412,2008,2026
projection_disagreement,proj_receiving_tds_std,6829,6513,0.9537267535510323,751,725,0.9653794940079894,2008,2026
projection_disagreement,proj_receiving_yards_std,6829,6513,0.9537267535510323,751,725,0.9653794940079894,2008,2026
projection_disagreement,proj_receptions_std,6829,6445,0.943769219505052,751,719,0.9573901464713716,2008,2026
projection_disagreement,proj_rush_attempts_std,6829,5745,0.8412651925611363,751,585,0.7789613848202397,2008,2026
projection_disagreement,proj_rushing_tds_std,6829,6513,0.9537267535510323,751,726,0.966711051930759,2008,2026
projection_disagreement,proj_targets_std,6829,762,0.11158295504466247,751,476,0.6338215712383488,2024,2026
projection_shape,proj_catch_rate,6829,653,0.09562161370625274,751,389,0.5179760319573902,2024,2026
projection_shape,proj_interception_rate,6829,704,0.10308976424073803,751,72,0.09587217043941411,2008,2026
projection_shape,proj_pass_td_rate,6829,704,0.10308976424073803,751,72,0.09587217043941411,2008,2026
projection_shape,proj_pass_yards_per_attempt,6829,704,0.10308976424073803,751,72,0.09587217043941411,2008,2026
projection_shape,proj_receiving_td_rate,6829,5571,0.815785620149363,751,537,0.715046604527297,2008,2026
projection_shape,proj_receiving_yards_per_reception,6829,5571,0.815785620149363,751,537,0.715046604527297,2008,2026
projection_shape,proj_rush_td_rate,6829,3061,0.44823546639332257,751,295,0.39280958721704395,2008,2026
projection_shape,proj_rush_yards_per_attempt,6829,3061,0.44823546639332257,751,295,0.39280958721704395,2008,2026
projection_shape,proj_total_opportunities,6829,762,0.11158295504466247,751,476,0.6338215712383488,2024,2026
projection_shape,proj_total_touches,6829,5745,0.8412651925611363,751,585,0.7789613848202397,2008,2026
provider_projection,provider_fanduel_ppg_team_game,6829,0,0.0,751,0,0.0,,
provider_projection,provider_fantasydata_ppg_team_game,6829,3632,0.5318494655147167,751,676,0.9001331557922769,2017,2026
provider_projection,provider_fantasypoints_ppg_team_game,6829,0,0.0,751,0,0.0,,
provider_projection,provider_fantasypros_ppg_team_game,6829,2061,0.3018011421877288,751,40,0.05326231691078562,2017,2026
provider_projection,provider_ffa_ppg_team_game,6829,2439,0.35715331673744327,751,436,0.5805592543275633,2019,2026
provider_projection,provider_fff_ppg_team_game,6829,0,0.0,751,0,0.0,,
provider_projection,provider_fftoday_ppg_team_game,6829,4433,0.6491433592033973,751,326,0.4340878828229028,2011,2026
provider_projection,provider_pff_ppg_team_game,6829,0,0.0,751,0,0.0,,
