provider,first_season,last_season,season_count,rows,configured_rows,imputed_configured_rows
fanduel,2025,2025,1,488,488,0
fantasydata,2017,2025,9,7664,7664,0
fantasypoints,2025,2025,1,524,524,0
fantasypros,2017,2025,9,3516,3516,0
ffa,2017,2025,9,5653,4129,3324
fff,2025,2025,1,462,462,0
fftoday,2017,2025,9,2999,2999,0
pff,2024,2025,2,976,976,0
