league,scope,period,method,rows,events,brier,brier_delta,average_precision,average_precision_delta
beta,all,all_2017_2025,production,3220,336,0.0593055065775492,0.0,0.6099378824947624,0.0
beta,all,all_2017_2025,te_pff_mtf,3220,336,0.05931342733617489,7.920758625691582e-06,0.6104787908518646,0.0005409083571021878
beta,all,all_2017_2025,te_pff_mtf__te_route,3220,336,0.05922712790458514,-7.837867296405648e-05,0.6109224496596773,0.0009845671649149068
beta,all,all_2017_2025,te_pff_opportunity_control,3220,336,0.05938849308690919,8.298650935999186e-05,0.6085761888405603,-0.001361693654202134
beta,all,all_2017_2025,te_pff_opportunity_control__te_route,3220,336,0.059302102895021434,-3.4036825277625193e-06,0.6102116795191663,0.00027379702440388787
beta,all,all_2017_2025,te_pff_yac,3220,336,0.05931284591337626,7.339335827062643e-06,0.6107866611832343,0.0008487786884718851
beta,all,all_2017_2025,te_pff_yac__te_route,3220,336,0.05921258261827979,-9.292395926940866e-05,0.6116250540242264,0.00168717152946396
beta,all,development_2017_2022,production,1994,208,0.057941081133668734,0.0,0.6286168541063395,0.0
beta,all,development_2017_2022,te_pff_mtf,1994,208,0.05799662269324823,5.554155957949308e-05,0.6276354736952248,-0.0009813804111147295
beta,all,development_2017_2022,te_pff_mtf__te_route,1994,208,0.05791929311356185,-2.1788020106883188e-05,0.6285271948389917,-8.965926734783025e-05
beta,all,development_2017_2022,te_pff_opportunity_control,1994,208,0.058035717168649324,9.463603498058998e-05,0.6257652170684956,-0.002851637037843857
beta,all,development_2017_2022,te_pff_opportunity_control__te_route,1994,208,0.05793396185780594,-7.119275862790819e-06,0.6283456234170111,-0.00027123068932843886
beta,all,development_2017_2022,te_pff_yac,1994,208,0.057977788779668075,3.670764599934123e-05,0.6274868532670863,-0.0011300008392531868
beta,all,development_2017_2022,te_pff_yac__te_route,1994,208,0.0578968684918838,-4.421264178493256e-05,0.6286398253436637,2.297123732419859e-05
beta,all,temporal_2023_2025,production,1226,128,0.06152464551319164,0.0,0.5897588493709361,0.0
beta,all,temporal_2023_2025,te_pff_mtf,1226,128,0.06145511449604095,-6.953101715068827e-05,0.5919481760026515,0.002189326631715338
beta,all,temporal_2023_2025,te_pff_mtf__te_route,1226,128,0.06135422625148599,-0.00017041926170564825,0.5916697680398141,0.0019109186688779367
beta,all,temporal_2023_2025,te_pff_opportunity_control,1226,128,0.06158868491481307,6.40394016214324e-05,0.590021528130631,0.00026267875969487875
beta,all,temporal_2023_2025,te_pff_opportunity_control__te_route,1226,128,0.061527284973494266,2.6394603026280716e-06,0.5901743922912009,0.0004155429202647998
beta,all,temporal_2023_2025,te_pff_yac,1226,128,0.061484219424480756,-4.0426088710882047e-05,0.5915482078308333,0.001789358459897139
beta,all,temporal_2023_2025,te_pff_yac__te_route,1226,128,0.06135249613217339,-0.00017214938101824812,0.5921399372997562,0.0023810879288200804
beta,te,all_2017_2025,production,715,75,0.056695957771045656,0.0,0.6723869913286896,0.0
beta,te,all_2017_2025,te_pff_mtf,715,75,0.05634297969140336,-0.00035297807964229655,0.6771004264916679,0.004713435162978286
beta,te,all_2017_2025,te_pff_mtf__te_route,715,75,0.05634297969140336,-0.00035297807964229655,0.6771004264916679,0.004713435162978286
beta,te,all_2017_2025,te_pff_opportunity_control,715,75,0.05668062929868288,-1.5328472362775847e-05,0.673345888181853,0.0009588968531634157
beta,te,all_2017_2025,te_pff_opportunity_control__te_route,715,75,0.05668062929868288,-1.5328472362775847e-05,0.673345888181853,0.0009588968531634157
beta,te,all_2017_2025,te_pff_yac,715,75,0.056277475045384794,-0.00041848272566086253,0.6773923242836675,0.005005332954977848
beta,te,all_2017_2025,te_pff_yac__te_route,715,75,0.056277475045384794,-0.00041848272566086253,0.6773923242836675,0.005005332954977848
beta,te,development_2017_2022,production,446,47,0.05848644433038731,0.0,0.6534447811291174,0.0
beta,te,development_2017_2022,te_pff_mtf,446,47,0.0583890333167256,-9.741101366171623e-05,0.6563335562795845,0.002888775150467038
beta,te,development_2017_2022,te_pff_mtf__te_route,446,47,0.0583890333167256,-9.741101366171623e-05,0.6563335562795845,0.002888775150467038
