league,scope,period,method,rows,rmse,rmse_delta,mae,mae_delta,mean_season_rmse_delta,season_wins,seasons,bootstrap_low,bootstrap_high
beta,all,all_2017_2025,production,3622,2.88411197500791,0.0,2.236952133153131,0.0,,,,,
beta,all,all_2017_2025,te_pff_mtf,3622,2.8847265304734795,0.000614555465569655,2.2371984212899725,0.00024628813684168804,0.0006210808598302956,2.0,9.0,-0.0010607356273129279,0.0018392132301985578
beta,all,all_2017_2025,te_pff_mtf__te_route,3622,2.883550398912027,-0.0005615760958828098,2.2363276580337312,-0.000624475119399559,-0.0005602930911252635,9.0,9.0,-0.0007313557845122714,-0.0003766120536035089
beta,all,all_2017_2025,te_pff_opportunity_control,3622,2.884797465355127,0.0006854903472173213,2.237497441537913,0.0005453083847823947,0.0006634945240541078,4.0,9.0,-0.0007454891016998267,0.0019965129094790934
beta,all,all_2017_2025,te_pff_opportunity_control__te_route,3622,2.884061842281535,-5.013272637466315e-05,2.236771487545779,-0.0001806456073518703,-5.2728196911180606e-05,4.0,9.0,-0.000544041111184046,0.0004195514918070309
beta,all,all_2017_2025,te_pff_yac,3622,2.8845473191086968,0.0004353441007869385,2.236822533962732,-0.0001295991903988991,0.00046581060272209303,3.0,9.0,-0.0012658096179208262,0.001983908265442924
beta,all,all_2017_2025,te_pff_yac__te_route,3622,2.8834768752407105,-0.0006350997671993319,2.2358965168085994,-0.0010556163445314404,-0.0006182040765620024,6.0,9.0,-0.0012059702709544188,-8.811910846069454e-05
beta,all,development_2017_2022,production,2396,2.878210786003643,0.0,2.2298168744378724,0.0,,,,,
beta,all,development_2017_2022,te_pff_mtf,2396,2.8785354619050287,0.0003246759013855183,2.2297304470286274,-8.642740924491576e-05,0.0006210808598302956,2.0,9.0,-0.0010607356273129279,0.0018392132301985578
beta,all,development_2017_2022,te_pff_mtf__te_route,2396,2.8776672849365994,-0.0005435010670438167,2.2293323303320367,-0.0004845441058356492,-0.0005602930911252635,9.0,9.0,-0.0007313557845122714,-0.0003766120536035089
beta,all,development_2017_2022,te_pff_opportunity_control,2396,2.878605872096735,0.000395086093091912,2.2300652379243076,0.0002483634864351991,0.0006634945240541078,4.0,9.0,-0.0007454891016998267,0.0019965129094790934
beta,all,development_2017_2022,te_pff_opportunity_control__te_route,2396,2.878245758572161,3.497256851758834e-05,2.2298523179330285,3.5443495156162186e-05,-5.2728196911180606e-05,4.0,9.0,-0.000544041111184046,0.0004195514918070309
beta,all,development_2017_2022,te_pff_yac,2396,2.87851308349845,0.0003022974948065915,2.2294337704689733,-0.00038310396889906784,0.00046581060272209303,3.0,9.0,-0.0012658096179208262,0.001983908265442924
beta,all,development_2017_2022,te_pff_yac__te_route,2396,2.87773837872177,-0.000472407281873366,2.229082912510594,-0.0007339619272781484,-0.0006182040765620024,6.0,9.0,-0.0012059702709544188,-8.811910846069454e-05
beta,all,temporal_2023_2025,production,1226,2.8956100859371037,0.0,2.250896733382951,0.0,,,,,
beta,all,temporal_2023_2025,te_pff_mtf,1226,2.8967876805861437,0.0011775946490399924,2.25179325516451,0.0008965217815593007,0.0006210808598302956,2.0,9.0,-0.0010607356273129279,0.0018392132301985578
beta,all,temporal_2023_2025,te_pff_mtf__te_route,1226,2.89501339063932,-0.0005966952977836115,2.249998787865103,-0.0008979455178477203,-0.0005602930911252635,9.0,9.0,-0.0007313557845122714,-0.0003766120536035089
beta,all,temporal_2023_2025,te_pff_opportunity_control,1226,2.8968596353556606,0.0012495494185569278,2.2520223680127898,0.0011256346298389452,0.0006634945240541078,4.0,9.0,-0.0007454891016998267,0.0019965129094790934
beta,all,temporal_2023_2025,te_pff_opportunity_control__te_route,1226,2.8953946216393613,-0.00021546429774232934,2.2502937798721656,-0.0006029535107852091,-5.2728196911180606e-05,4.0,9.0,-0.000544041111184046,0.0004195514918070309
beta,all,temporal_2023_2025,te_pff_yac,1226,2.8963038716312655,0.0006937856941617859,2.2512625644121984,0.0003658310292475875,0.00046581060272209303,3.0,9.0,-0.0012658096179208262,0.001983908265442924
beta,all,temporal_2023_2025,te_pff_yac__te_route,1226,2.8946589096545696,-0.0009511762825340497,2.2492125004122046,-0.0016842329707462689,-0.0006182040765620024,6.0,9.0,-0.0012059702709544188,-8.811910846069454e-05
beta,te,all_2017_2025,production,802,2.001387164736455,0.0,1.5842122678628876,0.0,,,,,
beta,te,all_2017_2025,te_pff_mtf,802,1.9977293773302889,-0.0036577874061660687,1.5813920074109373,-0.002820260451950274,-0.003578881084382547,9.0,9.0,-0.0045670462784138536,-0.0024662334793568953
beta,te,all_2017_2025,te_pff_mtf__te_route,802,1.9977293773302889,-0.0036577874061660687,1.5813920074109373,-0.002820260451950274,-0.003578881084382547,9.0,9.0,-0.004557780111547508,-0.002486825780469207
beta,te,all_2017_2025,te_pff_opportunity_control,802,2.001060871525327,-0.0003262932111280925,1.5833964344591116,-0.0008158334037760007,-0.0003017588742042005,4.0,9.0,-0.003398872224499626,0.002707199480787789
beta,te,all_2017_2025,te_pff_opportunity_control__te_route,802,2.001060871525327,-0.0003262932111280925,1.5833964344591116,-0.0008158334037760007,-0.0003017588742042005,4.0,9.0,-0.003441689765095975,0.00263205353686306
beta,te,all_2017_2025,te_pff_yac,802,1.997250042793714,-0.004137121942740851,1.5794448833243662,-0.004767384538521435,-0.003912011055205975,6.0,9.0,-0.007638502058506416,-0.0005061838498742327
beta,te,all_2017_2025,te_pff_yac__te_route,802,1.997250042793714,-0.004137121942740851,1.5794448833243662,-0.004767384538521435,-0.003912011055205975,6.0,9.0,-0.0076145029039147724,-0.0004941801895290205
beta,te,development_2017_2022,production,533,2.009234045750818,0.0,1.5823330481779254,0.0,,,,,
beta,te,development_2017_2022,te_pff_mtf,533,2.0057314519577405,-0.003502593793077491,1.5801548724226109,-0.0021781757553145376,-0.003578881084382547,9.0,9.0,-0.0045670462784138536,-0.0024662334793568953
beta,te,development_2017_2022,te_pff_mtf__te_route,533,2.0057314519577405,-0.003502593793077491,1.5801548724226109,-0.0021781757553145376,-0.003578881084382547,9.0,9.0,-0.004557780111547508,-0.002486825780469207
beta,te,development_2017_2022,te_pff_opportunity_control,533,2.0094592401078266,0.000225194357008629,1.5824923776608408,0.0001593294829154157,-0.0003017588742042005,4.0,9.0,-0.003398872224499626,0.002707199480787789
beta,te,development_2017_2022,te_pff_opportunity_control__te_route,533,2.0094592401078266,0.000225194357008629,1.5824923776608408,0.0001593294829154157,-0.0003017588742042005,4.0,9.0,-0.003441689765095975,0.00263205353686306
beta,te,development_2017_2022,te_pff_yac,533,2.00618992601749,-0.0030441197333281877,1.5790336621033296,-0.0032993860745957893,-0.003912011055205975,6.0,9.0,-0.007638502058506416,-0.0005061838498742327
beta,te,development_2017_2022,te_pff_yac__te_route,533,2.00618992601749,-0.0030441197333281877,1.5790336621033296,-0.0032993860745957893,-0.003912011055205975,6.0,9.0,-0.0076145029039147724,-0.0004941801895290205
beta,te,temporal_2023_2025,production,269,1.985747669939027,0.0,1.5879357774988914,0.0,,,,,
beta,te,temporal_2023_2025,te_pff_mtf,269,1.9817785307500233,-0.0039691391890037675,1.5838432823134576,-0.004092495185433753,-0.003578881084382547,9.0,9.0,-0.0045670462784138536,-0.0024662334793568953
beta,te,temporal_2023_2025,te_pff_mtf__te_route,269,1.9817785307500233,-0.0039691391890037675,1.5838432823134576,-0.004092495185433753,-0.003578881084382547,9.0,9.0,-0.004557780111547508,-0.002486825780469207
beta,te,temporal_2023_2025,te_pff_opportunity_control,269,1.9843152510594075,-0.0014324188796195347,1.5851877440259445,-0.0027480334729468314,-0.0003017588742042005,4.0,9.0,-0.003398872224499626,0.002707199480787789
beta,te,temporal_2023_2025,te_pff_opportunity_control__te_route,269,1.9843152510594075,-0.0014324188796195347,1.5851877440259445,-0.0027480334729468314,-0.0003017588742042005,4.0,9.0,-0.003441689765095975,0.00263205353686306
beta,te,temporal_2023_2025,te_pff_yac,269,1.9794171891641699,-0.006330480774857206,1.5802596822493193,-0.007676095249572024,-0.003912011055205975,6.0,9.0,-0.007638502058506416,-0.0005061838498742327
beta,te,temporal_2023_2025,te_pff_yac__te_route,269,1.9794171891641699,-0.006330480774857206,1.5802596822493193,-0.007676095249572024,-0.003912011055205975,6.0,9.0,-0.0076145029039147724,-0.0004941801895290205
beta,non_te,all_2017_2025,production,2820,3.089430245249225,0.0,2.4225894990973775,0.0,,,,,
beta,non_te,all_2017_2025,te_pff_mtf,2820,3.0908401632876736,0.0014099180384485877,2.423707904953443,0.0011184058560655963,0.001438239638122507,2.0,9.0,-0.0007391462334527255,0.002968614580260423
beta,non_te,all_2017_2025,te_pff_mtf__te_route,2820,3.0894302452492255,4.440892098500626e-16,2.4225894990973775,0.0,0.0,0.0,9.0,0.0,0.0
beta,non_te,all_2017_2025,te_pff_opportunity_control,2820,3.090312256751327,0.0008820115021017649,2.423521912345431,0.0009324132480532654,0.0008702751393300604,2.0,9.0,-0.0005483018321372989,0.002199490541439604
beta,non_te,all_2017_2025,te_pff_opportunity_control__te_route,2820,3.0894302452492255,4.440892098500626e-16,2.4225894990973775,0.0,0.0,0.0,9.0,0.0,0.0
beta,non_te,all_2017_2025,te_pff_yac,2820,3.0907134375275245,0.0012831922782994276,2.423778872903147,0.0011893738057695558,0.0013122911636173937,1.0,9.0,-0.0008491917965897321,0.002921678652161427
beta,non_te,all_2017_2025,te_pff_yac__te_route,2820,3.0894302452492255,4.440892098500626e-16,2.4225894990973775,0.0,0.0,0.0,9.0,0.0,0.0
beta,non_te,development_2017_2022,production,1863,3.082073317538655,0.0,2.415060502670053,0.0,,,,,
beta,non_te,development_2017_2022,te_pff_mtf,1863,3.0831158075391687,0.0010424900005134852,2.4155725196346434,0.000512016964590245,0.001438239638122507,2.0,9.0,-0.0007391462334527255,0.002968614580260423
