player,player_id,position,player_game_count,team_name,targets,deep_targets,deep_receptions,deep_drops,deep_yards,deep_catchable,deep_touchdowns,target_rate,drop_rate,catch_rate
Tyson DeVree,4890,TE,1,NE,1,0,0,0,0,0,0,0.0,,
Allen Rossum,377,CB,1,SF,1,0,0,0,0,0,0,0.0,,
Michael Sellers,432,FB,16,WAS,14,0,0,0,0,0,0,0.0,,
Edgerrin James,439,HB,13,ARZ,15,0,0,0,0,0,0,0.0,,
Kevin Faulk,470,HB,15,NE,71,0,0,0,0,0,0,0.0,,
Dan Campbell,488,TE,1,DET,1,0,0,0,0,0,0,0.0,,
Jerame Tuman,513,TE,3,ARZ,2,0,0,0,0,0,0,0.0,,
Mark Campbell,545,TE,8,NO,16,0,0,0,0,0,0,0.0,,
Jamal Lewis,583,HB,16,CLV,31,0,0,0,0,0,0,0.0,,
Thomas Jones,585,HB,16,NYJ,41,0,0,0,0,0,0,0.0,,
Dante' Hall,677,WR,8,STR,18,0,0,0,0,0,0,0.0,,
Sammy Morris,678,HB,12,NE,23,0,0,0,0,0,0,0.0,,
Deuce McAllister,793,HB,12,NO,20,0,0,0,0,0,0,0.0,,
Heath Evans,843,FB,12,NE,3,0,0,0,0,0,0,0.0,,
Travis Minor,846,HB,5,STR,6,0,0,0,0,0,0,0.0,,
Rudi Johnson,857,HB,13,DET,13,0,0,0,0,0,0,0.0,,
Correll Buckhalter,869,HB,14,PHI,32,0,0,0,0,0,0,0.0,,
Tony Stewart,887,TE,16,OAK,14,0,0,0,0,0,0,0.0,,
Jameel Cook,904,FB,4,TB,5,0,0,0,0,0,0,0.0,,
Drew Bennett,941,WR,1,STR,1,0,0,0,0,0,0,0.0,,
Nick Goings,956,HB,7,CAR,3,0,0,0,0,0,0,0.0,,
Kenny Watson,1001,HB,9,CIN,9,0,0,0,0,0,0,0.0,,
Daniel Wilcox,1002,TE,12,BLT,5,0,0,0,0,0,0,0.0,,
DeShaun Foster,1041,HB,14,SF,19,0,0,0,0,0,0,0.0,,
Matt Schobel,1074,TE,4,PHI,3,0,0,0,0,0,0,0.0,,
Justin Peelle,1104,TE,16,ATL,21,0,0,0,0,0,0,0.0,,
Chester Taylor,1182,HB,16,MIN,50,0,0,0,0,0,0,0.0,,
Jason McKie,1279,FB,10,CHI,11,0,0,0,0,0,0,0.0,,
Dan Klecko,1429,FB,11,PHI,7,0,0,0,0,0,0,0.0,,
Justin Griffith,1433,FB,7,OAK,10,0,0,0,0,0,0,0.0,,
Richard Angulo,1548,TE,15,JAX,10,0,0,0,0,0,0,0.0,,
Will Heller,1623,TE,12,SEA,6,0,0,0,0,0,0,0.0,,
Kevin Jones,1751,HB,7,CHI,2,0,0,0,0,0,0,0.0,,
Greg Jones II,1776,FB,12,JAX,14,0,0,0,0,0,0,0.0,,
Keary Colbert,1783,WR,4,DET,9,0,0,0,0,0,0,0.0,,
Ben Hartsock,1789,TE,11,ATL,5,0,0,0,0,0,0,0.0,,
Sean Ryan,1865,FB,1,NO,2,0,0,0,0,0,0,0.0,,
Sean Ryan,1865,FB,4,SF,2,0,0,0,0,0,0,0.0,,
Michael Turner,1873,HB,16,ATL,9,0,0,0,0,0,0,0.0,,
Mike Karney,1875,FB,11,NO,10,0,0,0,0,0,0,0.0,,
Thomas Tapeh,1880,FB,1,MIN,2,0,0,0,0,0,0,0.0,,
Nate Lawrie,1899,TE,6,CIN,4,0,0,0,0,0,0,0.0,,
Mark Jones,1922,WR,4,CAR,3,0,0,0,0,0,0,0.0,,
Jeff Dugan,1936,FB,9,MIN,2,0,0,0,0,0,0,0.0,,
Derrick Ward,1949,HB,16,NYG,51,0,0,0,0,0,0,0.0,,
Sean McHugh,1955,FB,12,PIT,4,0,0,0,0,0,0,0.0,,
Terrance Copper,2016,WR,2,BLT,1,0,0,0,0,0,0,0.0,,
Carey Davis,2029,FB,12,PIT,6,0,0,0,0,0,0,0.0,,
Luke Lawton,2099,FB,12,OAK,9,0,0,0,0,0,0,0.0,,
Glenn Martinez,2112,WR,2,DEN,4,0,0,0,0,0,0,0.0,,
Lousaka Polite,2152,FB,11,MIA,8,0,0,0,0,0,0,0.0,,
Cedric Benson,2221,HB,11,CIN,23,0,0,0,0,0,0,0.0,,
Cadillac Williams,2222,HB,5,TB,7,0,0,0,0,0,0,0.0,,
Heath Miller,2247,TE,14,PIT,64,0,0,0,0,0,0,0.0,,
Frank Gore,2282,HB,14,SF,56,0,0,0,0,0,0,0.0,,
Ryan Moats,2294,HB,4,HST,4,0,0,0,0,0,0,0.0,,
Marion Barber III,2326,HB,15,DAL,60,0,0,0,0,0,0,0.0,,
Todd Herremans,2343,G,2,PHI,1,0,0,0,0,0,0,0.0,,
Joel Dreessen,2415,TE,16,HST,12,0,0,0,0,0,0,0.0,,
Lorenzo Alexander,2476,DI,2,WAS,1,0,0,0,0,0,0,0.0,,
Sam Gado,2599,HB,1,STR,1,0,0,0,0,0,0,0.0,,
Ryan Grant,2609,HB,16,GB,22,0,0,0,0,0,0,0.0,,
Zak Keasey,2674,FB,6,SF,4,0,0,0,0,0,0,0.0,,
John Kuhn,2686,FB,13,GB,6,0,0,0,0,0,0,0.0,,
Stephen Spach,2789,TE,9,ARZ,5,0,0,0,0,0,0,0.0,,
Leonard Weaver,2835,FB,14,SEA,29,0,0,0,0,0,0,0.0,,
DeAngelo Williams,2972,HB,16,CAR,28,0,0,0,0,0,0,0.0,,
Joseph Addai,2975,HB,12,IND,35,0,0,0,0,0,0,0.0,,
Maurice Jones-Drew,3005,HB,16,JAX,72,0,0,0,0,0,0,0.0,,
Marques Hagans,3089,QB,2,KC,1,0,0,0,0,0,0,0.0,,
Lawrence Vickers,3125,FB,12,CLV,13,0,0,0,0,0,0,0.0,,
Adam Jennings,3129,WR,2,ATL,1,0,0,0,0,0,0,0.0,,
Mike Bell,3225,HB,2,NO,1,0,0,0,0,0,0,0.0,,
Brian Clark,3271,WR,3,TB,2,0,0,0,0,0,0,0.0,,
DeDe Dorsey,3299,HB,3,CIN,2,0,0,0,0,0,0,0.0,,
Andre Hall,3333,HB,8,DEN,3,0,0,0,0,0,0,0.0,,
Buck Ortega,3448,TE,8,NO,3,0,0,0,0,0,0,0.0,,
P.J. Pope,3467,HB,2,DEN,4,0,0,0,0,0,0,0.0,,
Naufahu Tahi,3526,FB,16,MIN,20,0,0,0,0,0,0,0.0,,
Marshawn Lynch,3628,HB,15,BUF,63,0,0,0,0,0,0,0.0,,
Craig Davis,3646,WR,3,SD,7,0,0,0,0,0,0,0.0,,
Brandon Jackson,3679,HB,13,GB,35,0,0,0,0,0,0,0.0,,
Tony Hunt,3706,FB,6,PHI,5,0,0,0,0,0,0,0.0,,
Kolby Smith,3764,HB,6,KC,10,0,0,0,0,0,0,0.0,,
Troy Smith,3790,QB,1,BLT,1,0,0,0,0,0,0,0.0,,
Ben Patrick,3831,TE,10,ARZ,13,0,0,0,0,0,0,0.0,,
Derek Schouman,3838,TE,16,BUF,18,0,0,0,0,0,0,0.0,,
Dallas Baker,3843,WR,5,PIT,2,0,0,0,0,0,0,0.0,,
Jason Snelling,3860,FB,15,ATL,9,0,0,0,0,0,0,0.0,,
Kenneth Darby,3862,HB,9,STR,21,0,0,0,0,0,0,0.0,,
Ahmad Bradshaw,3866,HB,8,NYG,5,0,0,0,0,0,0,0.0,,
Jackie Battle,3885,HB,1,KC,1,0,0,0,0,0,0,0.0,,
Brandon London,3997,WR,10,MIA,6,0,0,0,0,0,0,0.0,,
Gary Russell,4059,HB,6,PIT,1,0,0,0,0,0,0,0.0,,
Steve Sanders,4189,WR,5,CLV,4,0,0,0,0,0,0,0.0,,
Michael Matthews,4218,TE,16,NYG,3,0,0,0,0,0,0,0.0,,
Edgar Jones,4280,ED,1,BLT,1,0,0,0,0,0,0,0.0,,
Felix Jones,4336,HB,6,DAL,2,0,0,0,0,0,0,0.0,,
Devin Thomas,4348,WR,16,WAS,24,0,0,0,0,0,0,0.0,,
Ray Rice,4369,HB,11,BLT,41,0,0,0,0,0,0,0.0,,
Brad Cottam,4390,TE,15,KC,9,0,0,0,0,0,0,0.0,,
Early Doucet,4395,WR,6,ARZ,17,0,0,0,0,0,0,0.0,,
