player,player_id,position,player_game_count,team_name,targets,deep_targets,deep_receptions,deep_drops,deep_yards,deep_catchable,deep_touchdowns,target_rate,drop_rate,catch_rate
Quinton Ganther,3191,HB,8,WAS,10,0,0,0,0,0,0,0.0,,
Arian Foster,5398,HB,4,HST,8,0,0,0,0,0,0,0.0,,
Mike Vrabel,268,ED,3,KC,1,0,0,0,0,0,0,0.0,,
Chris Pressley,5347,FB,6,TB,1,0,0,0,0,0,0,0.0,,
Kenneth Darby,3862,HB,15,STR,23,0,0,0,0,0,0,0.0,,
Ahmad Bradshaw,3866,HB,15,NYG,29,0,0,0,0,0,0,0.0,,
Jackie Battle,3885,HB,5,KC,2,0,0,0,0,0,0,0.0,,
Gary Russell,4059,FB,9,OAK,13,0,0,0,0,0,0,0.0,,
Danny Ware,4095,HB,5,NYG,4,0,0,0,0,0,0,0.0,,
Steve Johnson,4538,WR,4,BUF,3,0,0,0,0,0,0,0.0,,
Edgar Jones,4280,TE,3,BLT,2,0,0,0,0,0,0,0.0,,
Felix Jones,4336,HB,14,DAL,21,0,0,0,0,0,0,0.0,,
Brett Swain,4531,HB,2,GB,1,0,0,0,0,0,0,0.0,,
James Hardy,4355,WR,2,BUF,1,0,0,0,0,0,0,0.0,,
Justin Harper,4529,WR,2,BLT,1,0,0,0,0,0,0,0.0,,
Lex Hilliard,4518,HB,7,MIA,20,0,0,0,0,0,0,0.0,,
Jaymar Johnson,4507,WR,2,MIN,1,0,0,0,0,0,0,0.0,,
Brad Cottam,4390,TE,8,KC,15,0,0,0,0,0,0,0.0,,
Xavier Omon,4493,HB,3,BUF,1,0,0,0,0,0,0,0.0,,
Jacob Tamme,4441,TE,8,IND,9,0,0,0,0,0,0,0.0,,
Owen Schmitt,4477,FB,13,SEA,9,0,0,0,0,0,0,0.0,,
Jerome Felton,4460,FB,13,DET,14,0,0,0,0,0,0,0.0,,
Tim Hightower,4463,HB,16,ARZ,74,0,0,0,0,0,0,0.0,,
Mike Hart,4516,HB,5,IND,7,0,0,0,0,0,0,0.0,,
Louis Rankin,4590,HB,5,SEA,6,0,0,0,0,0,0,0.0,,
Darius Reynaud,4661,WR,5,MIN,1,0,0,0,0,0,0,0.0,,
Chad Simpson,4692,HB,6,IND,4,0,0,0,0,0,0,0.0,,
Derek Fine,4446,TE,8,BUF,12,0,0,0,0,0,0,0.0,,
Mike Cox,4716,FB,16,KC,13,0,0,0,0,0,0,0.0,,
Clifton Smith,4854,HB,4,TB,4,0,0,0,0,0,0,0.0,,
Danny Woodhead,4914,HB,6,NYJ,13,0,0,0,0,0,0,0.0,,
Jacob Hester,4383,FB,14,SD,10,0,0,0,0,0,0,0.0,,
Richard Quinn,4987,TE,4,DEN,1,0,0,0,0,0,0,0.0,,
Shonn Greene,4988,HB,12,NYJ,2,0,0,0,0,0,0,0.0,,
Glen Coffee,4997,HB,11,SF,15,0,0,0,0,0,0,0.0,,
Ramses Barden,5008,WR,2,NYG,1,0,0,0,0,0,0,0.0,,
Jerome Simpson,4360,WR,1,CIN,1,0,0,0,0,0,0,0.0,,
Chris Johnson,4338,HB,16,TEN,62,0,0,0,0,0,0,0.0,,
Gartrell Johnson,5058,HB,2,NYG,1,0,0,0,0,0,0,0.0,,
Aaron Brown,5116,HB,13,DET,14,0,0,0,0,0,0,0.0,,
James Davis,5119,HB,2,CLV,4,0,0,0,0,0,0,0.0,,
John Phillips,5132,FB,15,DAL,9,0,0,0,0,0,0,0.0,,
Bernard Scott,5133,HB,7,CIN,5,0,0,0,0,0,0,0.0,,
Jonathan Stewart,4327,HB,16,CAR,25,0,0,0,0,0,0,0.0,,
Cameron Morrah,5172,TE,2,SEA,1,0,0,0,0,0,0,0.0,,
Rashad Jennings,5174,HB,15,JAX,18,0,0,0,0,0,0,0.0,,
Dan Gronkowski,5179,TE,1,DET,3,0,0,0,0,0,0,0.0,,
Kahlil Bell,5243,HB,7,CHI,3,0,0,0,0,0,0,0.0,,
Brock Bolen,5264,FB,3,JAX,1,0,0,0,0,0,0,0.0,,
Zach Potter,5302,TE,1,JAX,1,0,0,0,0,0,0,0.0,,
Charly Martin,5366,WR,4,CAR,1,0,0,0,0,0,0,0.0,,
Kevin Ogletree,5387,WR,9,DAL,8,0,0,0,0,0,0,0.0,,
Tyrell Sutton,5395,HB,6,CAR,9,0,0,0,0,0,0,0.0,,
Marcus Mason,4256,HB,8,WAS,6,0,0,0,0,0,0,0.0,,
Jake Nordin,4245,FB,4,DET,2,0,0,0,0,0,0,0.0,,
Eric Weems,4097,WR,14,ATL,6,0,0,0,0,0,0,0.0,,
Pierre Thomas,4080,HB,13,NO,42,0,0,0,0,0,0,0.0,,
Fred Taylor,333,HB,6,NE,3,0,0,0,0,0,0,0.0,,
Ahman Green,374,HB,7,GB,4,0,0,0,0,0,0,0.0,,
Brian Finneran,423,WR,10,ATL,15,0,0,0,0,0,0,0.0,,
Steve Heiden,481,TE,7,CLV,15,0,0,0,0,0,0,0.0,,
Aaron Stecker,572,HB,4,ATL,5,0,0,0,0,0,0,0.0,,
Anthony Becht,602,TE,16,ARZ,10,0,0,0,0,0,0,0.0,,
Terrelle Smith,651,FB,5,DET,4,0,0,0,0,0,0,0.0,,
Brad Hoover,740,FB,11,CAR,9,0,0,0,0,0,0,0.0,,
Dan Kreider,749,FB,13,ARZ,6,0,0,0,0,0,0,0.0,,
