player,player_id,position,player_game_count,team_name,targets,deep_targets,deep_receptions,deep_drops,deep_yards,deep_catchable,deep_touchdowns,target_rate,drop_rate,catch_rate
Stevan Ridley,6225,HB,14,NE,12,0,0,0,0,0,0,0.0,,
Joique Bell,5797,HB,16,DET,62,0,0,0,0,0,0,0.0,,
Jake Ballard,5822,TE,7,ARZ,9,0,0,0,0,0,0,0.0,,
Robert Hughes,6564,FB,1,IND,2,0,0,0,0,0,0,0.0,,
Drew Davis,6525,WR,16,ATL,17,0,0,0,0,0,0,0.0,,
LeGarrette Blount,5863,HB,14,NE,3,0,0,0,0,0,0,0.0,,
Alfonso Smith,5877,HB,10,ARZ,10,0,0,0,0,0,0,0.0,,
Allen Reisner,6493,TE,5,JAX,9,0,0,0,0,0,0,0.0,,
Jeremy Ross,6476,WR,2,GB,2,0,0,0,0,0,0,0.0,,
Jeremy Ross,6476,WR,7,DET,10,0,0,0,0,0,0,0.0,,
Marlon Moore,5887,WR,5,SF,3,0,0,0,0,0,0,0.0,,
Zach Sudfeld,8313,TE,3,NE,2,0,0,0,0,0,0,0.0,,
Chris Ivory,6007,HB,12,NYJ,8,0,0,0,0,0,0,0.0,,
Steve Maneri,6028,TE,4,CHI,1,0,0,0,0,0,0,0.0,,
Fozzy Whittaker,8547,HB,9,CLV,33,0,0,0,0,0,0,0.0,,
Richard Brockel,6037,FB,10,CAR,1,0,0,0,0,0,0,0.0,,
Tyler Clutts,6124,FB,4,DAL,1,0,0,0,0,0,0,0.0,,
Tyler Clutts,6124,FB,1,MIA,1,0,0,0,0,0,0,0.0,,
Steven Jackson,1745,HB,12,ATL,43,0,0,0,0,0,0,0.0,,
James Develin,6142,FB,15,NE,4,0,0,0,0,0,0,0.0,,
Matt Asiata,6432,HB,3,MIN,6,0,0,0,0,0,0,0.0,,
Phillip Tanner,6420,HB,3,DAL,4,0,0,0,0,0,0,0.0,,
Mike Preston,6413,WR,7,TEN,7,0,0,0,0,0,0,0.0,,
Nate Solder,6169,T,1,NE,1,0,0,0,0,0,0,0.0,,
Stanley Havili,6392,FB,13,IND,19,0,0,0,0,0,0,0.0,,
Mark Ingram II,6180,HB,11,NO,9,0,0,0,0,0,0,0.0,,
Lance Kendricks,6199,TE,15,STR,41,0,0,0,0,0,0,0.0,,
Da'Rel Scott,6373,HB,5,NYG,14,0,0,0,0,0,0,0.0,,
Ryan Taylor,6370,TE,11,GB,9,0,0,0,0,0,0,0.0,,
Bruce Miller,6363,FB,14,SF,31,0,0,0,0,0,0,0.0,,
Daniel Thomas,6214,HB,15,MIA,16,0,0,0,0,0,0,0.0,,
Virgil Green,6356,TE,15,DEN,11,0,0,0,0,0,0,0.0,,
DeMarco Murray,6223,HB,14,DAL,59,0,0,0,0,0,0,0.0,,
Richard Gordon,6333,TE,1,KC,1,0,0,0,0,0,0,0.0,,
Tyrod Taylor,6332,QB,1,BLT,1,0,0,0,0,0,0,0.0,,
Alex Green,6248,HB,6,NYJ,2,0,0,0,0,0,0,0.0,,
Evan Royster,6329,HB,2,WAS,1,0,0,0,0,0,0,0.0,,
Roy Helu,6257,HB,16,WAS,39,0,0,0,0,0,0,0.0,,
Lee Smith,6311,TE,15,BUF,9,0,0,0,0,0,0,0.0,,
Niles Paul,6307,TE,10,WAS,6,0,0,0,0,0,0,0.0,,
Jacquizz Rodgers,6297,HB,15,ATL,58,0,0,0,0,0,0,0.0,,
Chimdi Chekwa,6265,CB,1,OAK,1,0,0,0,0,0,0,0.0,,
D.J. Williams Jr.,6293,TE,2,NE,1,0,0,0,0,0,0,0.0,,
Kendall Hunter,6267,HB,15,SF,3,0,0,0,0,0,0,0.0,,
D.J. Williams Jr.,6293,TE,1,JAX,1,0,0,0,0,0,0,0.0,,
Anthony Sherman,6288,FB,16,KC,21,0,0,0,0,0,0,0.0,,
Michael Hill,8302,HB,1,TB,2,0,0,0,0,0,0,0.0,,
Greg Jones II,1776,FB,16,HST,10,0,0,0,0,0,0,0.0,,
Benny Cunningham,8283,HB,11,STR,7,0,0,0,0,0,0,0.0,,
Jared Allen,1847,ED,1,MIN,1,0,0,0,0,0,0,0.0,,
Vonta Leach,2100,FB,13,BLT,16,0,0,0,0,0,0,0.0,,
Myles White,8243,WR,7,GB,11,0,0,0,0,0,0,0.0,,
Ronnie Brown,2219,HB,13,SD,8,0,0,0,0,0,0,0.0,,
Zach Line,8420,FB,3,MIN,2,0,0,0,0,0,0,0.0,,
Ryan Spadola,8236,WR,3,NYJ,1,0,0,0,0,0,0,0.0,,
Frank Gore,2282,HB,16,SF,24,0,0,0,0,0,0,0.0,,
Josh Hill,8200,TE,10,NO,9,0,0,0,0,0,0,0.0,,
Brandon Jacobs,2327,HB,7,NYG,6,0,0,0,0,0,0,0.0,,
C.J. Anderson,8101,HB,2,DEN,1,0,0,0,0,0,0,0.0,,
Joel Dreessen,2415,TE,9,DEN,9,0,0,0,0,0,0,0.0,,
Billy Bajema,2466,TE,3,BLT,2,0,0,0,0,0,0,0.0,,
Joshua Cribbs,2544,WR,5,NYJ,2,0,0,0,0,0,0,0.0,,
John Kuhn,2686,FB,13,GB,17,0,0,0,0,0,0,0.0,,
Dennis Johnson,8070,HB,8,HST,10,0,0,0,0,0,0,0.0,,
Willis McGahee,1339,HB,12,CLV,10,0,0,0,0,0,0,0.0,,
Ronnie Wingo,8067,HB,1,BUF,1,0,0,0,0,0,0,0.0,,
DeAngelo Williams,2972,HB,15,CAR,31,0,0,0,0,0,0,0.0,,
Greg Jenkins,8049,WR,1,OAK,1,0,0,0,0,0,0,0.0,,
Justice Cunningham,8037,TE,1,IND,1,0,0,0,0,0,0,0.0,,
Michael Cox,8036,HB,3,NYG,3,0,0,0,0,0,0,0.0,,
Tony Scheffler,3006,TE,5,DET,12,0,0,0,0,0,0,0.0,,
Michael Robinson,3045,FB,8,SEA,3,0,0,0,0,0,0,0.0,,
Brad Smith,3048,WR,5,PHI,2,0,0,0,0,0,0,0.0,,
Marquess Wilson,8019,WR,8,CHI,2,0,0,0,0,0,0,0.0,,
Nick Williams,8005,WR,5,WAS,9,0,0,0,0,0,0,0.0,,
Domenik Hixon,3075,WR,13,CAR,9,0,0,0,0,0,0,0.0,,
Ben Obomanu,3194,WR,1,NYJ,1,0,0,0,0,0,0,0.0,,
Tommy Bohanon,7997,FB,16,NYJ,16,0,0,0,0,0,0,0.0,,
Mike James,7970,HB,6,TB,11,0,0,0,0,0,0,0.0,,
Fred Jackson,3368,HB,16,BUF,61,0,0,0,0,0,0,0.0,,
Donald Penn,3459,T,1,TB,1,0,0,0,0,0,0,0.0,,
Adrian Peterson,3623,HB,14,MIN,37,0,0,0,0,0,0,0.0,,
Kenjon Barner,7963,HB,4,CAR,3,0,0,0,0,0,0,0.0,,
Marshawn Lynch,3628,HB,16,SEA,43,0,0,0,0,0,0,0.0,,
Zac Stacy,7942,HB,14,STR,33,0,0,0,0,0,0,0.0,,
Joseph Randle,7933,HB,6,DAL,10,0,0,0,0,0,0,0.0,,
Joe Staley,3644,T,1,SF,1,0,0,0,0,0,0,0.0,,
Stepfan Taylor,7922,HB,11,ARZ,9,0,0,0,0,0,0,0.0,,
Denard Robinson,7917,HB,8,JAX,1,0,0,0,0,0,0,0.0,,
Brian Leonard,3668,HB,16,TB,31,0,0,0,0,0,0,0.0,,
Levine Toilolo,7915,TE,16,ATL,13,0,0,0,0,0,0,0.0,,
Matt Spaeth,3693,TE,4,PIT,2,0,0,0,0,0,0,0.0,,
Kyle Juszczyk,7912,FB,2,BLT,1,0,0,0,0,0,0,0.0,,
Michael Bush,3716,HB,12,CHI,7,0,0,0,0,0,0,0.0,,
Le'Ron McClain,3753,FB,8,SD,2,0,0,0,0,0,0,0.0,,
Dante Rosario,3771,TE,15,CHI,4,0,0,0,0,0,0,0.0,,
Dion Sims,7888,TE,15,MIA,9,0,0,0,0,0,0,0.0,,
Jason Snelling,3860,HB,14,ATL,33,0,0,0,0,0,0,0.0,,
Ahmad Bradshaw,3866,HB,3,IND,7,0,0,0,0,0,0,0.0,,
Jackie Battle,3885,HB,10,TEN,4,0,0,0,0,0,0,0.0,,
Pierre Thomas,4080,HB,16,NO,81,0,0,0,0,0,0,0.0,,
Eric Weems,4097,WR,3,CHI,2,0,0,0,0,0,0,0.0,,
Knile Davis,7878,HB,15,KC,14,0,0,0,0,0,0,0.0,,
Jonathan Stewart,4327,HB,6,CAR,7,0,0,0,0,0,0,0.0,,
Felix Jones,4336,HB,15,PIT,11,0,0,0,0,0,0,0.0,,
Rashard Mendenhall,4337,HB,15,ARZ,18,0,0,0,0,0,0,0.0,,
Chris Johnson,4338,HB,16,TEN,51,0,0,0,0,0,0,0.0,,
Eddie Lacy,7842,HB,15,GB,40,0,0,0,0,0,0,0.0,,
Geno Smith,7820,QB,4,NYJ,1,0,0,0,0,0,0,0.0,,
Jeff Demps,7760,HB,2,TB,3,0,0,0,0,0,0,0.0,,
Josh Cooper,7672,WR,4,CLV,11,0,0,0,0,0,0,0.0,,
David Paulson,7660,TE,7,PIT,9,0,0,0,0,0,0,0.0,,
Cyrus Gray,7655,HB,11,KC,10,0,0,0,0,0,0,0.0,,
Ray Graham,8380,HB,1,HST,2,0,0,0,0,0,0,0.0,,
Will Johnson,7639,FB,14,PIT,9,0,0,0,0,0,0,0.0,,
Craig Stevens,4399,TE,14,TEN,5,0,0,0,0,0,0,0.0,,
Jonathan Grimes,7585,HB,2,HST,6,0,0,0,0,0,0,0.0,,
Jeremy Stewart,7534,HB,3,OAK,1,0,0,0,0,0,0,0.0,,
Chris Polk,7532,HB,7,PHI,5,0,0,0,0,0,0,0.0,,
Tashard Choice,4436,HB,10,BUF,8,0,0,0,0,0,0,0.0,,
Tashard Choice,4436,HB,1,IND,1,0,0,0,0,0,0,0.0,,
Bobby Rainey Jr.,7511,HB,8,TB,13,0,0,0,0,0,0,0.0,,
Bobby Rainey Jr.,7511,HB,4,CLV,4,0,0,0,0,0,0,0.0,,
Jerome Felton,4460,FB,13,MIN,7,0,0,0,0,0,0,0.0,,
Kellen Davis,4472,TE,12,SEA,3,0,0,0,0,0,0,0.0,,
Julian Talley,7501,WR,2,NYG,2,0,0,0,0,0,0,0.0,,
Brandon Bolden,7469,HB,10,NE,26,0,0,0,0,0,0,0.0,,
Travaris Cadet,7457,HB,3,NO,2,0,0,0,0,0,0,0.0,,
Peyton Hillis,4541,HB,7,NYG,20,0,0,0,0,0,0,0.0,,
Justin Forsett,4547,HB,9,JAX,16,0,0,0,0,0,0,0.0,,
BenJarvus Green-Ellis,4599,HB,16,CIN,5,0,0,0,0,0,0,0.0,,
Darius Reynaud,4661,HB,1,TEN,2,0,0,0,0,0,0,0.0,,
Derrick Coleman,7377,FB,9,SEA,8,0,0,0,0,0,0,0.0,,
Matthew Mulligan,4701,TE,13,NE,3,0,0,0,0,0,0,0.0,,
Lamaar Thomas,8315,WR,2,JAX,3,0,0,0,0,0,0,0.0,,
Joe Banyard,7361,HB,3,MIN,1,0,0,0,0,0,0,0.0,,
Mike Tolbert,4740,FB,16,CAR,26,0,0,0,0,0,0,0.0,,
Jed Collins,4743,FB,16,NO,18,0,0,0,0,0,0,0.0,,
Lance Dunbar,7332,HB,8,DAL,7,0,0,0,0,0,0,0.0,,
Cole Beasley,7330,WR,14,DAL,52,0,0,0,0,0,0,0.0,,
Knowshon Moreno,4935,HB,16,DEN,70,0,0,0,0,0,0,0.0,,
Cory Harkey,7306,FB,15,STR,16,0,0,0,0,0,0,0.0,,
Percy Harvin,4945,WR,1,SEA,1,0,0,0,0,0,0,0.0,,
Donald Brown,4950,HB,16,IND,30,0,0,0,0,0,0,0.0,,
Collin Mooney,7256,FB,8,TEN,6,0,0,0,0,0,0,0.0,,
Daryl Richardson,7233,HB,8,STR,18,0,0,0,0,0,0,0.0,,
Brian Robiskie,4959,WR,1,ATL,2,0,0,0,0,0,0,0.0,,
LeSean McCoy,4976,HB,16,PHI,59,0,0,0,0,0,0,0.0,,
Shonn Greene,4988,HB,10,TEN,7,0,0,0,0,0,0,0.0,,
Brandon Tate,5006,WR,11,CIN,2,0,0,0,0,0,0,0.0,,
Edwin Baker,7231,HB,3,CLV,9,0,0,0,0,0,0,0.0,,
Brad Meester,627,C,1,JAX,1,0,0,0,0,0,0,0.0,,
Chase Coffman,5021,TE,9,ATL,2,0,0,0,0,0,0,0.0,,
Jeremy Ebert,7219,WR,5,JAX,7,0,0,0,0,0,0,0.0,,
Mike Goodson,5034,HB,2,NYJ,3,0,0,0,0,0,0,0.0,,
Dan Herron,7179,HB,1,IND,1,0,0,0,0,0,0,0.0,,
Austin Collie,5051,WR,7,NE,10,0,0,0,0,0,0,0.0,,
Tony Fiammetta,5052,FB,15,CHI,5,0,0,0,0,0,0,0.0,,
Andre Brown,5053,HB,8,NYG,27,0,0,0,0,0,0,0.0,,
Quinn Johnson,5069,FB,4,TEN,1,0,0,0,0,0,0,0.0,,
James Casey,5076,TE,11,PHI,6,0,0,0,0,0,0,0.0,,
Frank Summers,5093,FB,12,BUF,8,0,0,0,0,0,0,0.0,,
James Hanna,7175,TE,16,DAL,12,0,0,0,0,0,0,0.0,,
Jack Doyle,8520,TE,12,IND,6,0,0,0,0,0,0,0.0,,
Visanthe Shiancoe,1406,TE,1,TEN,2,0,0,0,0,0,0,0.0,,
John Phillips,5132,TE,13,SD,5,0,0,0,0,0,0,0.0,,
Bernard Scott,5133,HB,2,BLT,2,0,0,0,0,0,0,0.0,,
Alfred Morris,7165,HB,16,WAS,10,0,0,0,0,0,0,0.0,,
Vick Ballard,7162,HB,1,IND,1,0,0,0,0,0,0,0.0,,
LaRod Stephens-Howling,5164,HB,1,PIT,3,0,0,0,0,0,0,0.0,,
Rashad Jennings,5174,HB,15,OAK,38,0,0,0,0,0,0,0.0,,
Juron Criner,7160,WR,1,OAK,8,0,0,0,0,0,0,0.0,,
Isaac Redman,5233,HB,3,PIT,5,0,0,0,0,0,0,0.0,,
Josh Vaughan,5289,HB,1,ATL,1,0,0,0,0,0,0,0.0,,
Kevin Brock,5328,TE,4,KC,6,0,0,0,0,0,0,0.0,,
Kory Sperry,5369,TE,2,ARZ,1,0,0,0,0,0,0,0.0,,
Bradie Ewing,7150,FB,2,ATL,2,0,0,0,0,0,0,0.0,,
