player,player_id,position,player_game_count,team_name,targets,deep_targets,deep_receptions,deep_drops,deep_yards,deep_catchable,deep_touchdowns,target_rate,drop_rate,catch_rate
Jason Avant,3054,WR,16,PHI,70,8,3,1,71,4,0,11.4,25.0,37.5
David Gettis,5721,WR,15,CAR,66,16,6,0,221,6,2,24.2,0.0,37.5
Todd Heap,801,TE,13,BLT,56,8,3,2,126,5,2,14.3,40.0,37.5
Derrick Mason,271,WR,16,BLT,94,22,8,2,242,10,3,23.4,20.0,36.4
Emmanuel Sanders,5606,WR,13,PIT,48,11,4,1,113,5,0,22.9,20.0,36.4
Marques Colston,3197,WR,15,NO,126,17,6,2,146,8,2,13.5,25.0,35.3
Jeremy Maclin,4942,WR,16,PHI,106,26,9,2,340,11,4,24.5,18.2,34.6
Mike Sims-Walker,3695,WR,14,JAX,73,6,2,0,62,2,0,8.2,0.0,33.3
Verran Tucker,5935,WR,9,KC,17,3,1,0,38,1,0,17.6,0.0,33.3
Reggie Wayne,800,WR,16,IND,172,36,12,2,379,14,2,20.9,14.3,33.3
Donte' Stallworth,1020,WR,7,BLT,5,3,1,0,67,1,0,60.0,0.0,33.3
Robert Royal,1151,TE,12,CLV,11,3,1,1,20,2,1,27.3,50.0,33.3
Kellen Winslow,1727,TE,16,TB,87,9,3,1,101,4,2,10.3,25.0,33.3
Brian Robiskie,4959,WR,14,CLV,49,12,4,0,115,4,3,24.5,0.0,33.3
Michael Crabtree,4933,WR,16,SF,92,12,4,0,137,4,3,13.0,0.0,33.3
Donald Driver,533,WR,15,GB,82,12,4,0,171,4,2,14.6,0.0,33.3
David Anderson,3196,WR,9,HST,18,3,1,0,35,1,0,16.7,0.0,33.3
Demaryius Thomas,5547,WR,10,DEN,37,6,2,0,48,2,1,16.2,0.0,33.3
Brent Celek,3778,TE,15,PHI,71,12,4,0,154,4,2,16.9,0.0,33.3
Legedu Naanee,3788,WR,10,SD,42,6,2,0,85,2,1,14.3,0.0,33.3
David Clowney,3773,WR,10,CAR,12,3,1,0,25,1,0,25.0,0.0,33.3
Dwayne Bowe,3639,WR,16,KC,125,33,11,3,324,14,6,26.4,21.4,33.3
Earl Bennett,4384,WR,14,CHI,66,6,2,0,81,2,0,9.1,0.0,33.3
Micheal Spurlock,3517,WR,16,TB,31,12,4,1,126,5,1,38.7,20.0,33.3
Patrick Cobbs,3272,HB,13,MIA,18,3,1,1,29,2,1,16.7,50.0,33.3
Tony Scheffler,3006,TE,15,DET,66,3,1,0,25,1,0,4.5,0.0,33.3
Brandon Pettigrew,4943,TE,16,DET,103,3,1,0,23,1,0,2.9,0.0,33.3
Patrick Crayton,1932,WR,9,SD,42,9,3,0,97,3,0,21.4,0.0,33.3
Benjamin Watson,1753,TE,16,CLV,96,9,3,2,65,5,0,9.4,40.0,33.3
C.J. Spiller,5534,HB,13,BUF,27,3,1,0,41,1,0,11.1,0.0,33.3
Deion Branch,1072,WR,4,SEA,18,3,1,0,41,1,0,16.7,0.0,33.3
Mardy Gilyard,5623,WR,9,STR,15,3,1,0,21,1,0,20.0,0.0,33.3
Clay Harbor,5648,TE,9,PHI,14,3,1,0,24,1,0,21.4,0.0,33.3
Jeremy Shockey,1021,TE,13,NO,56,3,1,0,31,1,0,5.4,0.0,33.3
Andrew Quarless,5677,TE,13,GB,31,3,1,0,23,1,0,9.7,0.0,33.3
Aaron Hernandez,5637,TE,14,NE,64,6,2,1,54,3,0,9.4,33.3,33.3
Rob Gronkowski,5567,TE,16,NE,57,6,2,0,51,2,1,10.5,0.0,33.3
Nate Washington,2832,WR,16,TEN,88,32,10,0,355,10,3,36.4,0.0,31.3
Brandon LaFell,5602,WR,14,CAR,71,13,4,1,135,5,0,18.3,20.0,30.8
Michael Jenkins,1750,WR,11,ATL,69,13,4,0,112,4,1,18.8,0.0,30.8
Anquan Boldin,1369,WR,16,BLT,103,20,6,0,212,6,3,19.4,0.0,30.0
Devery Henderson,1771,WR,16,NO,60,17,5,3,173,8,1,28.3,37.5,29.4
Santonio Holmes,2970,WR,12,NYJ,91,17,5,1,140,6,1,18.7,16.7,29.4
Calvin Johnson,3618,WR,15,DET,131,41,12,3,354,15,7,31.3,20.0,29.3
Steve Smith,3667,WR,9,NYG,72,14,4,0,120,4,1,19.4,0.0,28.6
Joshua Cribbs,2544,WR,14,CLV,36,7,2,0,85,2,1,19.4,0.0,28.6
James Jones,3694,WR,16,GB,85,21,6,2,233,8,2,24.7,25.0,28.6
Tiquan Underwood,5177,WR,10,JAX,21,7,2,0,44,2,0,33.3,0.0,28.6
Braylon Edwards,2220,WR,16,NYJ,93,28,8,1,342,9,4,30.1,11.1,28.6
Mike Williams,5625,WR,16,TB,122,32,9,3,239,12,4,26.2,25.0,28.1
Santana Moss,786,WR,16,WAS,142,22,6,2,239,8,2,15.5,25.0,27.3
Lee Evans,1734,WR,13,BUF,78,26,7,1,245,8,2,33.3,12.5,26.9
Mike Williams,2227,WR,13,SEA,106,19,5,0,173,5,0,17.9,0.0,26.3
Steve Smith,837,WR,14,CAR,87,16,4,2,121,6,0,18.4,33.3,25.0
Kassim Osgood,1676,WR,15,JAX,13,4,1,0,24,1,1,30.8,0.0,25.0
Josh Morgan,4488,WR,16,SF,74,16,4,1,147,5,0,21.6,20.0,25.0
Golden Tate,5585,WR,11,SEA,38,8,2,1,76,3,0,21.1,33.3,25.0
David Nelson,5862,WR,15,BUF,47,8,2,0,55,2,1,17.0,0.0,25.0
Davone Bess,4694,WR,16,MIA,118,8,2,0,50,2,1,6.8,0.0,25.0
Louis Murphy,5048,WR,14,OAK,74,16,4,2,115,6,0,21.6,33.3,25.0
Heath Miller,2247,TE,14,PIT,63,4,1,0,36,1,0,6.3,0.0,25.0
Brandon Gibson,5118,WR,14,STR,86,12,3,1,61,4,2,14.0,25.0,25.0
Cameron Morrah,5172,TE,12,SEA,18,4,1,0,36,1,0,22.2,0.0,25.0
Seyi Ajirotutu,6035,WR,10,SD,23,8,2,0,83,2,2,34.8,0.0,25.0
Blair White,5970,WR,12,IND,56,8,2,0,51,2,1,14.3,0.0,25.0
Randy Moss,342,WR,8,TEN,16,4,1,1,26,2,0,25.0,50.0,25.0
Randy Moss,342,WR,4,NE,22,8,2,1,69,3,2,36.4,33.3,25.0
Dante Rosario,3771,TE,16,CAR,54,4,1,1,26,2,0,7.4,50.0,25.0
Deion Branch,1072,WR,11,NE,72,8,2,0,138,2,2,11.1,0.0,25.0
Tony Moeaki,5617,TE,15,KC,64,4,1,1,18,2,1,6.3,50.0,25.0
Larry Fitzgerald,1724,WR,16,ARZ,168,37,9,1,254,10,1,22.0,10.0,24.3
Deon Butler,5014,WR,13,SEA,69,17,4,0,148,4,2,24.6,0.0,23.5
Terrell Owens,188,WR,14,CIN,132,26,6,1,255,7,4,19.7,14.3,23.1
Laurent Robinson,3691,WR,14,STR,69,9,2,0,61,2,0,13.0,0.0,22.2
Mohamed Massaquoi,4973,WR,15,CLV,68,18,4,1,133,5,1,26.5,20.0,22.2
Nate Burleson,1386,WR,14,DET,85,9,2,0,91,2,0,10.6,0.0,22.2
Brandon Marshall,3064,WR,14,MIA,132,18,4,2,136,6,0,13.6,33.3,22.2
Donald Jones,6000,WR,8,BUF,36,9,2,1,69,3,0,25.0,33.3,22.2
Brian Hartline,5031,WR,12,MIA,68,14,3,0,114,3,0,20.6,0.0,21.4
Bryant Johnson,1333,WR,14,DET,48,10,2,1,47,3,0,20.8,33.3,20.0
Kevin Boss,3769,TE,15,NYG,65,5,1,0,24,1,0,7.7,0.0,20.0
Bernard Berrian,1799,WR,14,MIN,53,5,1,0,30,1,0,9.4,0.0,20.0
Sammie Stroughter,5157,WR,12,TB,40,5,1,0,27,1,0,12.5,0.0,20.0
Jacoby Jones,3689,WR,15,HST,76,5,1,0,34,1,0,6.6,0.0,20.0
Matt Forte,4358,HB,16,CHI,65,5,1,0,28,1,1,7.7,0.0,20.0
Ed Dickson,5595,TE,14,BLT,21,5,1,0,58,1,0,23.8,0.0,20.0
Tony Gonzalez,237,TE,16,ATL,105,5,1,0,34,1,0,4.8,0.0,20.0
Jacob Tamme,4441,TE,12,IND,90,5,1,1,30,2,0,5.6,50.0,20.0
Pierre Garcon,4519,WR,14,IND,119,25,5,3,145,8,4,21.0,37.5,20.0
Steve Johnson,4538,WR,16,BUF,139,16,3,1,83,4,3,11.5,25.0,18.8
Chad Johnson,806,WR,14,CIN,118,16,3,1,90,4,1,13.6,25.0,18.8
Justin Gage,1452,WR,11,TEN,40,11,2,3,53,5,0,27.5,60.0,18.2
Joey Galloway,117,WR,10,WAS,35,11,2,0,82,2,0,31.4,0.0,18.2
Harry Douglas,4398,WR,16,ATL,49,11,2,1,69,3,0,22.4,33.3,18.2
Jerricho Cotchery,1829,WR,14,NYJ,80,11,2,1,74,3,1,13.8,33.3,18.2
Sidney Rice,3660,WR,6,MIN,39,12,2,1,77,3,1,30.8,33.3,16.7
Eddie Royal,4356,WR,16,DEN,93,12,2,0,47,2,0,12.9,0.0,16.7
Craig Davis,3646,WR,7,SD,37,6,1,0,49,1,0,16.2,0.0,16.7
Johnnie Lee Higgins,3715,WR,11,OAK,25,6,1,1,26,2,0,24.0,50.0,16.7
Darrius Heyward-Bey,4930,WR,15,OAK,60,20,3,3,105,6,1,33.3,50.0,15.0
Marlon Moore,5887,WR,9,MIA,18,7,1,0,29,1,0,38.9,0.0,14.3
Ted Ginn Jr.,3625,WR,13,SF,32,9,1,0,37,1,1,28.1,0.0,11.1
Chris Chambers,821,WR,13,KC,41,9,1,0,26,1,0,22.0,0.0,11.1
Randy Moss,342,WR,4,MIN,25,10,1,1,37,2,1,40.0,50.0,10.0
Greg Olsen,3647,TE,16,CHI,61,11,1,1,23,2,0,18.0,50.0,9.1
Devin Hester,3002,WR,16,CHI,71,12,1,2,25,3,1,16.9,66.7,8.3
Jamaal Charles,4387,HB,16,KC,59,2,0,0,0,0,0,3.4,,0.0
Darren Sproles,2347,HB,16,SD,70,1,0,0,0,0,0,1.4,,0.0
Danny Amendola,4717,WR,16,STR,114,4,0,0,0,0,0,3.5,,0.0
Matt Spaeth,3693,TE,14,PIT,18,2,0,0,0,0,0,11.1,,0.0
Brandon Banks,6053,WR,8,WAS,5,2,0,0,0,0,0,40.0,,0.0
Dominique Zeigler,4111,WR,10,SF,16,4,0,0,0,0,0,25.0,,0.0
Kareem Huggins,5414,HB,2,TB,2,1,0,0,0,0,0,50.0,,0.0
Ben Patrick,3831,TE,11,ARZ,18,1,0,0,0,0,0,5.6,,0.0
David Clowney,3773,WR,3,NYJ,4,1,0,0,0,0,0,25.0,,0.0
Chansi Stuckey,3851,WR,16,CLV,57,1,0,0,0,0,0,1.8,,0.0
Tim Castille,3906,FB,9,KC,11,1,0,0,0,0,0,9.1,,0.0
Jermaine Gresham,5546,TE,15,CIN,75,1,0,1,0,1,0,1.3,100.0,0.0
Scott Chandler,3745,TE,4,BUF,3,1,0,0,0,0,0,33.3,,0.0
Lance Ball,4808,HB,5,DEN,6,1,0,1,0,1,0,16.7,100.0,0.0
Lorenzo Booker,3687,HB,4,MIN,6,1,0,0,0,0,0,16.7,,0.0
Stephen Williams,5880,WR,10,ARZ,23,3,0,0,0,0,0,13.0,,0.0
John Carlson,4352,TE,15,SEA,52,5,0,0,0,0,0,9.6,,0.0
Martellus Bennett,4375,TE,16,DAL,44,1,0,1,0,1,0,2.3,100.0,0.0
Kris Wilson,1782,TE,13,SD,7,1,0,1,0,1,0,14.3,100.0,0.0
Dennis Pitta,5638,TE,6,BLT,5,1,0,0,0,0,0,20.0,,0.0
Dorin Dickerson,5750,WR,4,HST,1,1,0,0,0,0,0,100.0,,0.0
Sam Hurd,3362,WR,15,DAL,21,2,0,0,0,0,0,9.5,,0.0
Gary Barnidge,4455,TE,14,CAR,7,1,0,0,0,0,0,14.3,,0.0
Dexter McCluster,5561,WR,11,KC,36,3,0,0,0,0,0,8.3,,0.0
Hank Baskett,3220,WR,5,MIN,4,1,0,0,0,0,0,25.0,,0.0
Brett Swain,4531,WR,10,GB,9,2,0,0,0,0,0,22.2,,0.0
Justin Forsett,4547,HB,16,SEA,46,1,0,0,0,0,0,2.2,,0.0
Marcel Reece,4702,FB,16,OAK,40,4,0,0,0,0,0,10.0,,0.0
Leonard Pope,3017,TE,16,KC,17,1,0,0,0,0,0,5.9,,0.0
Brandon James,5965,WR,2,IND,11,1,0,0,0,0,0,9.1,,0.0
