player,player_id,position,player_game_count,team_name,targets,deep_targets,deep_receptions,deep_drops,deep_yards,deep_catchable,deep_touchdowns,target_rate,drop_rate,catch_rate
Mewelde Moore,1840,HB,6,MIN,8,0,0,0,0,0,0,0.0,,
Brian Kozlowski,62,TE,3,WAS,1,0,0,0,0,0,0,0.0,,
Tony Richardson,110,FB,14,MIN,13,0,0,0,0,0,0,0.0,,
Mark Bruener,125,TE,7,HST,1,0,0,0,0,0,0,0.0,,
Christian Fauria,130,TE,13,CAR,6,0,0,0,0,0,0,0.0,,
Marcus Pollard,151,TE,14,SEA,34,0,0,0,0,0,0,0.0,,
Jason Taylor,264,ED,1,MIA,1,0,0,0,0,0,0,0.0,,
Mike Vrabel,268,ED,6,NE,3,0,0,0,0,0,0,0.0,,
Priest Holmes,309,HB,4,KC,8,0,0,0,0,0,0,0.0,,
Michael Sellers,432,FB,14,WAS,22,0,0,0,0,0,0,0.0,,
Edgerrin James,439,HB,16,ARZ,32,0,0,0,0,0,0,0.0,,
Jim Kleinsasser,469,TE,16,MIN,8,0,0,0,0,0,0,0.0,,
Dan Campbell,488,TE,2,DET,1,0,0,0,0,0,0,0.0,,
Jerame Tuman,513,TE,5,PIT,2,0,0,0,0,0,0,0.0,,
Ryan Neufeld,565,TE,7,BUF,2,0,0,0,0,0,0,0.0,,
Jamal Lewis,583,HB,14,CLV,35,0,0,0,0,0,0,0.0,,
Thomas Jones,585,HB,16,NYJ,29,0,0,0,0,0,0,0.0,,
Ron Dayne,589,HB,13,HST,21,0,0,0,0,0,0,0.0,,
Paul Smith,669,HB,1,DEN,1,0,0,0,0,0,0,0.0,,
Sammy Morris,678,HB,6,NE,7,0,0,0,0,0,0,0.0,,
Deuce McAllister,793,HB,3,NO,5,0,0,0,0,0,0,0.0,,
Anthony Thomas,808,HB,9,BUF,19,0,0,0,0,0,0,0.0,,
Lamont Jordan,819,HB,12,OAK,32,0,0,0,0,0,0,0.0,,
Travis Henry,825,HB,12,DEN,13,0,0,0,0,0,0,0.0,,
Heath Evans,843,FB,14,NE,5,0,0,0,0,0,0,0.0,,
Travis Minor,846,HB,7,STR,17,0,0,0,0,0,0,0.0,,
Rudi Johnson,857,HB,11,CIN,15,0,0,0,0,0,0,0.0,,
Correll Buckhalter,869,HB,14,PHI,20,0,0,0,0,0,0,0.0,,
Jameel Cook,904,FB,5,HST,8,0,0,0,0,0,0,0.0,,
Tom Ashworth,938,T,2,SEA,1,0,0,0,0,0,0,0.0,,
Dominic Rhodes,979,HB,6,OAK,16,0,0,0,0,0,0,0.0,,
Marcellus Rivers,981,TE,3,NE,2,0,0,0,0,0,0,0.0,,
Marcel Shipp,987,HB,15,ARZ,9,0,0,0,0,0,0,0.0,,
Kenny Watson,1001,HB,16,CIN,63,0,0,0,0,0,0,0.0,,
Daniel Wilcox,1002,TE,5,BLT,10,0,0,0,0,0,0,0.0,,
DeShaun Foster,1041,HB,16,CAR,37,0,0,0,0,0,0,0.0,,
Chris Baker,1091,TE,15,NYJ,60,0,0,0,0,0,0,0.0,,
Justin Peelle,1104,TE,16,MIA,41,0,0,0,0,0,0,0.0,,
Jeb Putzier,1174,TE,7,HST,8,0,0,0,0,0,0,0.0,,
John Gilmore,1176,TE,11,CHI,4,0,0,0,0,0,0,0.0,,
Chester Taylor,1182,HB,14,MIN,39,0,0,0,0,0,0,0.0,,
Bryan Fletcher,1184,TE,12,IND,26,0,0,0,0,0,0,0.0,,
Dwayne Blakley,1219,TE,11,ATL,9,0,0,0,0,0,0,0.0,,
Darnell Dinkins,1236,TE,2,CLV,1,0,0,0,0,0,0,0.0,,
Jason McKie,1279,FB,16,CHI,14,0,0,0,0,0,0,0.0,,
Willis McGahee,1339,HB,15,BLT,48,0,0,0,0,0,0,0.0,,
Musa Smith,1392,HB,16,BLT,30,0,0,0,0,0,0,0.0,,
Chris Brown,1407,HB,12,TEN,21,0,0,0,0,0,0,0.0,,
Jeremi Johnson,1430,FB,16,CIN,7,0,0,0,0,0,0,0.0,,
Sam Aiken,1439,WR,6,BUF,2,0,0,0,0,0,0,0.0,,
LaBrandon Toefield,1443,HB,1,JAX,1,0,0,0,0,0,0,0.0,,
Aaron Walker,1469,TE,5,STR,3,0,0,0,0,0,0,0.0,,
David Tyree,1511,WR,7,NYG,5,0,0,0,0,0,0,0.0,,
Richard Angulo,1548,TE,5,JAX,9,0,0,0,0,0,0,0.0,,
Casey Fitzsimmons,1607,TE,16,DET,9,0,0,0,0,0,0,0.0,,
Cecil Sapp,1695,FB,15,DEN,20,0,0,0,0,0,0,0.0,,
Kevin Jones,1751,HB,13,DET,40,0,0,0,0,0,0,0.0,,
Greg Jones II,1776,FB,16,JAX,16,0,0,0,0,0,0,0.0,,
Ben Hartsock,1789,TE,16,TEN,18,0,0,0,0,0,0,0.0,,
Michael Turner,1873,HB,13,SD,6,0,0,0,0,0,0,0.0,,
Mike Karney,1875,FB,16,NO,17,0,0,0,0,0,0,0.0,,
Thomas Tapeh,1880,FB,16,PHI,10,0,0,0,0,0,0,0.0,,
Ryan Krause,1887,TE,9,GB,2,0,0,0,0,0,0,0.0,,
Jeff Dugan,1936,FB,10,MIN,7,0,0,0,0,0,0,0.0,,
Derrick Ward,1949,HB,8,NYG,39,0,0,0,0,0,0,0.0,,
Sean McHugh,1955,TE,15,DET,27,0,0,0,0,0,0,0.0,,
Terrance Copper,2016,WR,14,NO,18,0,0,0,0,0,0,0.0,,
Carey Davis,2029,FB,14,PIT,13,0,0,0,0,0,0,0.0,,
Luke Lawton,2099,FB,7,IND,4,0,0,0,0,0,0,0.0,,
Cedric Benson,2221,HB,11,CHI,26,0,0,0,0,0,0,0.0,,
Cadillac Williams,2222,HB,4,TB,5,0,0,0,0,0,0,0.0,,
J.J. Arrington,2261,HB,16,ARZ,36,0,0,0,0,0,0,0.0,,
Frank Gore,2282,HB,15,SF,65,0,0,0,0,0,0,0.0,,
Kevin Everett,2303,TE,1,BUF,1,0,0,0,0,0,0,0.0,,
Marion Barber III,2326,HB,16,DAL,50,0,0,0,0,0,0,0.0,,
Jerome Mathis,2331,WR,2,HST,1,0,0,0,0,0,0,0.0,,
Tab Perry,2407,WR,2,CIN,5,0,0,0,0,0,0,0.0,,
Marcus Maxwell,2440,WR,3,CIN,2,0,0,0,0,0,0,0.0,,
Kyle Eckel,2574,FB,4,NE,1,0,0,0,0,0,0,0.0,,
Sam Gado,2599,HB,3,HST,8,0,0,0,0,0,0,0.0,,
Sam Gado,2599,HB,5,MIA,5,0,0,0,0,0,0,0.0,,
Ryan Grant,2609,HB,14,GB,34,0,0,0,0,0,0,0.0,,
Aaron Halterman,2619,TE,3,MIA,3,0,0,0,0,0,0,0.0,,
John Kuhn,2686,FB,12,GB,3,0,0,0,0,0,0,0.0,,
Leonard Weaver,2835,FB,16,SEA,48,0,0,0,0,0,0,0.0,,
DeAngelo Williams,2972,HB,16,CAR,34,0,0,0,0,0,0,0.0,,
Joseph Addai,2975,HB,15,IND,43,0,0,0,0,0,0,0.0,,
Brian Calhoun,3019,HB,3,DET,5,0,0,0,0,0,0,0.0,,
Willie Reid,3040,WR,5,PIT,6,0,0,0,0,0,0,0.0,,
Michael Robinson,3045,HB,10,SF,13,0,0,0,0,0,0,0.0,,
Marques Hagans,3089,WR,3,STR,15,0,0,0,0,0,0,0.0,,
Jason Pociask,3095,TE,4,NYJ,1,0,0,0,0,0,0,0.0,,
Lawrence Vickers,3125,FB,16,CLV,23,0,0,0,0,0,0,0.0,,
Adam Jennings,3129,WR,13,ATL,6,0,0,0,0,0,0,0.0,,
Chris Barclay,3216,HB,1,NO,1,0,0,0,0,0,0,0.0,,
Chris Barclay,3216,HB,2,TEN,2,0,0,0,0,0,0,0.0,,
Mike Bell,3225,HB,4,DEN,1,0,0,0,0,0,0,0.0,,
Brian Clark,3271,WR,4,DEN,5,0,0,0,0,0,0,0.0,,
Brian Clark,3271,WR,1,TB,1,0,0,0,0,0,0,0.0,,
Patrick Cobbs,3272,HB,4,MIA,5,0,0,0,0,0,0,0.0,,
DeDe Dorsey,3299,HB,7,CIN,5,0,0,0,0,0,0,0.0,,
Andre Hall,3333,HB,5,DEN,2,0,0,0,0,0,0,0.0,,
Micheal Spurlock,3517,WR,1,TB,2,0,0,0,0,0,0,0.0,,
Naufahu Tahi,3526,FB,2,MIN,1,0,0,0,0,0,0,0.0,,
Stacy Tutt,3538,FB,5,NYJ,1,0,0,0,0,0,0,0.0,,
Lee Vickers,3542,TE,5,BLT,5,0,0,0,0,0,0,0.0,,
Adrian Peterson,3623,HB,14,MIN,22,0,0,0,0,0,0,0.0,,
Chris Henry,3666,HB,6,TEN,6,0,0,0,0,0,0,0.0,,
Brandon Jackson,3679,HB,10,GB,21,0,0,0,0,0,0,0.0,,
Lorenzo Booker,3687,HB,6,MIA,34,0,0,0,0,0,0,0.0,,
Jason Hill,3692,WR,4,SF,2,0,0,0,0,0,0,0.0,,
Garrett Wolfe,3709,HB,9,CHI,11,0,0,0,0,0,0,0.0,,
Ryne Robinson,3734,WR,9,CAR,8,0,0,0,0,0,0,0.0,,
Martrez Milner,3749,TE,7,ATL,9,0,0,0,0,0,0,0.0,,
Kolby Smith,3764,HB,9,KC,28,0,0,0,0,0,0,0.0,,
Dante Rosario,3771,TE,13,CAR,6,0,0,0,0,0,0,0.0,,
Oren O'Neal,3791,FB,11,OAK,1,0,0,0,0,0,0,0.0,,
Derek Schouman,3838,TE,3,BUF,3,0,0,0,0,0,0,0.0,,
Ahmad Bradshaw,3866,HB,5,NYG,4,0,0,0,0,0,0,0.0,,
Jackie Battle,3885,HB,2,KC,5,0,0,0,0,0,0,0.0,,
Kenton Keith,4131,HB,15,IND,22,0,0,0,0,0,0,0.0,,
Chris Davis,4144,WR,1,NYJ,1,0,0,0,0,0,0,0.0,,
Gilbert Harris,4201,HB,4,KC,4,0,0,0,0,0,0,0.0,,
Chris McFoy,4236,WR,3,OAK,2,0,0,0,0,0,0,0.0,,
Lorenzo Neal,47,FB,13,SD,11,0,0,0,0,0,0,0.0,,
Mack Strong,66,FB,5,SEA,11,0,0,0,0,0,0,0.0,,
Terry Glenn,156,WR,1,DAL,1,0,0,0,0,0,0,0.0,,
Jason Dunn,178,TE,15,KC,3,0,0,0,0,0,0,0.0,,
Warrick Dunn,236,HB,16,ATL,52,0,0,0,0,0,0,0.0,,
Fred Taylor,333,HB,15,JAX,13,0,0,0,0,0,0,0.0,,
Ahman Green,374,HB,6,HST,17,0,0,0,0,0,0,0.0,,
Aaron Stecker,572,HB,15,NO,38,0,0,0,0,0,0,0.0,,
Shaun Alexander,597,HB,13,SEA,22,0,0,0,0,0,0,0.0,,
Anthony Becht,602,TE,16,TB,7,0,0,0,0,0,0,0.0,,
Reuben Droughns,640,HB,14,NYG,14,0,0,0,0,0,0,0.0,,
John St. Clair,649,T,1,CHI,1,0,0,0,0,0,0,0.0,,
Terrelle Smith,651,FB,16,ARZ,10,0,0,0,0,0,0,0.0,,
Mike Anderson,693,HB,5,BLT,4,0,0,0,0,0,0,0.0,,
Brad Hoover,740,FB,16,CAR,13,0,0,0,0,0,0,0.0,,
Dan Kreider,749,FB,8,PIT,3,0,0,0,0,0,0,0.0,,
LaDainian Tomlinson,777,HB,16,SD,82,0,0,0,0,0,0,0.0,,
Michael Bennett,797,HB,6,KC,10,0,0,0,0,0,0,0.0,,
Moran Norris,865,FB,15,SF,10,0,0,0,0,0,0,0.0,,
Eric Johnson,929,TE,14,NO,59,0,0,0,0,0,0,0.0,,
Aveion Cason,945,HB,9,DET,16,0,0,0,0,0,0,0.0,,
T.J. Duckett,1025,HB,11,DET,6,0,0,0,0,0,0,0.0,,
Clinton Portis,1058,HB,16,WAS,56,0,0,0,0,0,0,0.0,,
Ladell Betts,1063,HB,16,WAS,30,0,0,0,0,0,0,0.0,,
John Owens,1133,TE,5,NO,1,0,0,0,0,0,0,0.0,,
Verron Haynes,1156,HB,1,PIT,1,0,0,0,0,0,0,0.0,,
Adrian Peterson,1177,HB,16,CHI,58,0,0,0,0,0,0,0.0,,
Maurice Hicks,1253,HB,15,SF,16,0,0,0,0,0,0,0.0,,
Kyle Boller,1335,QB,1,BLT,1,0,0,0,0,0,0,0.0,,
Larry Johnson,1343,HB,8,KC,37,0,0,0,0,0,0,0.0,,
B.J. Askew,1400,FB,13,TB,19,0,0,0,0,0,0,0.0,,
Ovie Mughelli,1445,FB,15,ATL,9,0,0,0,0,0,0,0.0,,
Andrew Pinnock,1527,FB,4,SD,4,0,0,0,0,0,0,0.0,,
Earnest Graham,1613,HB,15,TB,63,0,0,0,0,0,0,0.0,,
Reno Mahe,1654,HB,3,PHI,1,0,0,0,0,0,0,0.0,,
Chad Mustard,1668,TE,6,DEN,7,0,0,0,0,0,0,0.0,,
Kassim Osgood,1676,WR,6,SD,3,0,0,0,0,0,0,0.0,,
Tatum Bell,1762,HB,5,DET,18,0,0,0,0,0,0,0.0,,
