player,player_id,position,player_game_count,team_name,targets,deep_targets,deep_receptions,deep_drops,deep_yards,deep_catchable,deep_touchdowns,target_rate,drop_rate,catch_rate
Deonte Thompson,7513,WR,2,BLT,6,0,0,0,0,0,0,0.0,,
Brandon Bolden,7469,HB,6,NE,2,0,0,0,0,0,0,0.0,,
Lance Dunbar,7332,HB,7,DAL,11,0,0,0,0,0,0,0.0,,
Daryl Richardson,7233,HB,15,STR,31,0,0,0,0,0,0,0.0,,
Cole Beasley,7330,WR,9,DAL,24,0,0,0,0,0,0,0.0,,
Cory Harkey,7306,TE,3,STR,2,0,0,0,0,0,0,0.0,,
Jeremy Stewart,7534,HB,4,OAK,8,0,0,0,0,0,0,0.0,,
Visanthe Shiancoe,1406,TE,4,NE,1,0,0,0,0,0,0,0.0,,
LaRon Byrd,7486,WR,2,ARZ,2,0,0,0,0,0,0,0.0,,
Will Heller,1623,TE,16,DET,22,0,0,0,0,0,0,0.0,,
Bryce Brown,7213,HB,16,PHI,18,0,0,0,0,0,0,0.0,,
Alfred Morris,7165,HB,16,WAS,15,0,0,0,0,0,0,0.0,,
Ladarius Green,7110,TE,4,SD,4,0,0,0,0,0,0,0.0,,
Joe Adams,7104,WR,4,CAR,1,0,0,0,0,0,0,0.0,,
Greg Jones II,1776,FB,12,JAX,13,0,0,0,0,0,0,0.0,,
Ben Hartsock,1789,TE,10,CAR,3,0,0,0,0,0,0,0.0,,
Michael Turner,1873,HB,16,ATL,29,0,0,0,0,0,0,0.0,,
David Wilson,7036,HB,11,NYG,9,0,0,0,0,0,0,0.0,,
Lousaka Polite,2152,FB,6,ATL,3,0,0,0,0,0,0,0.0,,
Cedric Benson,2221,HB,5,GB,15,0,0,0,0,0,0,0.0,,
Doug Martin,7035,HB,16,TB,62,0,0,0,0,0,0,0.0,,
A.J. Jenkins,7034,WR,3,SF,1,0,0,0,0,0,0,0.0,,
Frank Gore,2282,HB,16,SF,34,0,0,0,0,0,0,0.0,,
Courtney Roby,2285,WR,5,NO,2,0,0,0,0,0,0,0.0,,
Mike Brown,7698,WR,2,JAX,1,0,0,0,0,0,0,0.0,,
Greg Camarillo,2523,WR,3,NO,5,0,0,0,0,0,0,0.0,,
Ryan Grant,2609,HB,4,GB,2,0,0,0,0,0,0,0.0,,
John Kuhn,2686,FB,14,GB,17,0,0,0,0,0,0,0.0,,
Trent Richardson,7009,HB,15,CLV,61,0,0,0,0,0,0,0.0,,
Hayden Smith,7005,TE,4,NYJ,1,0,0,0,0,0,0,0.0,,
Jorvorskie Lane,7002,FB,16,MIA,12,0,0,0,0,0,0,0.0,,
Kevin Cone,6889,WR,2,ATL,1,0,0,0,0,0,0,0.0,,
Henry Hynoski,6666,FB,16,NYG,15,0,0,0,0,0,0,0.0,,
DeAngelo Williams,2972,HB,16,CAR,19,0,0,0,0,0,0,0.0,,
DuJuan Harris,6595,HB,3,GB,2,0,0,0,0,0,0,0.0,,
Robert Hughes,6564,FB,5,IND,1,0,0,0,0,0,0,0.0,,
