player,player_id,position,player_game_count,team_name,targets,deep_targets,deep_receptions,deep_drops,deep_yards,deep_catchable,deep_touchdowns,target_rate,drop_rate,catch_rate
Ricky Proehl,11,WR,2,IND,4,0,0,0,0,0,0,0.0,,
Dave Moore,30,TE,4,TB,1,0,0,0,0,0,0,0.0,,
Tony Richardson,110,FB,9,MIN,13,0,0,0,0,0,0,0.0,,
Kyle Brady,118,TE,15,JAX,7,0,0,0,0,0,0,0.0,,
Mark Bruener,125,TE,13,HST,9,0,0,0,0,0,0,0.0,,
Christian Fauria,130,TE,9,WAS,2,0,0,0,0,0,0,0.0,,
Marcus Pollard,151,TE,13,DET,16,0,0,0,0,0,0,0.0,,
Mike Alstott,170,FB,16,TB,35,0,0,0,0,0,0,0.0,,
Mike Vrabel,268,ED,3,NE,1,0,0,0,0,0,0,0.0,,
Daimon Shelton,287,FB,13,BUF,8,0,0,0,0,0,0,0.0,,
Obafemi Ayanbadejo,297,FB,13,ARZ,18,0,0,0,0,0,0,0.0,,
Karl Hankton,308,WR,3,CAR,3,0,0,0,0,0,0,0.0,,
Michael Sellers,432,FB,16,WAS,19,0,0,0,0,0,0,0.0,,
Grey Ruegamer,483,G,1,NYG,1,0,0,0,0,0,0,0.0,,
Jerame Tuman,513,TE,15,PIT,6,0,0,0,0,0,0,0.0,,
James Dearth,530,LS,2,NYJ,1,0,0,0,0,0,0,0.0,,
Sean Morey,538,WR,4,PIT,4,0,0,0,0,0,0,0.0,,
James Hodgins,554,FB,5,NYJ,4,0,0,0,0,0,0,0.0,,
Ryan Neufeld,565,TE,5,BUF,1,0,0,0,0,0,0,0.0,,
Jamal Lewis,583,HB,16,BLT,23,0,0,0,0,0,0,0.0,,
Thomas Jones,585,HB,16,CHI,40,0,0,0,0,0,0,0.0,,
Ron Dayne,589,HB,11,HST,15,0,0,0,0,0,0,0.0,,
Paul Smith,669,FB,8,STR,2,0,0,0,0,0,0,0.0,,
Sammy Morris,678,HB,12,MIA,31,0,0,0,0,0,0,0.0,,
Patrick Pass,709,HB,2,NE,2,0,0,0,0,0,0,0.0,,
Dane Looker,755,WR,8,STR,1,0,0,0,0,0,0,0.0,,
Deuce McAllister,793,HB,15,NO,34,0,0,0,0,0,0,0.0,,
