slice_type,slice_value,n_rows,n_seasons,incumbent_rmse,variant_rmse,variant,delta_variant_minus_incumbent
pooled,all,3622,9,2.885459887404849,2.883177044414924,normalized_scoring_specific,-0.0022828429899250935
recent,2023_2025,1226,3,2.899234809414372,2.8937993530369592,normalized_scoring_specific,-0.005435456377412606
source_era,2017_2023,2800,7,2.8913678125895594,2.890098825743467,normalized_scoring_specific,-0.0012689868460924458
source_era,2024_2025,822,2,2.8652441495057714,2.859473460611814,normalized_scoring_specific,-0.005770688893957487
season,2017,402,1,2.868450433973028,2.8683354863144612,normalized_scoring_specific,-0.00011494765856667755
season,2018,365,1,3.011385667067821,3.012958146013525,normalized_scoring_specific,0.0015724789457038924
season,2019,385,1,2.9057516083321104,2.905005403562798,normalized_scoring_specific,-0.0007462047693125307
season,2020,409,1,3.095842146042887,3.090072264172848,normalized_scoring_specific,-0.0057698818700386845
season,2021,413,1,2.7909070705769436,2.791122930068834,normalized_scoring_specific,0.0002158594918904022
season,2022,422,1,2.5968849789029504,2.5984738192007972,normalized_scoring_specific,0.001588840297846783
season,2023,404,1,2.9671921599181332,2.9624129902891605,normalized_scoring_specific,-0.004779169628972735
season,2024,406,1,2.9787260040056918,2.9734151120699925,normalized_scoring_specific,-0.005310891935699225
season,2025,416,1,2.7499784367171243,2.7437120279003735,normalized_scoring_specific,-0.006266408816750779
position,QB,306,8,3.9978552558048888,3.9881825782393276,normalized_scoring_specific,-0.009672677565561116
position,RB,1011,9,3.2998709594537368,3.2996018221285284,normalized_scoring_specific,-0.0002691373252083906
position,TE,802,9,1.9981518439997643,1.9960903037180309,normalized_scoring_specific,-0.0020615402817334427
position,WR,1503,9,2.712012037564744,2.710090338127056,normalized_scoring_specific,-0.0019216994376880514
history_depth,other_no_history,23,7,2.1896086873670386,2.1907085643440336,normalized_scoring_specific,0.0010998769769949845
history_depth,rookie,518,9,3.235882934469596,3.233878778097736,normalized_scoring_specific,-0.002004156371860244
history_depth,second_year,558,9,2.929419802913935,2.9292912446318136,normalized_scoring_specific,-0.00012855828212154918
history_depth,veteran_with_history,2523,9,2.803771220761321,2.8008949824294627,normalized_scoring_specific,-0.0028762383318583495
rank_availability,available,3577,9,2.8947861113929068,2.892331530741449,normalized_scoring_specific,-0.0024545806514577606
rank_availability,unavailable,45,9,2.010174659406501,2.0273105580508672,normalized_scoring_specific,0.017135898644366154
coverage_band,complete,1602,9,3.361812142912611,3.358394362006879,normalized_scoring_specific,-0.003417780905732304
coverage_band,partial_high,1634,9,2.5213246769862008,2.520968441819477,normalized_scoring_specific,-0.000356235166723895
coverage_band,partial_low,341,2,2.084419328383406,2.07660982499536,normalized_scoring_specific,-0.007809503388045869
coverage_band,unavailable,45,9,2.010174659406501,2.0273105580508672,normalized_scoring_specific,0.017135898644366154
coverage_completeness,complete,1602,9,3.361812142912611,3.358394362006879,normalized_scoring_specific,-0.003417780905732304
coverage_completeness,incomplete_or_unavailable,2020,9,2.4424950620435903,2.4413899239271495,normalized_scoring_specific,-0.0011051381164408625
shallow_omission,no_omission,1602,9,3.361812142912611,3.358394362006879,normalized_scoring_specific,-0.003417780905732304
shallow_omission,omission,2020,9,2.4424950620435903,2.4413899239271495,normalized_scoring_specific,-0.0011051381164408625
pooled,all,3622,9,2.885459887404849,2.8843887526488183,raw_available_median,-0.0010711347560308226
recent,2023_2025,1226,3,2.899234809414372,2.8961320297052877,raw_available_median,-0.0031027797090841247
source_era,2017_2023,2800,7,2.8913678125895594,2.8915115486608194,raw_available_median,0.0001437360712599478
source_era,2024_2025,822,2,2.8652441495057714,2.859993062417631,raw_available_median,-0.0052510870881405936
season,2017,402,1,2.868450433973028,2.871284218995287,raw_available_median,0.002833785022259061
season,2018,365,1,3.011385667067821,3.0120718296700977,raw_available_median,0.0006861626022764966
season,2019,385,1,2.9057516083321104,2.9044907231865933,raw_available_median,-0.0012608851455171433
season,2020,409,1,3.095842146042887,3.094717612593573,raw_available_median,-0.001124533449313958
season,2021,413,1,2.7909070705769436,2.7902974741235567,raw_available_median,-0.0006095964533869846
season,2022,422,1,2.5968849789029504,2.5962855669250966,raw_available_median,-0.0005994119778538476
season,2023,404,1,2.9671921599181332,2.968304262469064,raw_available_median,0.0011121025509308602
season,2024,406,1,2.9787260040056918,2.975359758124988,raw_available_median,-0.0033662458807035556
season,2025,416,1,2.7499784367171243,2.7427245150316035,raw_available_median,-0.007253921685520748
position,QB,306,8,3.9978552558048888,3.992900718775772,raw_available_median,-0.004954537029116857
position,RB,1011,9,3.2998709594537368,3.2987048035513378,raw_available_median,-0.001166155902398991
position,TE,802,9,1.9981518439997643,1.9964669936298118,raw_available_median,-0.001684850369952473
position,WR,1503,9,2.712012037564744,2.712368605099863,raw_available_median,0.00035656753511936756
history_depth,other_no_history,23,7,2.1896086873670386,2.1899951572964147,raw_available_median,0.0003864699293760765
history_depth,rookie,518,9,3.235882934469596,3.2323145637726975,raw_available_median,-0.0035683706968985263
history_depth,second_year,558,9,2.929419802913935,2.9302065461631916,raw_available_median,0.0007867432492565385
history_depth,veteran_with_history,2523,9,2.803771220761321,2.8028493451165075,raw_available_median,-0.0009218756448134968
rank_availability,available,3577,9,2.8947861113929068,2.893602316977068,raw_available_median,-0.0011837944158386016
rank_availability,unavailable,45,9,2.010174659406501,2.021889349069935,raw_available_median,0.01171468966343392
coverage_band,complete,1602,9,3.361812142912611,3.359831677480488,raw_available_median,-0.0019804654321231574
coverage_band,partial_high,1634,9,2.5213246769862008,2.5210291394365143,raw_available_median,-0.0002955375496864754
coverage_band,partial_low,341,2,2.084419328383406,2.0838918540746896,raw_available_median,-0.000527474308716247
coverage_band,unavailable,45,9,2.010174659406501,2.021889349069935,raw_available_median,0.01171468966343392
coverage_completeness,complete,1602,9,3.361812142912611,3.359831677480488,raw_available_median,-0.0019804654321231574
coverage_completeness,incomplete_or_unavailable,2020,9,2.4424950620435903,2.4423877196992345,raw_available_median,-0.0001073423443558319
shallow_omission,no_omission,1602,9,3.361812142912611,3.359831677480488,raw_available_median,-0.0019804654321231574
shallow_omission,omission,2020,9,2.4424950620435903,2.4423877196992345,raw_available_median,-0.0001073423443558319
pooled,all,3622,9,2.885459887404849,2.8831527013519724,raw_log,-0.0023071860528767196
recent,2023_2025,1226,3,2.899234809414372,2.8947754680055104,raw_log,-0.004459341408861395
source_era,2017_2023,2800,7,2.8913678125895594,2.8901258013776285,raw_log,-0.0012420112119309046
source_era,2024_2025,822,2,2.8652441495057714,2.859272429000235,raw_log,-0.005971720505536293
season,2017,402,1,2.868450433973028,2.871340388277577,raw_log,0.0028899543045493026
season,2018,365,1,3.011385667067821,3.0121550380270294,raw_log,0.0007693709592082598
season,2019,385,1,2.9057516083321104,2.903950160244126,raw_log,-0.0018014480879844363
season,2020,409,1,3.095842146042887,3.0948754754997254,raw_log,-0.0009666705431614631
season,2021,413,1,2.7909070705769436,2.788231580787591,raw_log,-0.002675489789352614
season,2022,422,1,2.5968849789029504,2.591291045408376,raw_log,-0.005593933494574266
season,2023,404,1,2.9671921599181332,2.9657000199475947,raw_log,-0.0014921399705385419
season,2024,406,1,2.9787260040056918,2.973957694204887,raw_log,-0.004768309800804893
season,2025,416,1,2.7499784367171243,2.7427239494383846,raw_log,-0.007254487278739674
position,QB,306,8,3.9978552558048888,3.991669245409859,raw_log,-0.006186010395029751
position,RB,1011,9,3.2998709594537368,3.2978796850098506,raw_log,-0.0019912744438861374
position,TE,802,9,1.9981518439997643,1.9945145437512843,raw_log,-0.003637300248479969
position,WR,1503,9,2.712012037564744,2.7110117548729664,raw_log,-0.0010002826917774321
history_depth,other_no_history,23,7,2.1896086873670386,2.186101848485753,raw_log,-0.0035068388812855567
history_depth,rookie,518,9,3.235882934469596,3.231809707932775,raw_log,-0.004073226536820851
history_depth,second_year,558,9,2.929419802913935,2.927791695559316,raw_log,-0.0016281073546191571
history_depth,veteran_with_history,2523,9,2.803771220761321,2.8017287752563504,raw_log,-0.002042445504970569
rank_availability,available,3577,9,2.8947861113929068,2.892211822142497,raw_log,-0.0025742892504099224
