player,player_id,position,player_game_count,team_name,dropbacks,attempts,completions,completion_percent,yards,ypa,touchdowns,interceptions,grades_offense,grades_pass,grades_run,grades_hands_fumble,sacks,bats,drops,thrown_aways,hit_as_threw,qb_rating,scrambles,first_downs
Peyton Manning,327,QB,16,IND,696,679,450,66.3,4700,6.9,33,17,90.5,90.2,41.2,91.1,16,6,0,5,4,91.9,1,255
Drew Brees,802,QB,16,NO,685,658,448,68.1,4620,7.0,33,22,87.8,87.9,33.2,80.8,25,10,0,22,2,90.9,2,236
Sam Bradford,5526,QB,16,STR,634,590,354,60.0,3521,6.0,18,15,66.1,66.8,36.6,74.7,34,17,0,18,17,76.5,10,182
Carson Palmer,1317,QB,16,CIN,624,589,362,61.5,3970,6.7,26,19,72.0,75.4,27.8,74.7,26,11,1,18,5,82.7,9,208
Matt Schaub,1811,QB,16,HST,611,574,365,63.6,4372,7.6,24,12,84.4,84.0,43.1,73.6,32,10,0,25,12,92.0,5,225
Matt Ryan,4317,QB,16,ATL,614,574,357,62.2,3705,6.5,28,9,86.1,86.6,44.1,87.3,23,5,0,20,9,90.5,17,203
Philip Rivers,1725,QB,16,SD,588,541,357,66.0,4710,8.7,30,13,91.4,92.7,28.8,67.0,38,7,0,23,8,101.8,9,239
Eli Manning,1722,QB,16,NYG,565,539,339,62.9,4002,7.4,31,25,81.2,82.5,39.2,79.6,16,6,0,14,5,85.3,10,197
Mark Sanchez,4928,QB,15,NYJ,542,506,278,54.9,3291,6.5,17,13,70.1,70.3,49.6,69.9,27,15,0,10,5,75.5,9,168
Kyle Orton,2323,QB,13,DEN,541,499,293,58.7,3658,7.3,20,9,68.2,70.7,33.8,85.9,34,9,0,13,5,87.4,8,177
Tom Brady,698,QB,16,NE,521,493,324,65.7,3900,7.9,36,4,84.9,87.2,29.8,86.2,25,6,0,10,5,110.8,3,191
Chad Henne,4371,QB,15,MIA,539,491,302,61.5,3298,6.7,15,18,68.4,69.7,41.3,80.2,30,16,0,26,4,76.2,18,171
Joe Flacco,4332,QB,16,BLT,541,489,306,62.6,3693,7.6,25,10,74.3,78.1,30.0,72.9,40,8,0,25,5,94.2,12,180
Josh Freeman,4940,QB,16,TB,544,475,291,61.3,3458,7.3,25,6,78.5,76.9,66.6,69.9,28,6,0,22,10,95.8,41,188
Aaron Rodgers,2241,QB,15,GB,543,475,312,65.7,3935,8.3,28,11,89.6,90.7,49.7,84.3,31,6,0,16,2,101.3,37,201
Donovan McNabb,438,QB,13,WAS,523,472,275,58.3,3377,7.2,14,15,65.2,66.8,42.9,47.9,37,15,0,7,8,77.1,14,160
Matt Cassel,2447,QB,15,KC,497,451,262,58.1,3116,6.9,27,7,69.5,68.4,62.6,81.7,26,13,0,24,5,92.8,20,167
Matt Hasselbeck,408,QB,14,SEA,480,444,266,59.9,2998,6.8,12,17,70.7,70.1,56.1,74.5,29,6,0,15,3,73.2,7,142
Ryan Fitzpatrick,2467,QB,13,BUF,482,441,254,57.6,2977,6.8,23,15,66.9,68.2,38.1,79.8,24,13,0,4,11,81.4,17,159
Jay Cutler,2956,QB,15,CHI,509,433,261,60.3,3294,7.6,23,16,71.8,72.0,60.2,49.0,52,13,0,16,4,86.3,24,174
Shaun Hill,1255,QB,11,DET,448,417,257,61.6,2686,6.4,16,12,80.7,79.4,62.1,88.1,17,7,0,16,5,81.1,14,138
Ben Roethlisberger,1732,QB,12,PIT,432,389,240,61.7,3200,8.2,17,5,87.0,88.3,44.3,40.4,32,7,0,11,2,97.0,11,160
Michael Vick,773,QB,12,PHI,466,372,233,62.6,3018,8.1,21,6,79.0,73.0,84.9,48.9,34,10,0,12,9,100.2,60,156
David Garrard,1109,QB,14,JAX,419,366,236,64.5,2734,7.5,23,15,74.9,77.6,49.9,60.4,32,6,0,15,5,90.8,21,140
Brett Favre,14,QB,13,MIN,382,358,217,60.6,2509,7.0,11,19,59.6,64.1,27.6,48.4,22,4,0,6,5,69.9,2,117
Alex Smith,2218,QB,11,SF,373,342,204,59.6,2370,6.9,14,10,61.1,62.9,49.2,67.3,25,8,0,24,8,82.1,6,105
Jason Campbell,2242,QB,13,OAK,377,329,194,59.0,2389,7.3,13,8,66.0,68.3,40.4,38.6,33,11,0,11,3,84.5,15,114
Derek Anderson,2430,QB,12,ARZ,355,328,169,51.5,2066,6.3,7,10,48.2,49.6,54.0,72.6,25,7,0,6,4,65.7,2,99
Jon Kitna,217,QB,10,DAL,354,319,209,65.5,2365,7.4,16,12,60.5,64.5,33.6,43.4,21,10,0,6,2,88.6,14,122
Jimmy Clausen,5573,QB,13,CAR,345,300,158,52.7,1560,5.2,3,9,60.5,61.7,41.0,87.2,33,12,0,23,3,58.5,12,76
Kerry Collins,115,QB,10,TEN,291,278,160,57.6,1823,6.6,14,8,68.0,70.7,27.5,59.7,13,7,0,14,3,82.2,0,91
