player,player_id,position,player_game_count,team_name,dropbacks,attempts,completions,completion_percent,yards,ypa,touchdowns,interceptions,grades_offense,grades_pass,grades_run,grades_hands_fumble,sacks,bats,drops,thrown_aways,hit_as_threw,qb_rating,scrambles,first_downs
Matt Schaub,1811,QB,16,HST,626,583,396,67.9,4770,8.2,29,15,84.3,89.7,26.9,83.9,26,12,0,22,16,98.6,17,235
Peyton Manning,327,QB,16,IND,583,571,393,68.8,4518,7.9,33,16,87.0,88.1,30.0,90.6,10,9,0,7,3,100.0,2,237
Tom Brady,698,QB,16,NE,587,565,371,65.7,4398,7.8,28,13,77.8,81.0,29.1,91.1,16,5,0,11,9,96.2,6,215
Jay Cutler,2956,QB,16,CHI,609,555,336,60.5,3676,6.6,27,26,63.5,65.5,39.9,75.9,34,6,0,15,6,76.8,20,178
Tony Romo,1693,QB,16,DAL,597,550,347,63.1,4484,8.2,26,9,70.0,71.7,39.7,70.3,34,10,0,6,4,97.6,13,208
Kyle Orton,2323,QB,16,DEN,581,541,336,62.1,3799,7.0,21,12,64.2,66.1,31.2,81.9,29,7,0,22,7,86.8,11,188
Aaron Rodgers,2241,QB,16,GB,623,541,350,64.7,4434,8.2,30,7,88.1,87.9,58.5,55.5,50,9,0,14,6,103.2,32,215
Brett Favre,14,QB,16,MIN,566,531,363,68.4,4202,7.9,33,7,91.5,91.7,39.5,90.4,34,6,0,8,4,107.2,1,213
David Garrard,1109,QB,16,JAX,593,516,314,60.9,3597,7.0,15,10,68.5,71.4,44.8,46.5,42,13,0,20,18,83.5,35,184
Drew Brees,802,QB,15,NO,539,514,363,70.6,4391,8.5,34,11,89.1,88.7,47.6,69.6,20,13,0,5,7,109.7,5,215
Kurt Warner,112,QB,15,ARZ,543,514,340,66.1,3758,7.3,27,14,75.3,77.4,29.6,59.6,24,14,0,4,20,93.8,5,194
Eli Manning,1722,QB,16,NYG,546,509,317,62.3,4037,7.9,27,14,77.5,78.3,33.3,61.5,30,11,0,6,6,93.3,7,187
Jason Campbell,2242,QB,16,WAS,577,507,327,64.5,3620,7.1,20,15,62.8,64.1,49.8,44.1,43,16,0,22,13,86.4,27,201
Ben Roethlisberger,1732,QB,15,PIT,567,506,337,66.6,4328,8.6,26,12,85.3,86.1,40.4,80.3,50,12,0,7,12,100.5,11,211
