player,player_id,position,player_game_count,team_name,dropbacks,attempts,completions,completion_percent,yards,ypa,touchdowns,interceptions,grades_offense,grades_pass,grades_run,grades_hands_fumble,sacks,bats,drops,thrown_aways,hit_as_threw,qb_rating,scrambles,first_downs
Matthew Stafford,4924,QB,16,DET,775,727,435,59.8,4967,6.8,20,17,73.6,72.0,62.9,77.9,29,13,0,21,2,79.8,19,275
Drew Brees,802,QB,16,NO,699,670,422,63.0,5177,7.7,43,19,85.1,84.3,41.6,88.8,26,12,0,30,7,96.3,3,268
Tony Romo,1693,QB,16,DAL,693,648,425,65.6,4903,7.6,28,19,73.9,74.1,51.9,82.5,36,7,0,13,1,90.5,9,237
Tom Brady,698,QB,16,NE,668,637,401,63.0,4827,7.6,35,8,90.3,88.7,59.6,91.1,27,8,0,19,9,99.2,4,258
Andrew Luck,7007,QB,16,IND,703,627,339,54.1,4374,7.0,23,18,65.9,64.1,68.3,78.8,41,14,0,14,14,76.5,35,226
Matt Ryan,4317,QB,16,ATL,663,615,422,68.6,4719,7.7,32,14,84.6,84.9,43.2,88.1,28,6,0,14,3,99.1,20,253
Peyton Manning,327,QB,16,DEN,609,583,400,68.6,4659,8.0,37,11,91.9,91.8,42.9,88.9,21,6,0,11,3,105.8,5,235
Carson Palmer,1317,QB,15,OAK,595,565,345,61.1,4018,7.1,22,14,65.7,66.4,40.8,70.3,26,12,0,7,7,85.3,4,185
Josh Freeman,4940,QB,16,TB,603,558,306,54.8,4065,7.3,27,17,61.9,62.4,50.3,82.9,26,17,0,20,11,81.6,19,195
Aaron Rodgers,2241,QB,16,GB,639,552,371,67.2,4295,7.8,39,8,90.1,89.3,65.7,81.0,51,5,0,20,5,108.0,36,227
Sam Bradford,5526,QB,16,STR,605,551,328,59.5,3702,6.7,21,13,70.4,72.1,48.4,71.2,36,10,0,16,14,82.6,18,193
Matt Schaub,1811,QB,16,HST,573,544,350,64.3,4008,7.4,22,12,75.6,76.7,29.7,85.0,27,10,0,23,4,90.7,2,202
Eli Manning,1722,QB,16,NYG,564,536,321,59.9,3948,7.4,26,15,78.7,79.3,38.1,85.0,19,10,0,14,7,87.2,9,190
Joe Flacco,4332,QB,16,BLT,571,531,317,59.7,3817,7.2,22,10,68.1,71.0,28.4,65.0,35,7,0,12,12,87.7,5,178
Andy Dalton,6187,QB,16,CIN,593,528,329,62.3,3669,6.9,27,16,64.5,64.4,56.1,90.7,46,15,0,12,2,87.4,19,179
Philip Rivers,1725,QB,16,SD,587,527,338,64.1,3606,6.8,26,15,64.1,66.3,43.9,72.0,50,4,0,42,3,88.6,10,185
Brandon Weeden,7028,QB,15,CLV,559,517,297,57.4,3385,6.5,14,17,50.1,51.4,40.2,83.8,28,21,0,24,8,72.6,14,175
Ryan Fitzpatrick,2467,QB,16,BUF,566,505,306,60.6,3400,6.7,24,16,54.0,52.7,60.8,59.9,30,8,0,8,4,83.3,31,184
Cam Newton,6153,QB,16,CAR,555,485,280,57.7,3869,8.0,19,12,72.4,68.6,75.4,72.2,36,11,0,18,13,86.2,34,181
Ryan Tannehill,7014,QB,16,MIA,532,484,282,58.3,3294,6.8,12,13,68.4,70.2,42.8,71.2,35,13,0,20,8,76.1,13,158
Christian Ponder,6164,QB,16,MIN,555,483,300,62.1,2935,6.1,18,12,57.0,54.8,64.0,76.1,32,6,0,20,5,81.2,40,176
Mark Sanchez,4928,QB,15,NYJ,496,453,246,54.3,2883,6.4,13,18,46.0,49.6,26.8,26.4,34,14,0,7,8,66.9,9,151
Ben Roethlisberger,1732,QB,13,PIT,491,449,284,63.3,3265,7.3,26,8,86.0,85.4,55.6,66.2,30,13,0,14,7,97.0,12,171
