scope,period,method,n,ppg_crps,ppg_mae_mean,ppg_bias,ppg_80_coverage,ppg_pit_mean,ppg_pit_ks,contribution_crps,contribution_mae_mean,contribution_bias,contribution_80_coverage,contribution_pit_mean,contribution_pit_ks,plus3_actual_rate,plus3_predicted_rate,plus3_brier,plus3_auc,plus5_actual_rate,plus5_predicted_rate,plus5_brier,plus5_auc,impact_actual_rate,impact_predicted_rate,impact_brier,impact_auc,zero_actual_rate,zero_predicted_rate,zero_brier,zero_auc,contribution_q90_spearman,tail_lift_surprise_spearman,raw_residual_mean,effective_sample_size,max_donor_probability,played_crps,played_mae_mean,played_bias,played_80_coverage,extended_absence_actual_rate,extended_absence_predicted_rate,extended_absence_brier,extended_absence_auc,weighted_season_gap,weight_last3_seasons,weight_10plus_seasons,retain_adp_rank,add_log_adp,log_adp_weight,log_adp_cap,recency_half_life,feature_count_total,total_match_weight
all,all_2017_2025,add_log_adp,2647.0,1.8179102762971326,2.556226049818851,0.10011829042631998,0.8284850774461655,0.5005204887910748,0.015986892351915416,16.45676188445956,24.07994739033156,0.8141260548940794,0.8522856063468077,0.5005861093592944,0.022495729877592713,0.162825840574235,0.1761826611269099,0.13700723630743916,0.5682674830592945,0.06309029089535323,0.07753925160299209,0.06061552482941075,0.596380625845084,0.10200226671703816,0.10872153296421766,0.08737516835664923,0.71232256657162,0.09557990177559501,0.10311632662776589,0.07643381957735747,0.803582573033374,0.6302341905541473,-0.09857362058064346,0.02683257676408047,59.948867887906424,0.050000000000000024,1.6844286920650027,2.5117274873021618,0.14352791225412864,0.8991310918020401,0.20362674726105023,0.1983477668049766,0.14122697082574132,0.7117562567549014,4.852028157469518,0.4334557551578559,0.10501135661273667,True,True,0.5,300.0,12.0,59,60.25
all,all_2017_2025,production,2647.0,1.817677012639216,2.556245630045868,0.10011623827971097,0.8284850774461655,0.5006308189305078,0.016954305421517768,16.457691847689922,24.080791202909452,0.8021479299096355,0.8511522478277295,0.5007527043352826,0.022550585002453008,0.162825840574235,0.17608844505505744,0.1368801210715074,0.5694589863217938,0.06309029089535323,0.07752084294789606,0.06058221782235984,0.5965158392891636,0.10200226671703816,0.10867088639262093,0.08723474898156813,0.7136236152012341,0.09557990177559501,0.10314676604009669,0.07639797828444567,0.804727563308799,0.6302434651470398,-0.09730925744453328,0.03144953835169327,60.03919280599182,0.050000000000000024,1.6852020366985592,2.512364207604625,0.14709990026027572,0.898753305629014,0.20362674726105023,0.1980786980122414,0.1412282418191453,0.712211277472866,4.854867744204583,0.4329467463143318,0.10515639663551915,True,False,0.0,300.0,12.0,55,58.25
all,all_2017_2025,replace_adp_rank_with_log_adp,2647.0,1.8184656007051068,2.556278672721662,0.10018052514374207,0.8265961465810351,0.5007542247517375,0.01655551007595779,16.459475089430647,24.083189989043415,0.814473927753505,0.8526633925198338,0.5008947910349643,0.022449401190125062,0.162825840574235,0.17634690421245328,0.13698419114148797,0.5693605668958932,0.06309029089535323,0.07749737325182868,0.060582644598018334,0.594241355997682,0.10200226671703816,0.10879629986922669,0.08732993497928727,0.7125266831829726,0.09557990177559501,0.10278134071614368,0.07627519651587078,0.8049735669872969,0.6301513050295743,-0.09647781716359936,0.02525702588753842,60.1846327935468,0.050000000000000024,1.6864114985522638,2.515561243310852,0.1486487655569983,0.8991310918020401,0.20362674726105023,0.19775082360703286,0.14117595799345303,0.7129514562423209,4.843599137265273,0.43404135196438126,0.10424486340524111,False,True,0.5,300.0,12.0,55,58.25
all,development_2017_2022,add_log_adp,1759.0,1.767324625539991,2.469827741214022,-0.03871033942380933,0.8459351904491188,0.5134593465062276,0.037955194397241265,16.342076584562147,23.60634076753324,0.3756639524451816,0.8578737919272313,0.5097327107718321,0.04119229527168067,0.1625923820352473,0.17608759706468008,0.13592133236597595,0.5737422794449271,0.06310403638430927,0.07816030657260246,0.06014864642624966,0.6058722557508965,0.10233086981239341,0.10959748376932926,0.08642484088822532,0.7292854127084653,0.08129619101762366,0.10038177758144017,0.06807099067277762,0.7996866994391747,0.6420996614880129,-0.09143357321779556,0.27068317888506355,59.3765415470025,0.050000000000000024,1.6727483485324923,2.4732677635271183,0.21029396556211996,0.9039226833428085,0.20352472996020465,0.1941179247792256,0.14203061363671776,0.7109267522400201,4.342106331171473,0.48074239377212524,0.06782567744333964,True,True,0.5,300.0,12.0,59,60.25
all,development_2017_2022,production,1759.0,1.7671469372606974,2.469890110437563,-0.03865378371199028,0.847072200113701,0.513520550983835,0.03868245170308254,16.34497111274813,23.605271102348084,0.3617682684100309,0.8584422967595224,0.5099464685684192,0.04118260905254478,0.1625923820352473,0.1760426239644779,0.13574263339186549,0.5763676242291313,0.06310403638430927,0.0780815517783304,0.06007374353056635,0.6078402431557771,0.10233086981239341,0.109609139112497,0.08625680447978015,0.7304552811202589,0.08129619101762366,0.10049604791570492,0.06812479443307137,0.8005629889912068,0.6425426594831357,-0.08935686589971137,0.2756506152066779,59.460798833215826,0.050000000000000024,1.6739778740039362,2.474184878324601,0.21417320391369837,0.9033541785105174,0.20352472996020465,0.19384177393772875,0.1421195632098093,0.7109965347975707,4.343885720090423,0.4801906084603593,0.06786233361446103,True,False,0.0,300.0,12.0,55,58.25
all,development_2017_2022,replace_adp_rank_with_log_adp,1759.0,1.7675815849016623,2.469927265690176,-0.03849632930240032,0.8430926662876634,0.5136934432185282,0.03850338378740631,16.34664217149756,23.613982047723823,0.38279997199760996,0.8578737919272313,0.5100608473507608,0.04190984587048374,0.1625923820352473,0.17665004295962308,0.13589367085534607,0.5753113146188502,0.06310403638430927,0.07817545111743546,0.060054401790199524,0.6061947870200297,0.10233086981239341,0.10981041099801668,0.08639425622191922,0.7288227429456056,0.08129619101762366,0.10000886780952642,0.06800672932149623,0.7998424842484249,0.6417571942319873,-0.09174292812973553,0.2701504523700676,59.582509263627635,0.050000000000000024,1.6747881781693092,2.4775997252917183,0.21710731657174048,0.9044911881750994,0.20352472996020465,0.1933954146973005,0.14182883529069604,0.7138935078296029,4.331568064020141,0.4815371440083942,0.06697605664047022,False,True,0.5,300.0,12.0,55,58.25
all,recent_2020_2025,add_log_adp,1767.0,1.8248914995911156,2.5742384667819778,0.22292696296792963,0.8205998868138087,0.49027095993175784,0.02650803498691323,16.44411334507911,24.331481787918488,1.7373046787153723,0.8500282965478212,0.48935831448436684,0.0351744601142131,0.15619694397283532,0.1762333501455003,0.133169468465934,0.5685295346960993,0.05715902659875495,0.07590829629686888,0.05629178678856655,0.5797546741468865,0.09847198641765705,0.10929166789472708,0.08510906240989198,0.7100100295112959,0.1035653650254669,0.10169420412513107,0.07981948068560045,0.8178713363139593,0.6196019794306817,-0.11840368040756007,-0.22099564767071145,60.45398007216725,0.050000000000000024,1.7019191967295764,2.527724987287399,0.16981244246952723,0.8930390492359932,0.20939445387662706,0.20063279101567394,0.14194745076078571,0.7228269070788755,5.325231120758317,0.37821616091308863,0.13945957317493723,True,True,0.5,300.0,12.0,59,60.25
all,recent_2020_2025,production,1767.0,1.82458585984638,2.5742385014995337,0.22283148934937008,0.8217317487266553,0.4903981573182899,0.02774735425803221,16.44670581078443,24.335446830765484,1.7215954537330724,0.8488964346349746,0.48947271211182475,0.03415318593265593,0.15619694397283532,0.1762029707374818,0.13308788172072553,0.5680192264699307,0.05715902659875495,0.07574100765980313,0.05631057424456549,0.5789167152009319,0.09847198641765705,0.10917808144965735,0.08503667954056252,0.7108235744023782,0.1035653650254669,0.1016147576058254,0.07972860769816222,0.8192667798200585,0.6190928492535739,-0.11831290199994121,-0.2161303951331491,60.54638375191673,0.050000000000000024,1.7020398710400415,2.5283089726476295,0.17283391929012915,0.8930390492359932,0.20939445387662706,0.20036148083071695,0.1418588828535976,0.7238638781945869,5.32894048649064,0.37752330622673125,0.13964605376355618,True,False,0.0,300.0,12.0,55,58.25
all,recent_2020_2025,replace_adp_rank_with_log_adp,1767.0,1.8252606814381327,2.574260616941928,0.22281808684649307,0.8189020939445387,0.49062739513682435,0.025575913595903166,16.448488325305792,24.337713562579765,1.7362548557886122,0.8500282965478212,0.4896702720097059,0.033740440003752536,0.15619694397283532,0.17631053626311763,0.13325245761490462,0.5671735728379942,0.05715902659875495,0.0756973398242539,0.0563123800008716,0.5776894916382395,0.09847198641765705,0.10932709639095636,0.0851292131461851,0.7092163271785326,0.1035653650254669,0.10153140231220975,0.0796699715030408,0.8191822597560302,0.6194665946249882,-0.11529698429240348,-0.22250565641242018,60.7358679769549,0.050000000000000024,1.7034611944656246,2.530849359580951,0.17408767943493667,0.8930390492359932,0.20939445387662706,0.20013389857382907,0.14203546665188732,0.7226431155565014,5.320239838134358,0.37799677623096967,0.13859541761568744,False,True,0.5,300.0,12.0,55,58.25
all,temporal_2023_2025,add_log_adp,888.0,1.9181131588216949,2.727368645354767,0.37511779482539365,0.793918918918919,0.474890476717929,0.04813112136947706,16.683936932341933,25.018093842473736,1.6826562781008483,0.8412162162162162,0.4824680103900897,0.04895783360597061,0.16328828828828829,0.1763709693312592,0.13915825548878358,0.5601800714716666,0.06306306306306306,0.07630903122963101,0.061540343648285034,0.5787474244505495,0.10135135135135136,0.1069864006824707,0.08925763008745738,0.6807574491785018,0.12387387387387387,0.10853307411930524,0.09299937818451509,0.8083313858378126,0.6087986378944508,-0.1146808014822822,-0.45620031640124536,61.08256387174651,0.050000000000000024,1.7075657689497843,2.587910656356556,0.011273984586609772,0.8896396396396397,0.20382882882882883,0.2067264741510305,0.13963507025760222,0.7132620128626912,5.862109793120715,0.3397877401550409,0.17867082694941389,True,True,0.5,300.0,12.0,59,60.25
