scope,method,severity,probability_bin,n,predicted_rate,observed_rate
all,flatter_w025_all,q90,1,265,0.0,0.0037735849056603774
all,flatter_w025_all,q90,2,265,0.001143680191928145,0.0037735849056603774
all,flatter_w025_all,q90,3,264,0.00974751018359344,0.007575757575757576
all,flatter_w025_all,q90,4,265,0.016522103274133088,0.022641509433962263
all,flatter_w025_all,q90,5,265,0.025794767387990723,0.018867924528301886
all,flatter_w025_all,q90,6,264,0.03663380135041104,0.03409090909090909
all,flatter_w025_all,q90,7,265,0.0488104188637575,0.04150943396226415
all,flatter_w025_all,q90,8,264,0.06410114625861256,0.05303030303030303
all,flatter_w025_all,q90,9,265,0.08570440259599175,0.06415094339622641
all,flatter_w025_all,q90,10,265,0.13505882890026688,0.10566037735849057
all,flatter_w025_all,q95,1,265,0.0,0.007547169811320755
all,flatter_w025_all,q95,2,265,0.0,0.0
all,flatter_w025_all,q95,3,264,0.0,0.003787878787878788
all,flatter_w025_all,q95,4,265,0.001880226239327022,0.0037735849056603774
all,flatter_w025_all,q95,5,265,0.009778145073771626,0.0037735849056603774
all,flatter_w025_all,q95,6,264,0.015208269349205971,0.003787878787878788
all,flatter_w025_all,q95,7,265,0.02525668361050856,0.026415094339622643
all,flatter_w025_all,q95,8,264,0.03981364806082132,0.041666666666666664
all,flatter_w025_all,q95,9,265,0.06007548024382461,0.052830188679245285
all,flatter_w025_all,q95,10,265,0.11648131164010778,0.1169811320754717
all,production,q90,1,265,0.0,0.0037735849056603774
all,production,q90,2,265,0.0009295562032772415,0.007547169811320755
all,production,q90,3,264,0.008456791842707157,0.003787878787878788
all,production,q90,4,265,0.015338169074085743,0.018867924528301886
all,production,q90,5,265,0.0242886987897541,0.026415094339622643
all,production,q90,6,264,0.03542664163778072,0.041666666666666664
all,production,q90,7,265,0.04784883779584755,0.033962264150943396
all,production,q90,8,264,0.06328722181261442,0.04924242424242424
all,production,q90,9,265,0.08540621558356565,0.06415094339622641
all,production,q90,10,265,0.13750034526618576,0.10566037735849057
all,production,q95,1,265,0.0,0.007547169811320755
all,production,q95,2,265,0.0,0.0
all,production,q95,3,264,0.0,0.003787878787878788
all,production,q95,4,265,0.0011995233081701514,0.007547169811320755
all,production,q95,5,265,0.008216291041230898,0.0
all,production,q95,6,264,0.014095342800702107,0.011363636363636364
all,production,q95,7,265,0.023643577141946436,0.026415094339622643
all,production,q95,8,264,0.03793805250174255,0.045454545454545456
all,production,q95,9,265,0.06082617210648389,0.045283018867924525
all,production,q95,10,265,0.11767438891385686,0.11320754716981132
all,te_ypr050,q90,1,265,0.0,0.0037735849056603774
all,te_ypr050,q90,2,265,0.0009403834265403708,0.007547169811320755
all,te_ypr050,q90,3,264,0.008459446573124321,0.003787878787878788
all,te_ypr050,q90,4,265,0.015452659208480565,0.018867924528301886
all,te_ypr050,q90,5,265,0.02437369225612743,0.026415094339622643
all,te_ypr050,q90,6,264,0.03547530331068093,0.045454545454545456
all,te_ypr050,q90,7,265,0.04746851518363346,0.026415094339622643
all,te_ypr050,q90,8,264,0.06273395806457294,0.04924242424242424
all,te_ypr050,q90,9,265,0.08526857917225919,0.06415094339622641
all,te_ypr050,q90,10,265,0.13749725290588033,0.10943396226415095
all,te_ypr050,q95,1,265,0.0,0.007547169811320755
all,te_ypr050,q95,2,265,0.0,0.0
all,te_ypr050,q95,3,264,0.0,0.003787878787878788
all,te_ypr050,q95,4,265,0.0011716296537842082,0.007547169811320755
all,te_ypr050,q95,5,265,0.008223588856007864,0.0
all,te_ypr050,q95,6,264,0.014100988438319868,0.007575757575757576
all,te_ypr050,q95,7,265,0.02345211091463369,0.03018867924528302
all,te_ypr050,q95,8,264,0.037826675150974674,0.045454545454545456
