season,pos,threshold_history_start,threshold_history_end,threshold_n,league_winner_contribution_q90,league_winner_contribution_q95
2017,QB,2012,2016,203,104.05600000000003,120.67599999999999
2017,RB,2012,2016,433,112.14000000000003,157.23999999999995
2017,WR,2012,2016,600,111.13000000000005,142.81
2017,TE,2012,2016,227,95.10000000000002,115.94
2018,QB,2013,2017,200,101.1,117.86199999999982
2018,RB,2013,2017,437,111.62000000000006,156.82
2018,WR,2013,2017,600,106.83000000000001,141.52
2018,TE,2013,2017,230,90.26000000000002,115.595
2019,QB,2014,2018,198,102.70800000000001,125.93899999999996
2019,RB,2014,2018,441,116.7,160.60000000000002
2019,WR,2014,2018,600,107.15000000000003,134.57499999999985
2019,TE,2014,2018,231,86.39999999999999,119.65
2020,QB,2015,2019,196,103.35,124.38000000000001
2020,RB,2015,2019,443,118.7,162.12999999999997
2020,WR,2015,2019,599,104.46000000000002,126.43000000000004
2020,TE,2015,2019,232,86.38,114.77000000000001
2021,QB,2016,2020,191,111.96000000000001,133.22000000000003
2021,RB,2016,2020,443,124.70000000000002,170.9599999999998
2021,WR,2016,2020,597,103.37999999999998,127.35999999999999
2021,TE,2016,2020,231,84.80000000000001,111.80000000000001
2022,QB,2017,2021,191,121.36,135.86
2022,RB,2017,2021,441,124.30000000000001,162.3
2022,WR,2017,2021,597,104.03999999999999,127.35999999999999
2022,TE,2017,2021,232,84.78000000000002,115.72499999999992
2023,QB,2018,2022,194,124.03000000000002,154.701
2023,RB,2018,2022,439,121.14,162.99999999999977
2023,WR,2018,2022,597,106.1,130.04
2023,TE,2018,2022,234,83.88000000000004,111.24
2024,QB,2019,2023,196,122.00999999999999,149.61
2024,RB,2019,2023,438,116.88000000000002,145.20999999999998
2024,WR,2019,2023,597,105.05999999999999,129.27999999999994
2024,TE,2019,2023,235,83.66,106.37999999999995
2025,QB,2020,2024,200,122.78999999999999,154.683
2025,RB,2020,2024,435,121.22000000000001,149.37999999999997
2025,WR,2020,2024,598,102.26000000000002,130.03
2025,TE,2020,2024,237,79.62000000000002,100.09999999999997
