player,SelectionCounts,MeanSalary,PercSalary,ContributionWhenSelected,ContributionP10,ExpectedRosterGain
Rj Harvey,64.0,15.341943504004968,17.411205337482727,13.430248260498047,-38.44163818359375,8.59535888671875
Travis Kelce,38.0,3.6747165028921636,4.695450513333322,17.113062808388158,-15.04208984375,6.5029638671875
George Kittle,32.0,4.176417103721965,4.9011241864440205,16.842506408691406,-9.484130859375,5.38960205078125
Ladd Mcconkey,46.0,30.289030060169097,32.1815509029507,11.382515285326088,-36.2409912109375,5.23595703125
Tyler Warren,32.0,20.014500787126014,21.14873501997337,15.518684387207031,-4.95404052734375,4.96597900390625
Jalen Hurts,32.0,11.359678722340913,12.179204124801695,15.383499145507812,-58.14996337890625,4.9227197265625
Bucky Irving,32.0,42.59588721276967,43.86830015313936,13.653793334960938,-11.6058349609375,4.3692138671875
Derrick Henry,18.0,72.12121232748851,73.07534232470263,24.231431749131943,-7.99013671875,4.36165771484375
Jayden Reed,28.000000000000004,3.70962395809644,4.22253232514017,15.199794224330358,-19.747021484375,4.2559423828125
Rico Dowdle,42.0,14.58736187078016,16.77155794723717,7.767386300223214,-42.6767578125,3.26230224609375
Jonathon Brooks,26.0,7.248286369806075,8.09122403223314,11.894812950721153,-26.6777099609375,3.0926513671875
Justin Jefferson,8.0,67.94283732841048,69.27703518434798,37.787200927734375,12.955346679687501,3.02297607421875
Carnell Tate,10.0,19.67475860952343,21.068305240277834,29.10185546875,-7.931835937499997,2.910185546875
Kc Concepcion,26.0,4.259148821608689,4.930851305006794,11.053335336538462,-7.8328613281249995,2.8738671875
Quentin Johnston,26.0,3.896544754833589,4.057391714658528,9.881685697115385,-8.2647216796875,2.56923828125
Brian Thomas,46.0,15.026077179191542,16.06485329616335,4.792639690896739,-35.3566650390625,2.2046142578125
George Pickens,12.0,44.56810109891371,45.52952066115702,17.074178059895832,-16.04046630859375,2.0489013671875
Josh Jacobs,18.0,60.32372066857132,63.58524380216954,10.486531575520834,-30.47412109375,1.88757568359375
Christian Mccaffrey,2.0,97.51167854315122,97.51167854315122,89.4161376953125,89.4161376953125,1.78832275390625
Harold Fannin,18.0,10.380980473935853,11.059778208306431,9.491929796006945,-22.198974609375,1.70854736328125
Colston Loveland,8.0,27.43901349699066,28.36211111388763,20.2054443359375,0.8125488281250011,1.616435546875
Jared Goff,8.0,1.8340641577087182,2.3752631138242593,19.854736328125,-0.6820800781249998,1.58837890625
Jordan Addison,20.0,5.054519960230843,5.598723645577816,7.17333984375,-12.89439697265625,1.43466796875
Rome Odunze,18.0,20.75450789963631,21.900725628967205,7.105685763888889,-22.357470703125,1.2790234375
Rhamondre Stevenson,20.0,16.205942488782387,17.825802240835422,6.33388671875,-24.57652587890625,1.26677734375
Josh Allen,14.000000000000002,34.23854997039325,35.61314235590694,8.226981026785714,-68.520703125,1.15177734375
Xavier Worthy,14.000000000000002,3.1923464101269707,3.550688438660918,7.587158203125,-8.1482177734375,1.0622021484375
Rashee Rice,4.0,55.539958185380655,58.26452786266774,25.14263916015625,3.27550048828125,1.00570556640625
Tucker Kraft,6.0,6.834155003335039,7.498453009603197,16.7432861328125,-29.2826171875,1.00459716796875
Ashton Jeanty,12.0,81.7460876532905,85.15059920106525,7.516072591145833,-19.4742431640625,0.9019287109375
