         4151414 function calls (4122499 primitive calls) in 3.940 seconds

   Ordered by: cumulative time
   List reduced from 1083 to 120 due to restriction <120>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    3.940    3.940 profile_target.py:124(run_serial)
        1    0.009    0.009    3.922    3.922 zSim_Helper.py:3090(run_sim)
       25    0.029    0.001    3.080    0.123 zSim_Helper.py:1578(managed_roster_buy_pass_contributions)
      937    0.122    0.000    1.477    0.002 zSim_Helper.py:1218(managed_marginal_values)
      937    0.506    0.001    0.987    0.001 zSim_Helper.py:1121(managed_base_lineup_state)
      650    0.030    0.000    0.831    0.001 zSim_Helper.py:1699(solve_branch)
      675    0.002    0.000    0.760    0.001 zSim_Helper.py:2085(solve_ilp)
      675    0.758    0.001    0.758    0.001 {built-in method cvxopt.glpk.ilp}
     5376    0.013    0.000    0.317    0.000 frame.py:4073(__getitem__)
      444    0.001    0.000    0.312    0.001 generic.py:6684(copy)
      452    0.002    0.000    0.307    0.001 managers.py:576(copy)
     3928    0.012    0.000    0.305    0.000 _function_base_impl.py:4087(percentile)
        1    0.000    0.000    0.299    0.299 zSim_Helper.py:1336(sample_managed_value_matrix)
       25    0.002    0.000    0.298    0.012 zSim_Helper.py:1296(sample_managed_values)
     3928    0.004    0.000    0.277    0.000 _function_base_impl.py:4560(_quantile_unchecked)
     3928    0.009    0.000    0.273    0.000 _function_base_impl.py:3857(_ureduce)
       50    0.039    0.001    0.271    0.005 zSim_Helper.py:524(sample_template_weekly_scores)
     3928    0.005    0.000    0.251    0.000 _function_base_impl.py:4715(_quantile_ureduce_func)
     3928    0.039    0.000    0.244    0.000 _function_base_impl.py:4788(_quantile)
      650    0.010    0.000    0.227    0.000 zSim_Helper.py:1627(score_roster)
      650    0.034    0.000    0.209    0.000 zSim_Helper.py:834(managed_lineup_multi_context_scores)
      583    0.019    0.000    0.204    0.000 managers.py:1801(_consolidate_inplace)
    17329    0.015    0.000    0.195    0.000 _arraysetops_impl.py:1060(isin)
       25    0.005    0.000    0.193    0.008 zSim_Helper.py:675(sample_managed_holdout_contexts)
      379    0.002    0.000    0.179    0.000 managers.py:2278(_consolidate)
   171847    0.058    0.000    0.179    0.000 fromnumeric.py:51(_wrapfunc)
    17329    0.132    0.000    0.173    0.000 _arraysetops_impl.py:908(_in1d)
       75    0.000    0.000    0.170    0.002 zSim_Helper.py:512(load_weekly_template_profiles)
        1    0.004    0.004    0.170    0.170 zSim_Helper.py:378(read_weekly_template_profile_cache)
      783    0.089    0.000    0.168    0.000 managers.py:2295(_merge_blocks)
     9361    0.010    0.000    0.133    0.000 generic.py:6306(__getattr__)
     3250    0.035    0.000    0.127    0.000 zSim_Helper.py:900(select_top)
       25    0.002    0.000    0.127    0.005 zSim_Helper.py:1736(summarize_managed_roster_iteration)
    80590    0.027    0.000    0.123    0.000 fromnumeric.py:1129(argsort)
      350    0.003    0.000    0.113    0.000 zSim_Helper.py:355(normalize_salary_market)
      676    0.004    0.000    0.112    0.000 indexing.py:883(__setitem__)
      950    0.002    0.000    0.111    0.000 generic.py:4164(_take_with_is_copy)
     1108    0.004    0.000    0.110    0.000 managers.py:317(apply)
        6    0.001    0.000    0.106    0.018 sql.py:436(read_sql_query)
      951    0.003    0.000    0.105    0.000 generic.py:4049(take)
        6    0.000    0.000    0.105    0.018 sql.py:2717(read_query)
     3981    0.091    0.000    0.102    0.000 shape_base.py:220(vstack)
      975    0.002    0.000    0.097    0.000 managers.py:888(take)
     8518    0.096    0.000    0.096    0.000 {method 'copy' of 'numpy.ndarray' objects}
     1458    0.002    0.000    0.093    0.000 blocks.py:816(copy)
      414    0.002    0.000    0.093    0.000 base.py:6198(_get_indexer_strict)
    74960    0.031    0.000    0.090    0.000 fromnumeric.py:1348(argmin)
       25    0.048    0.002    0.085    0.003 zSim_Helper.py:572(sample_seeded_template_weekly_contexts)
    62181    0.083    0.000    0.083    0.000 {method 'reduce' of 'numpy.ufunc' objects}
       25    0.002    0.000    0.079    0.003 zSim_Helper.py:2093(tally_player_selections)
     4657    0.007    0.000    0.078    0.000 frame.py:4637(_get_item_cache)
1840/1838    0.011    0.000    0.077    0.000 series.py:392(__init__)
      978    0.003    0.000    0.076    0.000 managers.py:642(reindex_indexer)
      676    0.004    0.000    0.071    0.000 indexing.py:1786(_setitem_with_indexer)
     3451    0.005    0.000    0.066    0.000 frame.py:3994(_ixs)
331385/329734    0.041    0.000    0.065    0.000 {built-in method builtins.isinstance}
      676    0.003    0.000    0.063    0.000 indexing.py:1947(_setitem_with_indexer_split_path)
      834    0.003    0.000    0.062    0.000 base.py:3827(get_indexer)
      801    0.001    0.000    0.060    0.000 common.py:62(new_method)
    80627    0.059    0.000    0.059    0.000 {method 'argsort' of 'numpy.ndarray' objects}
        6    0.000    0.000    0.057    0.010 sql.py:2658(execute)
        6    0.057    0.010    0.057    0.010 {method 'execute' of 'sqlite3.Cursor' objects}
     2856    0.003    0.000    0.056    0.000 take.py:59(take_nd)
     1976    0.003    0.000    0.055    0.000 blocks.py:1353(take_nd)
      754    0.001    0.000    0.055    0.000 arraylike.py:38(__eq__)
      754    0.002    0.000    0.055    0.000 series.py:6129(_cmp_method)
     7252    0.027    0.000    0.055    0.000 _methods.py:117(_mean)
      681    0.003    0.000    0.054    0.000 indexing.py:2112(_setitem_single_column)
     2856    0.044    0.000    0.053    0.000 take.py:120(_take_nd_ndarray)
      459    0.001    0.000    0.052    0.000 frame.py:4141(_getitem_bool_array)
     3928    0.022    0.000    0.052    0.000 _function_base_impl.py:4753(_get_indexes)
      675    0.002    0.000    0.051    0.000 zSim_Helper.py:2029(create_G_salaries)
      443    0.005    0.000    0.051    0.000 managers.py:727(_slice_take_blocks_ax0)
     6423    0.003    0.000    0.050    0.000 {method 'mean' of 'numpy.ndarray' objects}
    21820    0.008    0.000    0.048    0.000 {method 'sum' of 'numpy.ndarray' objects}
      430    0.002    0.000    0.046    0.000 series.py:5505(isin)
80043/78504    0.029    0.000    0.045    0.000 {built-in method numpy.asarray}
     7154    0.020    0.000    0.044    0.000 _shape_base_impl.py:34(_make_along_axis_idx)
      125    0.000    0.000    0.043    0.000 generic.py:12478(mean)
      125    0.001    0.000    0.043    0.000 generic.py:12427(_stat_function)
      100    0.000    0.000    0.043    0.000 frame.py:11712(mean)
      962    0.014    0.000    0.043    0.000 zSim_Helper.py:728(_add_waiver_players)
     3904    0.015    0.000    0.042    0.000 _shape_base_impl.py:61(take_along_axis)
      101    0.001    0.000    0.042    0.000 frame.py:11462(_reduce)
      418    0.001    0.000    0.042    0.000 base.py:6174(get_indexer_for)
    21820    0.006    0.000    0.040    0.000 _methods.py:49(_sum)
     1323    0.007    0.000    0.040    0.000 base.py:475(__new__)
363651/337966    0.033    0.000    0.038    0.000 {built-in method builtins.len}
      801    0.002    0.000    0.037    0.000 series.py:6222(_construct_result)
     3763    0.012    0.000    0.036    0.000 construction.py:517(sanitize_array)
      415    0.001    0.000    0.036    0.000 base.py:4330(reindex)
     3346    0.004    0.000    0.034    0.000 frame.py:4619(_box_col_values)
  984/980    0.002    0.000    0.032    0.000 indexing.py:1177(__getitem__)
        6    0.001    0.000    0.032    0.005 sql.py:2757(_fetchall_as_list)
    20119    0.014    0.000    0.031    0.000 numerictypes.py:475(issubdtype)
       25    0.011    0.000    0.031    0.001 zSim_Helper.py:751(managed_lineup_weekly_scores)
     4278    0.005    0.000    0.031    0.000 _arraysetops_impl.py:145(unique)
     6632    0.006    0.000    0.031    0.000 base.py:5449(_can_hold_identifiers_and_holds_name)
      676    0.003    0.000    0.030    0.000 indexing.py:745(_get_setitem_indexer)
    22724    0.022    0.000    0.030    0.000 numeric.py:324(full)
        6    0.030    0.005    0.030    0.005 {method 'fetchall' of 'sqlite3.Cursor' objects}
     3779    0.010    0.000    0.029    0.000 numeric.py:1482(moveaxis)
     3250    0.011    0.000    0.029    0.000 _shape_base_impl.py:189(put_along_axis)
      433    0.001    0.000    0.028    0.000 generic.py:6454(dtypes)
    74960    0.028    0.000    0.028    0.000 {method 'argmin' of 'numpy.ndarray' objects}
      839    0.001    0.000    0.027    0.000 indexing.py:2668(check_bool_indexer)
    11310    0.017    0.000    0.027    0.000 numeric.py:1420(normalize_axis_tuple)
     5240    0.002    0.000    0.027    0.000 base.py:7659(ensure_index)
     3928    0.026    0.000    0.026    0.000 _function_base_impl.py:4657(_lerp)
249455/249454    0.025    0.000    0.026    0.000 {built-in method builtins.getattr}
     4278    0.010    0.000    0.025    0.000 _arraysetops_impl.py:348(_unique1d)
      681    0.002    0.000    0.025    0.000 managers.py:1317(column_setitem)
    17789    0.014    0.000    0.023    0.000 generic.py:6323(__setattr__)
     3928    0.023    0.000    0.023    0.000 {method 'partition' of 'numpy.ndarray' objects}
      430    0.010    0.000    0.023    0.000 algorithms.py:457(isin)
     8036    0.005    0.000    0.023    0.000 fromnumeric.py:2477(any)
      150    0.006    0.000    0.023    0.000 zSim_Helper.py:645(build_managed_decision_scores)
      676    0.001    0.000    0.023    0.000 indexing.py:986(_convert_tuple)
    46384    0.009    0.000    0.022    0.000 generic.py:42(_instancecheck)
     7023    0.015    0.000    0.021    0.000 generic.py:6258(__finalize__)


