         2405070 function calls (2384129 primitive calls) in 2.662 seconds

   Ordered by: cumulative time
   List reduced from 1227 to 120 due to restriction <120>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3928    0.025    0.000    0.025    0.000 _function_base_impl.py:4657(_lerp)
     1501    0.002    0.000    0.025    0.000 frame.py:3994(_ixs)
31054/29840    0.015    0.000    0.025    0.000 {built-in method numpy.asarray}
     4278    0.010    0.000    0.024    0.000 _arraysetops_impl.py:348(_unique1d)
     3928    0.024    0.000    0.024    0.000 {method 'partition' of 'numpy.ndarray' objects}
     6345    0.007    0.000    0.024    0.000 numeric.py:680(flatnonzero)
      150    0.006    0.000    0.023    0.000 zSim_Helper.py:645(build_managed_decision_scores)
  334/330    0.001    0.000    0.023    0.000 indexing.py:1177(__getitem__)
     8036    0.005    0.000    0.023    0.000 fromnumeric.py:2477(any)
    59856    0.014    0.000    0.022    0.000 numerictypes.py:293(issubclass_)
      476    0.001    0.000    0.021    0.000 series.py:6222(_construct_result)
      136    0.001    0.000    0.021    0.000 frame.py:698(__init__)
      101    0.000    0.000    0.021    0.000 managers.py:1502(reduce)
    12452    0.003    0.000    0.020    0.000 fromnumeric.py:1446(searchsorted)
151750/133214    0.016    0.000    0.020    0.000 {built-in method builtins.len}
    11973    0.008    0.000    0.020    0.000 {method 'any' of 'numpy.generic' objects}
     8387    0.019    0.000    0.019    0.000 {method 'argsort' of 'numpy.ndarray' objects}
     8036    0.009    0.000    0.018    0.000 fromnumeric.py:89(_wrapreduction_any_all)
       32    0.000    0.000    0.017    0.001 construction.py:423(dict_to_mgr)
        6    0.000    0.000    0.017    0.003 sql.py:196(_wrap_result)
    14423    0.004    0.000    0.016    0.000 _methods.py:57(_any)
        1    0.000    0.000    0.016    0.016 zSim_Helper.py:2208(final_results)
      514    0.001    0.000    0.016    0.000 indexing.py:2668(check_bool_indexer)
      102    0.000    0.000    0.016    0.000 frame.py:3962(T)
        2    0.001    0.000    0.016    0.008 zSim_Helper.py:263(sample_distribution)
      102    0.003    0.000    0.016    0.000 frame.py:3778(transpose)
      176    0.000    0.000    0.015    0.000 nanops.py:389(new_func)
      101    0.000    0.000    0.015    0.000 blocks.py:400(reduce)
      834    0.000    0.000    0.015    0.000 base.py:6725(_maybe_cast_listlike_indexer)
     3928    0.003    0.000    0.015    0.000 _function_base_impl.py:4580(_quantile_is_valid)
      458    0.001    0.000    0.015    0.000 managers.py:317(apply)
      601    0.001    0.000    0.015    0.000 base.py:1052(astype)
      125    0.000    0.000    0.015    0.000 nanops.py:111(f)
      101    0.000    0.000    0.015    0.000 frame.py:11485(blk_func)
      125    0.001    0.000    0.014    0.000 nanops.py:671(nanmean)
     9731    0.014    0.000    0.014    0.000 {method 'astype' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.014    0.014 profile_target.py:46(create_sim)
     3407    0.003    0.000    0.014    0.000 base.py:5449(_can_hold_identifiers_and_holds_name)
        2    0.008    0.004    0.014    0.007 zSim_Helper.py:235(residual_quantile_vectorized)


