requested_workers,started_workers,elapsed_seconds,task_delay_seconds,startup_and_shutdown_seconds
2,2,0.9942348000004131,0.1,0.8942348000004131
4,4,1.6571390999997675,0.1,1.5571390999997674
8,8,3.038021700001991,0.1,2.938021700001991
10,10,4.64091499999995,0.1,4.54091499999995
16,16,9.513355799997953,0.1,9.413355799997953
