         1935216 function calls (1914426 primitive calls) in 2.185 seconds

   Ordered by: cumulative time
   List reduced from 1091 to 120 due to restriction <120>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    2.185    2.185 profile_target.py:124(run_serial)
        1    0.007    0.007    2.167    2.167 zSim_Helper.py:3348(run_sim)
       25    0.008    0.000    1.347    0.054 zSim_Helper.py:1800(managed_roster_buy_pass_contributions)
      650    0.026    0.000    0.758    0.001 zSim_Helper.py:1969(solve_branch)
      675    0.002    0.000    0.743    0.001 zSim_Helper.py:2354(solve_ilp)
      675    0.741    0.001    0.741    0.001 {built-in method cvxopt.glpk.ilp}
      137    0.033    0.000    0.467    0.003 zSim_Helper.py:1388(managed_marginal_values_batch)
      137    0.007    0.000    0.389    0.003 zSim_Helper.py:1319(_managed_base_lineup_states)
      937    0.060    0.000    0.369    0.000 zSim_Helper.py:1121(managed_base_lineup_state)
        1    0.000    0.000    0.285    0.285 zSim_Helper.py:1558(sample_managed_value_matrix)
       25    0.001    0.000    0.284    0.011 zSim_Helper.py:1518(sample_managed_values)
       50    0.039    0.001    0.276    0.006 zSim_Helper.py:524(sample_template_weekly_scores)
     2801    0.007    0.000    0.251    0.000 frame.py:4073(__getitem__)
     4685    0.083    0.000    0.212    0.000 zSim_Helper.py:1170(select_top)
       25    0.004    0.000    0.192    0.008 zSim_Helper.py:675(sample_managed_holdout_contexts)
       75    0.000    0.000    0.176    0.002 zSim_Helper.py:512(load_weekly_template_profiles)
        1    0.004    0.004    0.175    0.175 zSim_Helper.py:378(read_weekly_template_profile_cache)
       25    0.002    0.000    0.125    0.005 zSim_Helper.py:2005(summarize_managed_roster_iteration)
      650    0.007    0.000    0.117    0.000 zSim_Helper.py:1853(score_roster)
        6    0.001    0.000    0.108    0.018 sql.py:436(read_sql_query)
      950    0.002    0.000    0.108    0.000 generic.py:4164(_take_with_is_copy)
        6    0.000    0.000    0.107    0.018 sql.py:2717(read_query)
      322    0.017    0.000    0.106    0.000 zSim_Helper.py:834(managed_lineup_multi_context_scores)
      951    0.003    0.000    0.102    0.000 generic.py:4049(take)
      414    0.002    0.000    0.094    0.000 base.py:6198(_get_indexer_strict)
      975    0.002    0.000    0.094    0.000 managers.py:888(take)
       25    0.046    0.002    0.083    0.003 zSim_Helper.py:572(sample_seeded_template_weekly_contexts)
    17601    0.038    0.000    0.082    0.000 _shape_base_impl.py:34(_make_along_axis_idx)
    11306    0.022    0.000    0.079    0.000 _shape_base_impl.py:61(take_along_axis)
       25    0.002    0.000    0.076    0.003 zSim_Helper.py:2362(tally_player_selections)
      978    0.003    0.000    0.072    0.000 managers.py:642(reindex_indexer)
     1610    0.018    0.000    0.064    0.000 zSim_Helper.py:900(select_top)
      834    0.003    0.000    0.064    0.000 base.py:3827(get_indexer)
        6    0.000    0.000    0.058    0.010 sql.py:2658(execute)
        6    0.058    0.010    0.058    0.010 {method 'execute' of 'sqlite3.Cursor' objects}
    33887    0.012    0.000    0.057    0.000 fromnumeric.py:51(_wrapfunc)
    34565    0.055    0.000    0.055    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     2856    0.003    0.000    0.053    0.000 take.py:59(take_nd)
     1976    0.003    0.000    0.052    0.000 blocks.py:1353(take_nd)
      459    0.001    0.000    0.051    0.000 frame.py:4141(_getitem_bool_array)
     2856    0.041    0.000    0.050    0.000 take.py:120(_take_nd_ndarray)
      443    0.005    0.000    0.048    0.000 managers.py:727(_slice_take_blocks_ax0)
     4511    0.004    0.000    0.045    0.000 generic.py:6306(__getattr__)
      125    0.000    0.000    0.044    0.000 generic.py:12478(mean)
      100    0.000    0.000    0.044    0.000 frame.py:11712(mean)
      125    0.001    0.000    0.044    0.000 generic.py:12427(_stat_function)
      418    0.001    0.000    0.043    0.000 base.py:6174(get_indexer_for)
      101    0.001    0.000    0.043    0.000 frame.py:11462(_reduce)
    22324    0.006    0.000    0.042    0.000 {method 'sum' of 'numpy.ndarray' objects}
     6295    0.013    0.000    0.041    0.000 _shape_base_impl.py:189(put_along_axis)
     1323    0.007    0.000    0.041    0.000 base.py:475(__new__)
202468/201467    0.024    0.000    0.039    0.000 {built-in method builtins.isinstance}
      962    0.013    0.000    0.037    0.000 zSim_Helper.py:728(_add_waiver_players)
      415    0.001    0.000    0.036    0.000 base.py:4330(reindex)
    22324    0.004    0.000    0.036    0.000 _methods.py:49(_sum)
    29470    0.025    0.000    0.035    0.000 numeric.py:324(full)
     2621    0.003    0.000    0.033    0.000 _arraysetops_impl.py:1060(isin)
  865/863    0.005    0.000    0.033    0.000 series.py:392(__init__)
        6    0.002    0.000    0.032    0.005 sql.py:2757(_fetchall_as_list)
      476    0.000    0.000    0.032    0.000 common.py:62(new_method)
       25    0.011    0.000    0.030    0.001 zSim_Helper.py:751(managed_lineup_weekly_scores)
        6    0.030    0.005    0.030    0.005 {method 'fetchall' of 'sqlite3.Cursor' objects}
     2621    0.022    0.000    0.029    0.000 _arraysetops_impl.py:908(_in1d)
     3724    0.013    0.000    0.029    0.000 _methods.py:117(_mean)
     2788    0.008    0.000    0.028    0.000 construction.py:517(sanitize_array)
      429    0.000    0.000    0.028    0.000 arraylike.py:38(__eq__)
      429    0.001    0.000    0.028    0.000 series.py:6129(_cmp_method)
     2082    0.003    0.000    0.027    0.000 frame.py:4637(_get_item_cache)
     7830    0.008    0.000    0.027    0.000 numeric.py:680(flatnonzero)
