phase,component,calls,total_seconds,mean_ms,p50_ms,p90_ms
context_bank,context_bank_total,1,0.3204267000000982,320.4267000000982,320.4267000000982,320.4267000000982
context_bank,decision_scores,50,0.005986900021525798,0.11973800043051597,0.11795000136771705,0.12562000156322028
context_bank,managed_base_lineup_state,50,0.032563399992795894,0.6512679998559179,0.6471999986388255,0.6669699996564304
context_bank,managed_marginal_values,50,0.051520299984986195,1.030405999699724,1.0240499996143626,1.05278999908478
context_bank,sample_weekly_template,50,0.21322239998335135,4.264447999667027,1.5802500001882436,1.7573600001924206
contribution,contribution_total,50,4.616807799968228,92.33615599936456,94.57875000043714,109.9319299999479
contribution,cvxopt_matrix_conversion,3900,0.04201719990305719,0.010773641000783896,0.0017000020307023078,0.029999999242136255
contribution,dataframe_copy,650,0.5118742000340717,0.7874987692831873,0.7801000010658754,0.8356199999980163
contribution,glpk_buy,650,0.6869358000258217,1.0568243077320332,0.8857999982865294,1.7867600003228292
contribution,glpk_pass,650,0.8091296999773476,1.2448149230420733,1.0755000002973247,2.1796899985929485
contribution,managed_base_lineup_state,1938,1.2258499000017764,0.6325334881330116,0.6295000021054875,0.6479299994680332
contribution,managed_marginal_values,1938,1.8608571000368102,0.9601945820623375,0.9414500000275439,1.0179999990214128
contribution,multi_context_roster_score,1300,0.2737144999555312,0.21054961535040861,0.22109999918029644,0.24240999809990174
contribution,salary_constraint_row,1300,0.04853069996170234,0.03733130766284796,0.03929999911633786,0.05799999817099888
contribution,salary_normalization,650,0.11073140002554283,0.17035600003929666,0.1650000012887176,0.19141999873681925
holdout,decision_scores,250,0.02484549997097929,0.09938199988391716,0.09429999772692099,0.11710999679053202
holdout,holdout_total,50,0.31760239999493933,6.352047999898787,6.332400000246707,6.546080000407528
holdout,sample_seeded_weekly_templates,50,0.1484807999950135,2.9696159999002703,2.9560000002675224,3.0673400000523543
holdout,sample_weekly_template,50,0.08858139999210835,1.771627999842167,1.7673000002105255,1.87615999893751
outer,build_static_matrices,1,0.005546399999730056,5.546399999730056,5.546399999730056,5.546399999730056
outer,cvxopt_matrix_conversion,202,0.001778699988790322,0.008805445489061,0.0011499996617203578,0.03299999989394564
outer,dataframe_copy,212,0.019267999992734985,0.09088679241856125,0.01905000135593582,0.26167999931203667
outer,final_results,1,0.008829299997159978,8.829299997159978,8.829299997159978,8.829299997159978
outer,glpk_outer,50,0.05921810000654659,1.1843620001309318,1.0140499998669839,2.173100001527928
outer,managed_iteration_summary,50,0.12774700001318706,2.5549400002637412,2.517399998396286,2.6487900027859723
outer,salary_constraint_row,50,0.0012876000000687782,0.025752000001375563,0.02510000194888562,0.026550001348368824
outer,salary_normalization,50,0.0062745000068389345,0.1254900001367787,0.12245000107213855,0.13582000065071043
outer,sample_projection_matrix,1,0.008498200000758516,8.498200000758516,8.498200000758516,8.498200000758516
outer,sample_salary_matrix,1,0.008792600001470419,8.792600001470419,8.792600001470419,8.792600001470419
outer,tally_selections,50,0.06310779998239013,1.2621559996478027,1.2495999999373453,1.2832399981562048
