iterations,elapsed_seconds,trials_per_second,result_rows,top_player,top_expected_roster_gain,managed_trials,season_ev,workers,blocks,repeat,serial_equivalent_seconds,parallel_speedup,worker_efficiency
50,5.9140775999985635,8.454403777186174,30,Saquon Barkley,7.55888671875,50,1602.2236840820312,1,1,1,5.770836899999267,0.9757797056975831,0.9757797056975831
100,6.709530100000848,14.904173393601344,30,Rj Harvey,8.33449462890625,100,1593.2293505859375,2,2,1,11.541673799998534,1.720191075675639,0.8600955378378194
200,7.594979699999385,26.333184274345882,30,Jalen Hurts,8.94405517578125,200,1590.9126770019532,4,4,1,23.08334759999707,3.039290230097513,0.7598225575243782
400,9.797191900001053,40.82802542634252,30,Jalen Hurts,7.427168273925782,400,1590.297023010254,8,8,1,46.16669519999414,4.7122375136889145,0.5890296892111143
800,17.992430199999944,44.46314317228823,30,Jalen Hurts,8.80674057006836,800,1597.0832777404785,16,16,1,92.33339039998828,5.131790946171828,0.3207369341357392
1000,21.451402999999118,46.61699749895338,30,Jalen Hurts,7.566757690429688,1000,1597.2351151123046,16,20,1,115.41673799998534,5.380381786682674,0.33627386166766715
