player,player_id,position,player_game_count,team_name,targets,receptions,caught_percent,yards,touchdowns,grades_offense,grades_pass_route,grades_hands_drop,grades_hands_fumble,grades_pass_block,yards_per_reception,yards_after_catch,yards_after_catch_per_reception,longest,first_downs,drops,interceptions,fumbles,avoided_tackles,targeted_qb_rating,penalties,declined_penalties
Brandon Marshall,3064,WR,16,DEN,167,102,61.1,1325,7,91.3,90.8,58.5,27.9,,13.0,537,5.3,68,71,11,6,3,31,85.0,7,0
T.J. Houshmandzadeh,921,WR,16,CIN,164,112,68.3,1151,12,82.3,82.5,71.0,38.9,,10.3,369,3.3,42,70,8,9,2,14,89.8,5,0
Chad Johnson,806,WR,16,CIN,158,93,58.9,1440,8,84.8,86.0,53.5,31.0,,15.5,292,3.1,70,75,10,8,2,5,84.9,4,1
Randy Moss,342,WR,16,NE,157,99,63.1,1493,23,90.1,90.2,56.9,83.4,,15.1,283,2.9,65,74,11,4,0,2,123.2,10,3
Larry Fitzgerald,1724,WR,15,ARZ,153,100,65.4,1412,10,90.8,90.7,90.1,26.0,,14.1,295,3.0,48,72,3,8,3,5,95.0,2,1
Derrick Mason,271,WR,16,BLT,151,103,68.2,1087,5,79.7,80.1,81.3,58.5,,10.6,320,3.1,79,60,5,3,1,12,91.7,3,0
Reggie Wayne,800,WR,16,IND,148,104,70.3,1515,10,91.5,91.4,76.9,26.2,,14.6,402,3.9,64,73,6,7,3,4,106.1,1,0
Braylon Edwards,2220,WR,16,CLV,147,80,54.4,1289,16,78.4,80.6,27.6,28.8,,16.1,316,4.0,78,58,19,5,3,4,106.1,9,1
Tony Gonzalez,237,TE,16,KC,145,99,68.3,1172,5,86.5,88.9,85.9,83.7,82.7,11.8,300,3.0,31,60,4,4,0,9,92.7,10,1
Marques Colston,3197,WR,16,NO,143,98,68.5,1202,11,82.0,81.2,61.0,56.9,61.4,12.3,389,4.0,45,64,8,4,1,9,108.2,3,0
Terrell Owens,188,WR,15,DAL,142,81,57.0,1355,15,85.9,87.9,33.8,82.3,,16.7,360,4.4,52,69,12,10,0,9,95.2,10,1
Torry Holt,441,WR,16,STR,142,93,65.5,1189,7,84.2,85.3,90.5,37.5,,12.8,202,2.2,40,64,2,8,2,1,84.5,5,0
Jason Witten,1384,TE,16,DAL,141,96,68.1,1145,7,91.0,91.1,74.7,56.6,48.1,11.9,396,4.1,53,56,5,4,1,9,97.4,5,0
Steve Smith,837,WR,15,CAR,139,87,62.6,996,7,80.0,79.7,61.3,57.9,,11.4,469,5.4,74,43,7,5,1,12,85.9,1,0
Kellen Winslow,1727,TE,16,CLV,139,83,59.7,1106,5,76.2,82.7,80.0,28.8,79.0,13.3,354,4.3,49,56,4,5,2,3,82.0,14,1
Wes Welker,2204,WR,16,NE,138,112,81.2,1175,8,88.1,86.3,89.0,39.0,61.5,10.5,637,5.7,42,65,5,3,2,16,112.4,1,0
