player,player_id,position,player_game_count,team_name,targets,receptions,caught_percent,yards,touchdowns,grades_offense,grades_pass_route,grades_hands_drop,grades_hands_fumble,grades_pass_block,yards_per_reception,yards_after_catch,yards_after_catch_per_reception,longest,first_downs,drops,interceptions,fumbles,avoided_tackles,targeted_qb_rating,penalties,declined_penalties
Brandon Marshall,3064,WR,15,DEN,177,104,58.8,1265,6,77.9,75.1,31.1,24.8,,12.2,439,4.2,47,67,16,7,3,17,75.6,6,1
Andre Johnson,1319,WR,16,HST,162,115,71.0,1577,8,88.1,85.9,59.5,68.3,,13.7,500,4.3,65,80,11,11,1,7,90.0,0,0
Dwayne Bowe,3639,WR,16,KC,155,86,55.5,1022,7,70.2,69.5,28.9,82.6,,11.9,400,4.7,36,49,16,6,0,12,74.7,4,0
Tony Gonzalez,237,TE,16,KC,150,96,64.0,1066,10,86.7,85.2,84.8,83.3,60.0,11.1,272,2.8,35,67,5,5,0,8,93.4,4,0
Calvin Johnson,3618,WR,16,DET,147,78,53.1,1331,12,73.8,73.9,37.2,26.9,,17.1,514,6.6,96,52,13,8,2,11,88.6,3,1
Larry Fitzgerald,1724,WR,16,ARZ,146,96,65.8,1437,12,80.1,79.0,84.9,65.1,66.5,15.0,478,5.0,78,66,4,2,1,10,119.6,1,0
Roddy White,2244,WR,16,ATL,142,88,62.0,1384,7,86.2,83.9,34.8,45.8,,15.7,394,4.5,70,62,14,7,2,2,90.2,8,2
Wes Welker,2204,WR,16,NE,140,111,79.3,1165,3,74.8,74.9,75.2,61.8,,10.5,767,6.9,64,57,8,3,1,2,99.6,2,0
Terrell Owens,188,WR,16,DAL,139,69,49.6,1052,10,70.5,68.5,35.8,51.8,,15.2,292,4.2,75,39,10,9,1,4,72.0,2,0
Antonio Bryant,1070,WR,16,TB,135,83,61.5,1248,7,82.8,82.0,48.5,54.0,,15.0,401,4.8,71,60,9,5,1,4,93.7,5,2
Greg Jennings,2997,WR,16,GB,132,80,60.6,1292,9,75.4,74.6,41.4,82.0,,16.2,387,4.8,63,55,11,3,1,8,106.6,0,0
Santana Moss,786,WR,16,WAS,131,79,60.3,1044,6,73.1,70.9,36.6,61.1,,13.2,454,5.7,67,51,12,1,1,8,97.6,4,1
T.J. Houshmandzadeh,921,WR,15,CIN,129,92,71.3,904,4,74.4,72.5,68.6,83.2,,9.8,384,4.2,46,51,7,4,0,8,88.1,3,0
Braylon Edwards,2220,WR,16,CLV,128,55,43.0,877,3,60.4,60.9,25.9,80.2,,15.9,238,4.3,70,42,19,9,0,5,45.0,10,2
Reggie Wayne,800,WR,16,IND,127,82,64.6,1128,6,84.8,82.3,69.4,82.3,,13.8,302,3.7,65,63,8,4,0,7,95.5,1,0
Eddie Royal,4356,WR,15,DEN,127,91,71.7,980,5,73.7,73.2,83.8,60.4,,10.8,364,4.0,93,43,6,4,1,3,93.9,5,1
Steve Smith,837,WR,14,CAR,123,78,63.4,1421,6,91.9,92.1,57.0,54.0,65.7,18.2,423,5.4,65,59,9,4,1,9,105.8,3,0
Anquan Boldin,1369,WR,12,ARZ,122,89,73.0,1038,11,75.6,76.5,72.0,23.9,29.7,11.7,590,6.6,79,56,6,2,3,13,121.6,4,0
Hines Ward,380,WR,16,PIT,119,81,68.1,1043,7,79.9,79.1,58.5,61.9,67.5,12.9,435,5.4,49,55,9,3,1,9,104.4,6,0
Jason Witten,1384,TE,16,DAL,119,81,68.1,952,4,90.7,89.4,79.5,82.3,70.5,11.8,353,4.4,42,50,4,7,0,5,78.8,7,1
Randy Moss,342,WR,16,NE,117,69,59.0,1010,11,69.9,68.6,35.2,29.3,,14.6,318,4.6,76,48,10,3,2,4,107.9,1,0
Derrick Mason,271,WR,16,BLT,117,80,68.4,1037,5,89.0,89.7,74.0,41.4,,13.0,245,3.1,54,60,5,4,2,10,96.0,1,0
Torry Holt,441,WR,16,STR,115,64,55.7,796,3,68.5,67.8,60.9,81.0,,12.4,169,2.6,45,40,6,4,0,2,71.5,5,0
DeSean Jackson,4363,WR,16,PHI,115,62,53.9,915,2,67.7,66.6,38.3,83.0,,14.8,304,4.9,60,43,9,6,0,4,64.2,0,0
Lance Moore,2718,WR,16,NO,113,79,69.9,930,10,76.3,74.1,78.5,82.1,,11.8,296,3.7,70,40,5,5,0,2,105.7,1,0
Laveranues Coles,638,WR,16,NYJ,112,70,62.5,839,7,65.3,63.5,28.9,81.5,,12.0,305,4.4,54,44,14,8,0,4,76.5,4,0
Donald Driver,533,WR,16,GB,110,74,67.3,1012,5,69.5,67.8,46.3,82.2,,13.7,354,4.8,71,44,9,5,0,11,92.7,5,0
Santonio Holmes,2970,WR,15,PIT,109,55,50.5,821,5,71.2,68.7,48.9,27.4,,14.9,227,4.1,48,41,7,4,2,7,75.5,1,0
Jerricho Cotchery,1829,WR,16,NYJ,109,71,65.1,858,5,70.0,69.1,76.3,50.6,68.2,12.1,357,5.0,56,44,4,9,1,11,70.0,2,1
Chris Cooley,1802,TE,16,WAS,106,83,78.3,849,1,81.4,83.6,80.9,24.8,56.5,10.2,476,5.7,28,44,4,1,3,8,99.3,4,0
Steve Breaston,3758,WR,16,ARZ,106,77,72.6,1022,3,69.1,68.1,50.9,82.1,65.5,13.3,283,3.7,58,44,9,4,0,5,96.5,2,0
Muhsin Muhammad,173,WR,16,CAR,104,65,62.5,923,5,82.7,76.3,40.6,26.7,66.1,14.2,358,5.5,60,47,9,2,2,7,99.2,4,1
Dallas Clark,1340,TE,15,IND,103,77,74.8,848,6,81.7,79.6,56.4,51.5,69.8,11.0,375,4.9,33,41,8,3,2,5,106.0,1,0
Matt Jones,2238,WR,12,JAX,103,65,63.1,761,2,77.9,76.8,54.9,56.5,,11.7,206,3.2,35,48,7,2,1,0,83.8,2,0
Isaac Bruce,80,WR,16,SF,102,61,59.8,835,7,67.9,68.3,90.0,80.8,,13.7,209,3.4,63,43,2,4,0,1,92.6,2,1
Marvin Harrison,162,WR,15,IND,100,60,60.0,636,5,66.8,65.3,58.7,44.3,,10.6,176,2.9,67,41,6,4,1,2,78.6,2,0
Donnie Avery,4347,WR,15,STR,99,53,53.5,674,3,72.4,72.8,80.4,81.3,,12.7,268,5.1,69,30,3,8,0,1,51.5,2,0
Lee Evans,1734,WR,16,BUF,99,63,63.6,1020,3,74.0,71.9,72.6,28.6,,16.2,262,4.2,87,46,4,7,2,2,78.7,2,0
Vincent Jackson,2278,WR,16,SD,96,59,61.5,1098,7,83.8,80.2,63.9,46.3,,18.6,220,3.7,60,53,5,4,1,3,107.9,1,0
Bernard Berrian,1799,WR,16,MIN,92,48,52.2,964,7,71.6,70.8,50.0,79.9,,20.1,319,6.6,99,35,6,8,0,5,78.4,1,1
Ted Ginn Jr.,3625,WR,16,MIA,91,56,61.5,789,2,67.8,67.2,48.3,22.0,,14.1,206,3.7,64,36,6,3,3,3,83.1,4,1
Owen Daniels,3043,TE,16,HST,90,70,77.8,862,2,78.6,77.5,87.3,29.1,66.2,12.3,434,6.2,35,46,2,4,2,1,95.5,3,0
Marques Colston,3197,WR,11,NO,88,47,53.4,760,5,72.3,69.5,29.3,36.4,65.5,16.2,255,5.4,70,35,9,3,1,0,87.3,0,0
Chad Johnson,806,WR,13,CIN,87,53,60.9,540,4,65.1,65.2,54.3,79.8,42.4,10.2,92,1.7,26,36,6,2,0,0,84.5,5,0
Amani Toomer,169,WR,16,NYG,87,48,55.2,580,4,59.9,59.2,43.6,36.4,,12.1,143,3.0,40,30,6,2,1,2,81.6,2,0
Bobby Wade,1448,WR,16,MIN,86,53,61.6,646,2,66.7,62.9,40.7,39.8,,12.2,244,4.6,59,32,8,1,2,5,87.6,5,0
Devin Hester,3002,WR,15,CHI,86,51,59.3,665,3,65.0,64.5,51.3,42.4,,13.0,217,4.3,65,29,5,3,1,3,80.8,4,1
Antonio Gates,1609,TE,16,SD,85,60,70.6,704,8,70.9,68.5,63.4,54.2,78.1,11.7,245,4.1,34,39,5,3,1,0,112.1,2,0
