player,player_id,position,player_game_count,team_name,targets,receptions,caught_percent,yards,touchdowns,grades_offense,grades_pass_route,grades_hands_drop,grades_hands_fumble,grades_pass_block,yards_per_reception,yards_after_catch,yards_after_catch_per_reception,longest,first_downs,drops,interceptions,fumbles,avoided_tackles,targeted_qb_rating,penalties,declined_penalties
Roddy White,2244,WR,16,ATL,175,100,57.1,1296,8,82.3,82.8,41.0,83.7,70.7,13.0,364,3.6,43,77,14,7,0,5,79.1,8,1
Wes Welker,2204,WR,16,NE,169,122,72.2,1569,9,90.4,90.3,53.8,85.2,65.9,12.9,734,6.0,99,77,13,1,0,10,116.2,2,0
Larry Fitzgerald,1724,WR,16,ARZ,151,80,53.0,1411,8,89.8,89.1,84.9,82.2,,17.6,505,6.3,73,62,3,9,0,10,78.0,3,0
Calvin Johnson,3618,WR,16,DET,151,96,63.6,1685,16,90.0,89.7,75.4,57.2,,17.6,547,5.7,73,77,7,4,1,12,125.8,2,0
Jimmy Graham,5619,TE,16,NO,145,98,67.6,1301,11,89.8,90.6,75.4,57.8,53.7,13.3,451,4.6,59,75,6,5,1,8,106.7,2,0
Brandon Marshall,3064,WR,16,MIA,138,81,58.7,1214,6,77.0,77.5,29.2,53.0,,15.0,311,3.8,65,54,14,3,1,6,93.1,3,0
Steve Johnson,4538,WR,16,BUF,132,76,57.6,1004,7,76.0,76.3,64.0,81.8,,13.2,330,4.3,55,46,5,7,0,6,77.3,3,0
Dwayne Bowe,3639,WR,16,KC,130,81,62.3,1159,5,84.2,84.4,48.8,52.9,71.9,14.3,344,4.2,52,58,10,5,1,7,87.9,4,0
Hakeem Nicks,4952,WR,15,NYG,128,76,59.4,1192,7,85.2,85.1,55.7,81.8,,15.7,357,4.7,68,53,8,4,0,9,95.6,3,0
Steve Smith,837,WR,16,CAR,127,79,62.2,1394,7,83.2,83.2,68.5,44.0,65.7,17.6,471,6.0,77,55,6,6,3,10,98.3,7,0
