player,player_id,position,player_game_count,team_name,targets,receptions,caught_percent,yards,touchdowns,grades_offense,grades_pass_route,grades_hands_drop,grades_hands_fumble,grades_pass_block,yards_per_reception,yards_after_catch,yards_after_catch_per_reception,longest,first_downs,drops,interceptions,fumbles,avoided_tackles,targeted_qb_rating,penalties,declined_penalties
Vonta Leach,2100,FB,16,HST,11,8,72.7,91,0,74.7,55.3,56.1,70.4,54.6,11.4,74,9.3,21,4,1,0,0,1,97.2,0,0
Brandon James,5965,WR,2,IND,11,6,54.5,40,0,46.3,47.1,29.7,68.8,,6.7,12,2.0,17,3,2,1,0,0,24.8,0,0
Isaac Redman,5233,HB,16,PIT,10,9,90.0,72,2,73.4,72.7,78.7,60.3,86.8,8.0,86,9.6,16,3,0,0,0,2,136.3,0,0
Roberto Wallace,5888,WR,12,MIA,10,6,60.0,62,0,45.1,48.2,29.7,68.8,,10.3,16,2.7,19,1,2,0,0,0,77.9,2,1
Lawrence Vickers,3125,FB,16,CLV,10,4,40.0,15,0,56.8,32.6,28.6,71.8,21.3,3.8,11,2.8,10,1,2,1,0,1,8.3,2,1
Alge Crumpler,805,TE,16,NE,10,6,60.0,52,2,74.8,49.3,56.7,70.6,64.7,8.7,35,5.8,27,4,1,0,0,0,113.3,7,0
Adrian Arrington,4551,TE,1,NO,9,7,77.8,79,0,73.3,72.3,75.6,69.5,,11.3,29,4.1,17,3,0,0,0,0,103.2,0,0
Danny Ware,4095,HB,7,NYG,9,7,77.8,67,0,66.2,77.9,52.5,78.1,40.6,9.6,58,8.3,18,3,1,0,0,0,97.7,0,0
Jim Dray,5756,TE,14,ARZ,9,3,33.3,47,0,51.9,38.9,36.8,65.8,64.6,15.7,23,7.7,24,3,1,0,0,1,51.6,1,0
Maurice Stovall,3035,WR,7,TB,9,7,77.8,81,1,77.2,71.0,75.6,69.5,65.7,11.6,57,8.1,38,4,0,0,0,2,141.2,0,0
Chaz Schilens,4540,WR,5,OAK,9,5,55.6,40,1,72.3,68.3,73.4,68.0,,8.0,14,2.8,11,4,0,0,0,0,103.9,0,0
Derrick Ward,1949,HB,12,HST,9,7,77.8,61,0,73.4,38.3,32.2,83.2,44.9,8.7,65,9.3,12,2,1,0,0,1,94.9,0,0
Brett Swain,4531,WR,10,GB,9,6,66.7,72,0,61.9,61.4,74.6,68.8,,12.0,58,9.7,31,3,0,0,0,1,91.0,0,0
Kevin Faulk,470,HB,2,NE,9,6,66.7,62,0,63.4,61.6,29.7,74.1,81.8,10.3,-4,-0.7,21,2,2,0,0,1,86.3,0,0
Leon Washington,3062,HB,16,SEA,9,9,100.0,79,0,67.1,66.6,78.0,80.5,81.2,8.8,73,8.1,28,3,0,0,0,2,103.2,0,0
Brody Eldridge,5685,TE,13,IND,9,5,55.6,39,0,54.2,40.0,45.8,68.0,60.6,7.8,18,3.6,10,1,1,1,0,0,26.9,2,0
Heath Evans,843,FB,16,NO,8,7,87.5,41,1,52.9,49.1,52.1,71.1,41.0,5.9,40,5.7,18,4,1,0,0,0,127.6,1,0
Eric Decker,5611,WR,10,DEN,8,6,75.0,106,1,62.1,57.4,50.6,20.8,67.4,17.7,29,4.8,38,5,1,0,1,2,156.3,0,0
Anthony Gonzalez,3648,WR,2,IND,8,5,62.5,67,0,63.7,62.6,73.4,68.0,,13.4,14,2.8,34,3,0,0,0,0,89.1,1,0
Jerome Harrison,3090,HB,8,PHI,8,8,100.0,46,0,53.0,67.4,80.3,40.6,41.9,5.8,48,6.0,15,1,0,0,0,1,90.6,0,0
Michael Palmer,5784,TE,9,ATL,8,5,62.5,29,1,70.8,66.9,73.4,68.0,50.3,5.8,18,3.6,11,3,0,0,0,0,108.9,0,0
Preston Parker,5950,WR,7,TB,8,4,50.0,42,0,53.9,55.6,72.1,68.3,,10.5,32,8.0,21,3,0,0,0,1,65.6,1,0
Beanie Wells,4954,HB,13,ARZ,8,5,62.5,74,0,56.1,48.1,29.2,74.8,52.9,14.8,32,6.4,43,3,2,0,0,0,92.7,1,0
Ruvell Martin,2111,WR,5,SEA,8,7,87.5,158,1,76.4,75.9,75.6,69.5,,22.6,55,7.9,61,6,0,0,0,0,158.3,0,0
Javon Ringer,5097,HB,14,TEN,8,7,87.5,44,0,63.0,61.9,75.6,83.5,33.4,6.3,25,3.6,9,2,0,0,0,2,89.6,0,0
David Martin,916,TE,14,BUF,8,7,87.5,43,1,64.5,51.7,75.6,69.5,61.4,6.1,20,2.9,15,3,0,0,0,0,128.6,1,0
Clinton Portis,1058,HB,5,WAS,8,5,62.5,55,0,77.6,76.6,73.4,83.9,85.7,11.0,65,13.0,14,4,0,0,0,2,82.8,0,0
Laurence Maroney,2966,HB,4,DEN,7,4,57.1,50,0,46.2,28.7,27.0,39.1,71.7,12.5,52,13.0,28,2,3,0,0,1,79.5,0,0
Tony Fiammetta,5052,FB,14,CAR,7,5,71.4,34,0,70.1,63.4,73.4,73.3,28.4,6.8,21,4.2,11,3,0,1,0,0,42.3,0,0
Kris Wilson,1782,TE,13,SD,7,6,85.7,73,0,53.2,40.0,49.7,17.2,58.5,12.2,57,9.5,37,2,1,0,1,0,110.1,1,0
Moran Norris,865,FB,16,SF,7,4,57.1,20,0,53.7,30.9,28.7,70.3,53.2,5.0,17,4.3,8,1,2,0,0,0,62.2,0,0
Mike Bell,3225,HB,6,CLV,7,6,85.7,62,0,44.7,38.4,52.1,32.5,38.0,10.3,54,9.0,28,4,0,0,0,0,103.6,0,0
Ramses Barden,5008,WR,4,NYG,7,5,71.4,64,0,69.3,68.6,49.7,68.8,,12.8,9,1.8,26,2,1,1,0,0,60.1,0,0
Gary Barnidge,4455,TE,15,CAR,7,0,0.0,0,0,55.6,36.1,27.9,,76.6,,0,,0,0,1,3,0,0,0.0,0,0
Deji Karim,5703,HB,5,JAX,7,3,42.9,10,0,50.1,39.0,36.8,33.7,63.7,3.3,11,3.7,7,1,1,0,0,0,50.3,0,0
Mike Hart,4516,HB,5,IND,6,6,100.0,25,0,71.7,56.7,75.6,82.9,80.1,4.2,24,4.0,10,2,0,0,0,0,84.0,0,0
Corey McIntyre,1278,FB,15,BUF,6,4,66.7,32,0,60.7,29.3,41.6,19.2,57.1,8.0,35,8.8,14,1,1,0,1,1,79.9,2,0
