player,player_id,position,player_game_count,team_name,targets,receptions,caught_percent,yards,touchdowns,grades_offense,grades_pass_route,grades_hands_drop,grades_hands_fumble,grades_pass_block,yards_per_reception,yards_after_catch,yards_after_catch_per_reception,longest,first_downs,drops,interceptions,fumbles,avoided_tackles,targeted_qb_rating,penalties,declined_penalties
Calvin Johnson,3618,WR,16,DET,199,122,61.3,1964,5,89.8,89.5,54.3,40.8,,16.1,514,4.2,53,95,14,5,3,12,92.2,3,1
Brandon Marshall,3064,WR,16,CHI,181,118,65.2,1508,11,90.4,90.2,48.9,39.6,,12.8,369,3.1,56,75,13,7,2,14,95.3,2,0
Reggie Wayne,800,WR,16,IND,179,106,59.2,1355,5,88.9,85.8,60.2,67.1,52.0,12.8,379,3.6,33,74,10,10,1,5,69.0,0,0
Wes Welker,2204,WR,16,NE,166,118,71.1,1354,6,82.8,81.6,39.5,39.1,,11.5,698,5.9,59,72,15,2,2,6,102.3,0,0
Andre Johnson,1319,WR,16,HST,159,112,70.4,1598,4,91.9,91.9,71.3,84.2,,14.3,559,5.0,60,79,9,5,0,11,97.9,2,1
A.J. Green,6156,WR,16,CIN,158,97,61.4,1350,11,89.2,88.2,56.6,33.0,62.4,13.9,437,4.5,73,62,10,6,2,10,96.2,4,0
Larry Fitzgerald,1724,WR,16,ARZ,148,71,48.0,798,4,69.3,68.5,69.5,81.4,70.7,11.2,277,3.9,37,45,5,12,0,7,39.8,3,0
Jason Witten,1384,TE,16,DAL,146,110,75.3,1039,3,84.3,82.8,70.7,84.1,66.6,9.4,324,2.9,36,56,8,3,0,6,92.8,6,0
Steve Johnson,4538,WR,16,BUF,144,79,54.9,1046,6,78.0,77.9,41.2,50.8,,13.2,356,4.5,63,52,11,7,1,7,71.7,3,0
Demaryius Thomas,5547,WR,16,DEN,138,95,68.8,1430,10,87.6,85.8,49.8,30.0,,15.1,547,5.8,71,62,11,0,3,13,126.8,1,0
Roddy White,2244,WR,16,ATL,138,92,66.7,1351,7,88.1,86.5,88.8,64.3,70.8,14.7,337,3.7,59,73,4,5,1,7,100.2,4,0
Victor Cruz,5827,WR,16,NYG,137,86,62.8,1092,10,77.5,77.9,39.8,82.4,68.1,12.7,340,4.0,80,53,12,6,0,8,93.7,3,0
