player,player_id,position,player_game_count,team_name,targets,receptions,caught_percent,yards,touchdowns,grades_offense,grades_pass_route,grades_hands_drop,grades_hands_fumble,grades_pass_block,yards_per_reception,yards_after_catch,yards_after_catch_per_reception,longest,first_downs,drops,interceptions,fumbles,avoided_tackles,targeted_qb_rating,penalties,declined_penalties
Torry Holt,441,WR,16,STR,177,94,53.1,1237,10,80.7,80.5,69.6,29.9,,13.2,259,2.8,67,68,7,4,2,4,84.9,5,2
Donald Driver,533,WR,16,GB,165,94,57.0,1297,8,80.2,80.5,65.3,58.8,,13.8,494,5.3,82,53,7,5,1,12,85.8,2,0
Andre Johnson,1319,WR,16,HST,152,98,64.5,1111,5,79.7,79.4,56.4,83.7,,11.3,397,4.1,53,54,9,9,0,13,72.6,4,0
Roy Williams,1728,WR,16,DET,148,82,55.4,1311,7,88.4,87.8,74.3,28.7,,16.0,317,3.9,60,69,5,6,2,8,84.0,1,0
Anquan Boldin,1369,WR,16,ARZ,146,83,56.8,1203,4,82.6,83.8,85.2,82.7,,14.5,487,5.9,64,53,3,9,1,21,67.2,5,0
Laveranues Coles,638,WR,16,NYJ,146,93,63.7,1111,6,83.5,82.5,90.4,56.8,,11.9,287,3.1,58,52,1,4,1,8,89.2,2,0
Terrell Owens,188,WR,16,DAL,144,85,59.0,1173,13,81.8,83.1,29.4,82.8,68.7,13.8,356,4.2,56,62,16,5,0,18,100.8,7,0
Chad Johnson,806,WR,16,CIN,143,87,60.8,1375,7,87.5,89.5,65.9,83.3,,15.8,312,3.6,74,67,7,5,0,3,94.6,5,0
Marvin Harrison,162,WR,16,IND,142,95,66.9,1366,12,86.7,86.6,73.9,56.1,,14.4,267,2.8,68,78,6,3,1,5,117.3,2,0
Chris Chambers,821,WR,16,MIA,142,59,41.5,677,4,66.9,64.7,33.3,81.5,,11.5,187,3.2,46,39,11,10,0,8,36.6,0,0
Mike Furrey,726,WR,16,DET,134,98,73.1,1085,6,76.3,77.3,75.8,57.4,,11.1,280,2.9,31,57,5,7,1,3,89.9,6,0
Steve Smith,837,WR,14,CAR,133,83,62.4,1166,8,85.5,85.1,54.8,57.2,,14.0,454,5.5,72,50,9,6,0,11,91.9,1,0
Reggie Wayne,800,WR,16,IND,132,87,65.9,1316,9,90.2,90.2,61.1,54.1,,15.1,189,2.2,51,73,7,2,1,4,115.0,4,0
T.J. Houshmandzadeh,921,WR,14,CIN,129,90,69.8,1081,9,88.4,88.9,87.5,83.1,,12.0,320,3.6,40,58,3,3,0,10,108.7,1,0
Joey Galloway,117,WR,16,TB,127,62,48.8,1057,7,71.4,72.1,41.1,80.9,67.5,17.0,262,4.2,64,44,9,9,0,4,66.3,2,0
Lee Evans,1734,WR,16,BUF,127,78,61.4,1231,8,84.5,84.2,83.6,51.1,,15.8,348,4.5,83,50,3,7,1,6,91.7,4,2
Braylon Edwards,2220,WR,16,CLV,121,61,50.4,884,6,67.4,65.7,30.2,81.0,,14.5,315,5.2,75,39,11,11,0,9,53.2,0,0
Isaac Bruce,80,WR,16,STR,121,74,61.2,1055,3,74.0,74.6,76.5,81.7,62.3,14.3,250,3.4,44,53,4,2,0,4,90.8,4,0
Plaxico Burress,586,WR,15,NYG,120,63,52.5,965,11,76.4,77.1,67.1,23.7,,15.3,187,3.0,55,43,6,8,2,5,82.1,7,1
Jerricho Cotchery,1829,WR,16,NYJ,119,81,68.1,949,6,79.5,78.8,74.6,82.7,,11.7,337,4.2,71,52,5,1,0,10,105.3,1,0
Kellen Winslow,1727,TE,16,CLV,117,89,76.1,875,3,69.3,76.9,77.5,55.0,75.7,9.8,334,3.8,40,42,5,4,1,14,90.9,7,0
Javon Walker,1027,WR,16,DEN,117,69,59.0,1084,8,84.1,83.3,56.4,82.3,,15.7,334,4.8,83,53,7,3,0,11,101.9,2,0
Keyshawn Johnson,153,WR,16,CAR,116,70,60.3,826,4,76.0,74.7,86.5,48.1,48.9,11.8,214,3.1,40,42,3,6,1,4,72.0,7,0
Hines Ward,380,WR,14,PIT,116,74,63.8,976,6,84.2,81.3,81.9,27.6,65.9,13.2,334,4.5,70,50,3,4,2,3,93.2,1,0
Todd Heap,801,TE,16,BLT,112,73,65.2,765,6,79.0,81.5,90.4,81.5,63.5,10.5,238,3.3,30,41,1,2,0,4,95.3,5,0
Reggie Bush,2947,HB,16,NO,109,88,80.7,742,2,64.5,77.7,65.8,68.6,54.8,8.4,712,8.1,74,32,7,0,0,14,101.1,1,0
Larry Fitzgerald,1724,WR,13,ARZ,109,69,63.3,946,6,84.2,83.2,69.0,81.3,,13.7,208,3.0,57,53,5,4,0,5,94.1,3,0
Marques Colston,3197,WR,14,NO,109,70,64.2,1038,8,81.4,81.4,58.2,81.4,66.8,14.8,353,5.0,86,51,8,3,0,4,108.3,3,0
Terry Glenn,156,WR,15,DAL,108,70,64.8,1048,6,78.7,79.3,74.8,81.7,70.3,15.0,241,3.4,54,47,2,8,0,4,84.2,5,1
Muhsin Muhammad,173,WR,16,CHI,108,60,55.6,863,5,75.9,75.9,77.0,45.7,,14.4,167,2.8,40,45,3,2,1,4,89.4,6,0
Steven Jackson,1745,HB,16,STR,107,90,84.1,806,3,66.5,66.6,62.5,75.3,73.4,9.0,768,8.5,64,31,7,1,2,20,103.5,0,0
Jeremy Shockey,1021,TE,15,NYG,107,66,61.7,623,7,73.6,70.3,54.8,80.8,74.3,9.4,187,2.8,25,37,7,2,0,3,91.8,9,0
