player,player_id,position,player_game_count,team_name,targets,receptions,caught_percent,yards,touchdowns,grades_offense,grades_pass_route,grades_hands_drop,grades_hands_fumble,grades_pass_block,yards_per_reception,yards_after_catch,yards_after_catch_per_reception,longest,first_downs,drops,interceptions,fumbles,avoided_tackles,targeted_qb_rating,penalties,declined_penalties
Wes Welker,2204,WR,14,NE,153,123,80.4,1348,4,90.6,90.6,83.5,85.3,,11.0,739,6.0,58,71,6,1,0,12,109.4,0,0
Andre Johnson,1319,WR,16,HST,152,101,66.4,1569,9,87.7,85.8,67.1,58.5,69.9,15.5,564,5.6,72,69,9,6,1,5,103.8,0,0
Roddy White,2244,WR,16,ATL,152,85,55.9,1153,11,75.1,75.4,70.5,62.9,,13.6,398,4.7,90,54,6,7,1,6,85.2,7,1
Steve Smith,3667,WR,16,NYG,151,107,70.9,1220,7,82.1,81.7,88.1,84.0,,11.4,249,2.3,51,61,6,4,0,2,99.2,5,2
Brandon Marshall,3064,WR,15,DEN,149,101,67.8,1120,10,80.9,81.7,62.8,84.4,,11.1,511,5.1,75,56,8,4,0,12,101.1,4,0
Larry Fitzgerald,1724,WR,16,ARZ,147,97,66.0,1092,13,84.6,82.9,90.0,83.5,67.4,11.3,312,3.2,34,69,3,6,0,9,100.5,2,0
Reggie Wayne,800,WR,16,IND,146,100,68.5,1264,10,87.7,86.5,90.6,83.4,,12.6,441,4.4,65,73,3,10,0,5,89.5,4,1
Randy Moss,342,WR,16,NE,136,83,61.0,1264,13,76.9,75.1,59.3,29.0,,15.2,347,4.2,71,63,8,8,2,3,99.0,3,1
Calvin Johnson,3618,WR,14,DET,132,67,50.8,986,5,73.7,72.9,68.4,23.8,,14.7,357,5.3,75,50,5,12,3,7,50.3,4,1
Hines Ward,380,WR,16,PIT,129,95,73.6,1167,6,77.2,74.2,68.7,29.9,70.6,12.3,433,4.6,54,57,7,5,2,9,100.5,5,0
T.J. Houshmandzadeh,921,WR,16,SEA,129,79,61.2,911,3,66.0,65.6,78.5,30.7,66.4,11.5,278,3.5,53,53,5,5,2,7,74.1,4,1
Dallas Clark,1340,TE,16,IND,129,100,77.5,1106,10,85.2,87.0,66.4,58.7,70.3,11.1,503,5.0,80,59,8,2,1,9,121.8,1,0
Derrick Mason,271,WR,16,BLT,128,73,57.0,1028,7,76.9,77.2,60.5,81.8,,14.1,272,3.7,72,55,6,2,0,5,94.8,3,0
Santonio Holmes,2970,WR,16,PIT,127,79,62.2,1248,5,81.6,79.7,58.3,82.6,,15.8,508,6.4,57,63,8,4,0,9,94.9,1,0
Tony Gonzalez,237,TE,16,ATL,125,83,66.4,862,6,81.2,79.9,85.3,82.3,73.6,10.4,246,3.0,27,54,3,3,0,5,92.2,5,1
Chad Johnson,806,WR,16,CIN,124,72,58.1,1047,9,84.4,85.0,66.6,24.1,,14.5,263,3.7,50,56,6,4,2,7,96.4,9,0
Steve Smith,837,WR,15,CAR,123,65,52.8,953,7,78.2,78.4,80.5,49.7,,14.7,328,5.0,66,41,3,11,1,11,60.1,4,0
Jason Witten,1384,TE,16,DAL,121,94,77.7,1030,2,84.3,76.7,69.1,83.1,80.0,11.0,434,4.6,69,48,6,3,0,4,97.3,8,1
Miles Austin,3211,WR,16,DAL,120,81,67.5,1320,11,83.9,85.4,84.4,53.5,,16.3,609,7.5,60,59,3,2,1,9,127.8,2,0
Sidney Rice,3660,WR,16,MIN,119,83,69.7,1312,8,88.9,87.7,86.4,62.8,66.5,15.8,378,4.6,63,60,3,1,1,6,125.1,3,0
Anquan Boldin,1369,WR,15,ARZ,118,85,72.0,1029,5,79.0,77.2,85.9,24.9,,12.1,389,4.6,44,51,3,2,3,5,105.5,2,0
Kellen Winslow,1727,TE,16,TB,117,77,65.8,902,5,73.0,75.1,69.8,82.1,70.3,11.7,268,3.5,42,48,5,1,0,4,99.7,4,0
