player,player_id,position,player_game_count,team_name,targets,receptions,caught_percent,yards,touchdowns,grades_offense,grades_pass_route,grades_hands_drop,grades_hands_fumble,grades_pass_block,yards_per_reception,yards_after_catch,yards_after_catch_per_reception,longest,first_downs,drops,interceptions,fumbles,avoided_tackles,targeted_qb_rating,penalties,declined_penalties
Julio Jones,6158,WR,16,ATL,193,136,70.5,1871,8,92.4,92.1,67.7,30.4,,13.8,665,4.9,70,93,10,2,3,16,110.7,1,0
Antonio Brown,5718,WR,16,PIT,190,137,72.1,1834,10,92.5,92.6,90.7,55.0,,13.4,631,4.6,59,84,5,9,1,20,100.2,4,0
DeAndre Hopkins,7808,WR,16,HST,187,111,59.4,1521,11,90.4,90.6,75.5,60.2,66.2,13.7,216,1.9,61,83,7,5,1,5,93.9,6,1
Demaryius Thomas,5547,WR,16,DEN,169,105,62.1,1304,6,79.3,78.4,47.2,33.6,,12.4,492,4.7,72,64,12,7,2,13,80.6,5,0
Brandon Marshall,3064,WR,16,NYJ,167,109,65.3,1502,14,85.2,85.7,56.1,26.2,62.4,13.8,439,4.0,69,77,11,9,3,13,99.4,6,0
Jarvis Landry,8698,WR,16,MIA,155,110,71.0,1157,4,87.6,86.2,76.2,90.3,72.3,10.5,571,5.2,50,61,7,3,0,24,92.9,6,1
Odell Beckham Jr.,8647,WR,15,NYG,153,97,63.4,1450,13,87.8,90.1,84.2,39.7,,14.9,595,6.1,87,68,4,3,2,12,114.6,8,1
Mike Evans,8642,WR,15,TB,146,75,51.4,1206,3,83.5,85.7,28.9,81.8,,16.1,244,3.3,68,64,15,5,1,4,71.9,9,0
Michael Crabtree,4933,WR,16,OAK,143,85,59.4,922,9,77.1,75.9,59.7,53.1,,10.8,281,3.3,38,45,8,2,1,15,93.6,3,0
Calvin Johnson,3618,WR,16,DET,142,88,62.0,1214,9,88.4,86.0,77.4,57.7,,13.8,304,3.5,57,65,5,4,1,2,98.7,1,0
Allen Robinson II,8696,WR,16,JAX,142,80,56.3,1400,14,83.9,83.8,58.6,82.2,,17.5,353,4.4,90,61,8,6,0,7,105.4,3,0
Larry Fitzgerald,1724,WR,16,ARZ,139,109,78.4,1215,9,90.0,87.6,90.3,38.0,72.6,11.1,469,4.3,44,67,3,2,3,6,118.7,1,0
Emmanuel Sanders,5606,WR,15,DEN,131,76,58.0,1135,6,81.9,81.8,66.3,85.7,,14.9,364,4.8,75,52,6,4,1,6,89.1,1,0
Delanie Walker,3120,TE,15,TEN,130,94,72.3,1088,6,88.0,84.8,79.0,83.2,77.2,11.6,398,4.2,61,52,5,4,0,13,99.8,2,1
Eric Decker,5611,WR,15,NYJ,126,80,63.5,1027,12,77.9,79.5,58.1,53.2,,12.8,222,2.8,35,61,8,2,1,2,114.1,5,1
Brandin Cooks,8655,WR,16,NO,126,84,66.7,1138,9,72.5,72.5,80.3,83.7,65.7,13.5,370,4.4,71,45,4,4,1,4,105.9,1,0
T.Y. Hilton,7092,WR,16,IND,125,69,55.2,1124,5,79.3,78.3,81.2,82.3,,16.3,386,5.6,87,49,3,6,1,3,78.9,1,0
Randall Cobb,6216,WR,16,GB,123,80,65.0,829,6,67.7,66.9,42.2,84.6,33.1,10.4,452,5.7,53,43,10,0,0,11,100.6,2,0
A.J. Green,6156,WR,16,CIN,123,86,69.9,1297,10,90.4,90.7,87.1,48.5,,15.1,337,3.9,80,64,3,3,1,5,121.2,4,0
Amari Cooper,9437,WR,16,OAK,123,73,59.3,1070,6,71.1,71.1,27.3,54.3,69.4,14.7,395,5.4,68,45,18,3,1,11,93.9,4,2
Kamar Aiken,6671,WR,16,BLT,121,75,62.0,944,5,78.5,77.8,77.8,50.4,66.5,12.6,214,2.9,48,53,4,4,1,7,86.2,1,0
Golden Tate,5585,WR,16,DET,121,90,74.4,813,6,77.3,75.8,78.5,65.5,61.6,9.0,544,6.0,43,50,6,2,1,23,101.7,2,0
Jeremy Maclin,4942,WR,15,KC,120,87,72.5,1088,8,77.8,79.8,90.8,29.2,,12.5,356,4.1,61,50,1,2,2,2,115.6,5,2
Jordan Matthews,8677,WR,16,PHI,120,85,70.8,997,8,65.5,64.5,47.9,33.5,,11.7,436,5.1,78,44,9,2,2,11,111.0,4,1
Gary Barnidge,4455,TE,16,CLV,119,79,66.4,1043,9,74.5,78.8,62.0,81.9,37.7,13.2,364,4.6,40,52,7,2,0,7,112.1,5,0
Travis Benjamin,7100,WR,16,CLV,116,68,58.6,966,5,67.0,67.5,57.4,64.2,,14.2,324,4.8,61,40,6,3,1,8,89.2,2,1
Greg Olsen,3647,TE,16,CAR,115,77,67.0,1104,7,88.8,90.6,84.7,51.6,80.0,14.3,362,4.7,52,52,4,0,1,1,118.2,6,0
Rob Gronkowski,5567,TE,15,NE,113,72,63.7,1176,11,90.2,88.6,77.2,84.2,69.3,16.3,546,7.6,76,52,4,1,0,10,127.3,9,1
Jordan Reed,7866,TE,14,WAS,111,87,78.4,952,11,87.7,90.6,86.6,24.7,72.8,10.9,486,5.6,32,55,3,1,3,14,131.7,12,1
Pierre Garcon,4519,WR,16,WAS,108,72,66.7,777,6,74.6,75.0,66.3,86.3,,10.8,183,2.5,39,44,5,5,0,3,86.8,5,1
Anquan Boldin,1369,WR,14,SF,107,69,64.5,789,4,71.9,70.5,74.4,48.1,,11.4,301,4.4,51,35,4,2,1,8,91.2,1,0
Zach Ertz,7816,TE,15,PHI,106,75,70.8,853,2,81.8,79.6,66.9,51.3,58.2,11.4,320,4.3,60,39,7,5,1,5,81.2,2,0
Benjamin Watson,1753,TE,16,NO,101,73,72.3,800,6,74.4,75.6,59.9,81.6,71.8,11.0,254,3.5,46,42,7,2,0,1,106.9,5,1
Jason Witten,1384,TE,16,DAL,100,77,77.0,713,3,65.8,64.3,90.6,50.4,76.8,9.3,228,3.0,35,36,0,5,1,2,85.1,7,0
Donte Moncrief,8725,WR,16,IND,100,64,64.0,733,6,72.0,71.2,66.7,81.1,,11.5,262,4.1,33,40,4,3,0,4,93.5,0,0
Doug Baldwin,6615,WR,16,SEA,99,78,78.8,1069,14,87.4,86.2,90.6,60.8,71.8,13.7,433,5.6,80,47,2,2,1,13,142.8,0,0
Travis Kelce,7844,TE,16,KC,99,72,72.7,875,5,72.8,76.9,65.6,28.0,59.0,12.2,541,7.5,42,40,6,1,2,15,112.1,6,0
John Brown,8726,WR,15,ARZ,99,65,65.7,1003,7,80.0,79.9,66.9,47.5,73.7,15.4,332,5.1,68,49,5,4,1,4,105.7,3,0
Allen Hurns,8931,WR,15,JAX,99,64,64.6,1031,10,78.7,78.6,73.6,46.3,70.1,16.1,346,5.4,80,48,3,4,1,10,116.2,0,0
Danny Woodhead,4914,HB,16,SD,96,80,83.3,755,6,72.7,90.8,80.3,90.3,42.4,9.4,731,9.1,61,39,4,1,0,15,115.9,0,0
Willie Snead IV,8999,WR,15,NO,95,69,72.6,984,3,74.1,73.3,75.9,29.8,67.8,14.3,335,4.9,63,45,4,1,2,12,111.9,3,0
Theo Riddick,7980,HB,16,DET,94,80,85.1,697,3,83.0,94.0,90.0,65.0,72.0,8.7,663,8.3,34,32,2,1,0,29,103.8,2,1
Marvin Jones Jr.,7158,WR,16,CIN,93,65,69.9,816,4,72.6,73.8,79.6,81.7,,12.6,302,4.6,47,33,3,3,0,8,97.8,5,0
Devonta Freeman,8738,HB,15,ATL,92,73,79.3,578,3,68.7,70.9,62.2,59.3,72.8,7.9,445,6.1,44,21,7,2,1,14,94.7,1,0
Alshon Jeffery,7048,WR,9,CHI,92,54,58.7,807,4,92.0,92.1,87.9,79.8,,14.9,197,3.6,50,43,2,3,0,3,88.5,4,0
Terrance Williams,7855,WR,16,DAL,91,52,57.1,840,3,69.8,69.4,61.3,82.8,,16.2,275,5.3,42,36,5,4,0,2,80.8,1,0
Sammy Watkins,8639,WR,13,BUF,91,60,65.9,1047,9,89.6,89.6,64.5,80.6,,17.5,180,3.0,63,41,4,2,0,5,128.8,5,1
James Jones,3694,WR,16,GB,89,50,56.2,890,8,69.7,69.9,62.6,41.2,69.0,17.8,245,4.9,65,39,5,5,1,5,97.1,4,0
Ted Ginn Jr.,3625,WR,15,CAR,89,44,49.4,739,10,70.2,69.2,28.3,86.1,,16.8,239,5.4,74,36,9,5,0,1,91.9,1,0
Martavis Bryant,8753,WR,11,PIT,88,50,56.8,765,6,69.4,67.7,28.9,40.7,62.4,15.3,350,7.0,88,26,11,3,1,5,94.2,0,0
Nate Washington,2832,WR,14,HST,88,47,53.4,658,4,65.3,63.9,29.2,79.0,,14.0,167,3.6,49,33,10,0,0,1,92.9,0,0
